,bradn,mile,name,fuel,price,year,model,location
9619,폭스바겐,130945.0,골프 7세대,가솔린,2150.0,2014,2.0 GTI,경기
9620,아우디,109896.0,Q5,디젤,2380.0,2015,45 TDI 콰트로 다이나믹,경기
9621,벤틀리,147000.0,플라잉스퍼 2세대,가솔린,9500.0,2015,4.0,서울
9622,BMW,35000.0,4시리즈 (F32),가솔린,2990.0,2018,420i 럭셔리 그란쿠페,인천
9623,벤츠,14834.0,CLS-클래스 C257,디젤,7600.0,2019,CLS400d 4MATIC,경기
9624,포르쉐,31815.0,파나메라 (971),가솔린+전기,16000.0,2019,2.9 AWD E-하이브리드,경기
9625,마세라티,39958.0,르반떼,가솔린,6900.0,2017,3.0 AWD 스포츠,경기
9626,아우디,73260.0,A7,디젤,2699.0,2014,3.0 TDI 콰트로 다이나믹,대구
9627,벤츠,106244.0,SLC-클래스 R172,가솔린,3699.0,2017,AMG SLC43,대구
9628,벤츠,65000.0,B-클래스 W245,가솔린,720.0,2007,B200,서울
9629,벤츠,239305.0,CLK-클래스 C208,가솔린,450.0,2000,CLK320 쿠페,부산
9630,포드,47556.0,머스탱,가솔린,2550.0,2015,쿠페,경기
9631,벤츠,143798.0,GLE-클래스 W166,디젤,3799.0,2016,GLE350 d 4MATIC,경기
9632,아우디,124613.0,A7,디젤,3240.0,2016,50 TDI 콰트로,경북
9633,쉐보레,53000.0,콜벳,가솔린,9450.0,2016,Convertible,경남
9634,BMW,47434.0,5시리즈 (G30),가솔린,5050.0,2019,530i xDrive M 스포츠 플러스,경기
9635,BMW,63320.0,3시리즈 (F30),디젤,2499.0,2018,320d,경기
9636,벤츠,76516.0,CLS-클래스 C257,디젤,6500.0,2019,CLS400d 4MATIC,경기
9637,BMW,2500.0,X7 (G07),가솔린,10182.0,2021,xDrive 40i M 스포츠,서울
9638,폭스바겐,3455.0,제타 7세대,가솔린,2599.0,2020,1.4 TSI 프레스티지,경기
9639,벤츠,69443.0,CLS-클래스 W218,가솔린,6190.0,2017,CLS63 AMG 4MATIC,경기
9640,캐딜락,56940.0,ATS-V,가솔린,3490.0,2016,3.6 카본 패키지,경기
9641,BMW,100220.0,5시리즈 (F10),디젤,2100.0,2013,520d M 스포츠,제주
9642,BMW,136176.0,3시리즈 (E90),가솔린,1050.0,2007,328i 쿠페,서울
9643,아우디,48596.0,뉴 A6,디젤,2250.0,2015,35 TDI 다이나믹,서울
9644,링컨,89827.0,뉴 MKZ,가솔린,1290.0,2014,2.0,서울
9645,벤츠,171327.0,S-클래스 W222,디젤,4450.0,2015,S350 블루텍 4MATIC,경기
