,brand,mile,name,fuel,price,year,model,location
3274,벤츠,164428.0,CLS-클래스 W218,가솔린,2150.0,2013,CLS350,충북
3275,BMW,204276.0,7시리즈 (F01),가솔린,999.0,2010,750Li,부산
3276,렉서스,122509.0,뉴 ES300h,가솔린+전기,1850.0,2014,슈프림,경기
3277,BMW,77248.0,3시리즈 (F30),가솔린,1670.0,2013,320i,경기
3278,BMW,98271.0,3시리즈 (F30),디젤,1370.0,2014,320d,경기
3279,BMW,121757.0,X5 (E70),가솔린,1549.0,2007,xDrive 48i,경기
3280,BMW,118392.0,X4 (F26),디젤,2630.0,2015,xDrive20d,경기
3281,렉서스,180000.0,뉴 GS350,가솔린,1130.0,2013,슈프림,경남
3282,푸조,36860.0,206CC,가솔린,630.0,2007,1.6 퀵실버 컨버터블,서울
3283,폭스바겐,89602.0,뉴 제타,디젤,620.0,2011,2.0 TDI,인천
3284,벤츠,23623.0,C-클래스 W205,디젤,3290.0,2017,C220 d 아방가르드,인천
3285,폭스바겐,38499.0,더 뉴 파사트,가솔린,1540.0,2015,1.8 TSI,인천
3286,폭스바겐,237226.0,제타,디젤,255.0,2008,2.0 TDI CFT,광주
3287,포드,221156.0,뉴 토러스,가솔린,375.0,2011,3.5 Limited,광주
3288,크라이슬러,108531.0,더 뉴 300C,가솔린,870.0,2012,3.6,대구
3289,벤츠,59500.0,S-클래스,가솔린,1200.0,2003,S350L,서울
3290,아우디,93187.0,A5,가솔린,1430.0,2013,2.0 TFSI 콰트로,경기
3291,아우디,110211.0,뉴 A6,가솔린,530.0,2008,3.2 FSI,경기
3292,혼다,170000.0,시빅,가솔린,350.0,2008,1.8,울산
3293,렉서스,190031.0,ES300,가솔린,255.0,2002,P-Grade,대구
3294,인피니티,114467.0,FX35,가솔린,790.0,2008,3.5,대전
3295,벤츠,89123.0,E-클래스 W212,디젤,2490.0,2015,E250 블루텍 4MATIC 아방가르드,대전
3296,벤츠,4500.0,S-클래스 W223,가솔린,20160.0,2021,S500L 4MATIC,경남
3297,아우디,185134.0,뉴 A6,디젤,1190.0,2013,2.0 TDI 다이나믹,광주
3298,BMW,12733.0,3시리즈 (F30),가솔린,2700.0,2016,320i 럭셔리,서울
3299,벤츠,118100.0,S-클래스 W221,가솔린,1190.0,2008,S550 4MATIC,경남
3300,포르쉐,159906.0,파나메라,가솔린,7050.0,2016,3.6 AWD 에디션,광주
3301,재규어,234539.0,New XJ,가솔린,990.0,2007,3.0 V6,광주
3302,미니,158135.0,쿠퍼 D 컨트리맨,디젤,1150.0,2013,기본형,광주
3303,볼보,259410.0,S80,가솔린,350.0,2007,3.2,전북
3304,렉서스,145048.0,LS460L,가솔린,1190.0,2010,5인승,경기
3305,벤츠,131500.0,M-클래스 W166,디젤,2750.0,2014,ML350 블루텍 4MATIC,경기
3306,벤츠,154203.0,E-클래스 W212,가솔린,950.0,2010,E300 아방가르드,울산
3307,아우디,187334.0,뉴 A6,가솔린,650.0,2010,3.0 TFSI 콰트로 S-LINE,울산
3308,아우디,130152.0,뉴 A6,가솔린,475.0,2008,3.2 FSI 콰트로,대구
3309,지프,123050.0,랭글러 (JK),디젤,1950.0,2008,2.8 디젤 루비콘 2도어,경기
3310,미쯔비시,58630.0,랜서,가솔린,1690.0,2009,랠리아트,경기
3311,BMW,29500.0,7시리즈 (G11),가솔린,5950.0,2016,750Li xDrive 프레스티지,경기
3312,아우디,206443.0,뉴 A6,가솔린,370.0,2008,3.2 FSI 콰트로 다이나믹,대구
3313,BMW,134000.0,5시리즈 (E60),가솔린,820.0,2008,528i 세단 스포츠,대구
3314,쉐보레,141000.0,익스프레스밴,가솔린,2800.0,2011,6.0,부산
3315,BMW,313500.0,X3 (F25),디젤,900.0,2011,xDrive 20d,부산
3316,랜드로버,127000.0,디스커버리 3,가솔린,1960.0,2006,4.0 V6 HSE,경기
3317,렉서스,170000.0,RX400h,가솔린+전기,950.0,2007,STD,대전
3318,BMW,220000.0,5시리즈,가솔린,450.0,2002,530i,대구
3319,BMW,148500.0,5시리즈,가솔린,450.0,2001,525i,대구
3320,벤츠,106000.0,S-클래스 W221,가솔린,1400.0,2006,S500L,대구
3321,볼보,190000.0,S80,디젤,500.0,2008,D5,대구
3322,BMW,123818.0,7시리즈 (E65),가솔린,639.0,2006,740Li,대구
3323,BMW,120000.0,3시리즈 (E90),가솔린,699.0,2010,320i 세단,광주
3324,BMW,220616.0,5시리즈 (F10),디젤,1550.0,2010,520d,광주
3325,렉서스,80746.0,RX450h 4세대,가솔린+전기,4100.0,2016,이그제큐티브,인천
3326,렉서스,80746.0,RX450h 4세대,가솔린+전기,4100.0,2016,이그제큐티브,인천
3327,벤츠,187590.0,CLK-클래스 C209,가솔린,1100.0,2004,CLK320 카브리올레,충남
3328,벤츠,169000.0,CL-클래스 C215,가솔린,1490.0,2003,CL500,충남
3329,캐딜락,133000.0,뉴 STS,가솔린,850.0,2008,4.6 Platinum Edition,충남
3330,포르쉐,67191.0,파나메라 (971),가솔린,12850.0,2017,2.9 4S,서울
3331,BMW,120201.0,X6 (E71),디젤,2690.0,2014,30d,경기
3332,BMW,107560.0,7시리즈 (F01),디젤,3090.0,2014,740d xDrive,경기
3333,폭스바겐,176700.0,페이톤,가솔린,450.0,2006,V6 3.2 NWB,대구
3334,BMW,223636.0,X5 (E53),가솔린,520.0,2002,4.4i,부산
3335,BMW,211000.0,7시리즈 (F01),가솔린,1190.0,2010,740Li,대전
3336,벤츠,31903.0,E-클래스 W213,디젤,4990.0,2019,E220d 익스클루시브,부산
3337,폭스바겐,40342.0,더 뉴 파사트,디젤,1390.0,2015,2.0 TDI,부산
3338,벤츠,84351.0,GLA-클래스 X156,디젤,2250.0,2016,GLA200 d 4MATIC,경기
3339,벤츠,216000.0,E-클래스 W212,가솔린,950.0,2011,E350,충북
3340,벤츠,154370.0,E-클래스 W212,디젤,1900.0,2014,E250 CDI 4MATIC,대구
3341,폭스바겐,58291.0,골프 7세대,디젤,1500.0,2014,2.0 TDI,대구
3342,포드,156095.0,익스플로러,가솔린,899.0,2009,Limited 4.0 4WD,경기
3343,벤츠,132536.0,E-클래스 W212,디젤,1850.0,2014,E220 CDI 아방가르드,광주
3344,BMW,117000.0,7시리즈 (F01),디젤,1790.0,2012,730Ld,경기
3345,아우디,153760.0,뉴 A8,가솔린,3699.0,2015,60 TFSI 콰트로 LWB,경기
3346,벤츠,103667.0,C-클래스 W204,가솔린,799.0,2009,C230 아방가르드,경기
3347,벤츠,89580.0,CLS-클래스 W219,가솔린,1599.0,2010,CLS350,경기
3348,인피니티,124000.0,M35,가솔린,290.0,2006,3.5,대전
3349,BMW,185641.0,3시리즈 (F30),디젤,970.0,2012,320d,대전
3350,폭스바겐,86834.0,뉴 CC,가솔린,950.0,2014,2.0 TSI,경기
3351,벤츠,163307.0,CLS-클래스 W218,가솔린,1920.0,2013,CLS350,인천
3352,BMW,258000.0,7시리즈,가솔린,550.0,2001,735iL,대구
3353,BMW,101000.0,3시리즈 (E90),가솔린,1990.0,2012,335i 컨버터블,대구
3354,크라이슬러,138601.0,300C,디젤,590.0,2007,3.0 디젤,대구
3355,포르쉐,9900.0,911 (992),가솔린,17600.0,2020,카레라 4,서울
3356,벤츠,10378.0,GLE-클래스 W167,가솔린,9090.0,2019,GLE450 4MATIC,대구
3357,BMW,156904.0,X5 (F15),디젤,3150.0,2014,xDrive 30d,전북
3358,벤츠,92000.0,S-클래스 W222,가솔린,7500.0,2017,S350L,충북
3359,지프,115000.0,컴패스,가솔린,399.0,2008,2.4 리미티드,경남
3360,BMW,167000.0,7시리즈 (E65),가솔린,450.0,2006,730i,경남
3361,BMW,100015.0,5시리즈 (F10),디젤,1790.0,2013,520d,울산
3362,벤츠,66080.0,E-클래스 W212,가솔린,3190.0,2016,E200 카브리올레,경기
3363,BMW,124131.0,X5 (F15),디젤,3780.0,2014,xDrive 30d,경남
3364,벤츠,45618.0,E-클래스 W213,가솔린,4580.0,2019,E300 아방가르드,경남
3365,재규어,125000.0,All New XJ,가솔린,1590.0,2010,5.0 프리미엄 럭셔리 LWB,서울
3366,포드,104900.0,익스플로러,가솔린,1580.0,2014,3.5 리미티드 4WD,경기
3367,혼다,212600.0,레전드 4세대,가솔린,350.0,2009,3.7,경기
3368,도요타,46800.0,캠리,가솔린,790.0,2011,XLE,전북
3369,BMW,90560.0,3시리즈 (E90),가솔린,490.0,2006,320i 세단,경기
3370,벤츠,42537.0,G-클래스 W463,디젤,99999.0,2013,G350 블루텍,경기
3371,벤츠,42537.0,G-클래스 W463,디젤,99999.0,2013,G350 블루텍,경기
3372,BMW,72608.0,3시리즈,가솔린,1250.0,1997,318iS 세단,서울
3373,BMW,204418.0,7시리즈 (F01),디젤,2650.0,2015,730d xDrive 인디비주얼,경기
3374,렉서스,62041.0,뉴 ES350,가솔린,1650.0,2013,이그제큐티브,대전
3375,벤츠,295000.0,S-클래스 W221,가솔린,480.0,2006,S350L,전북
3376,벤츠,213921.0,S-클래스 W221,가솔린,790.0,2007,S500L,경기
3377,폭스바겐,80554.0,티구안,디젤,999.0,2011,2.0 TDI,경기
3378,BMW,125288.0,7시리즈 (F01),가솔린,1649.0,2010,750Li,경기
3379,폭스바겐,167589.0,뉴 티구안,디젤,1049.0,2014,2.0 TDI 프리미엄,경기
3380,BMW,182000.0,5시리즈 (F10),디젤,1350.0,2014,520d,대구
3381,폭스바겐,184910.0,투아렉,가솔린,460.0,2004,V6 3.2,경기
3382,BMW,153279.0,X5 (E70),디젤,1320.0,2010,xDrive 30d,경기
3383,폭스바겐,95598.0,투아렉,가솔린,1520.0,2009,V6 3.6 4MOTION,경기
3384,볼보,99653.0,XC60,가솔린,1620.0,2010,T6,경기
3385,BMW,67048.0,3시리즈,가솔린,670.0,2002,320i 세단,경기
3386,벤츠,30500.0,G-클래스 W463,가솔린,13800.0,2017,G63 AMG,경기
3387,BMW,221646.0,3시리즈,가솔린,800.0,2000,318Ci 쿠페,경기
3388,BMW,315205.0,5시리즈,가솔린,6300.0,2018,528i,경기
3389,사이언,77370.0,xB,가솔린,1280.0,2008,2.4,경기
3390,아우디,135919.0,뉴 A4,가솔린,330.0,2006,1.8 TFSI,경기
3391,벤츠,62204.0,CLS-클래스 W218,가솔린,4750.0,2017,CLS400,부산
3392,아우디,128567.0,뉴 A4,가솔린,690.0,2010,2.0 TFSI 콰트로 다이나믹,경기
3393,폭스바겐,6045.0,파사트 GT(B8),디젤,3750.0,2021,2.0 TDI 프레스티지,서울
3394,폭스바겐,7685.0,아테온,디젤,3950.0,2020,2.0 TDI 프리미엄,서울
3395,벤츠,63118.0,C-클래스 W204,가솔린,980.0,2010,C200 CGI 아방가르드,서울
3396,벤츠,221904.0,S-클래스 W221,가솔린,800.0,2008,S550,경기
3397,BMW,233976.0,X6 (E71),디젤,1290.0,2009,30d,충남
3398,크라이슬러,82595.0,뉴 세브링,가솔린,450.0,2009,2.4 컨버터블,경기
3399,BMW,249609.0,X3 (F25),디젤,849.0,2011,xDrive 20d,경기
3400,BMW,130000.0,3시리즈,가솔린,390.0,2004,318i 세단,대구
3401,BMW,77264.0,3시리즈 GT (F34),디젤,2090.0,2015,GT 320d xDrive,경기
3402,벤츠,139956.0,CL-클래스 C140,가솔린,3500.0,1998,CL600,경기
3403,아우디,150104.0,Q5,디젤,1150.0,2010,3.0 TDI 콰트로,경기
3404,BMW,165374.0,5시리즈 (F10),디젤,1180.0,2011,520d,경기
3405,BMW,145691.0,5시리즈,가솔린,490.0,2003,525i,경기
3406,크라이슬러,211663.0,올 뉴 300C,가솔린,750.0,2012,3.6,대구
3407,BMW,117743.0,7시리즈 (F01),가솔린,1690.0,2010,740Li,대구
3408,BMW,227016.0,5시리즈 (F10),가솔린,890.0,2010,528i,대구
3409,벤츠,198212.0,E-클래스 W212,디젤,2190.0,2016,E350 블루텍 4MATIC,대전
3410,아우디,192314.0,뉴 A6,가솔린,530.0,2011,3.0 TFSI 콰트로 S-LINE,대전
3411,벤츠,139540.0,E-클래스 W212,디젤,1290.0,2012,E220 CDI 아방가르드,대전
3412,벤츠,50009.0,GLE-클래스 W166,디젤,5490.0,2017,GLE350 d 4MATIC,경기
3413,벤츠,50009.0,GLE-클래스 W166,디젤,5490.0,2017,GLE350 d 4MATIC,경기
3414,인피니티,123023.0,G35,가솔린,290.0,2007,세단 스포츠,경기
3415,벤츠,94072.0,E-클래스 W212,가솔린,1250.0,2010,E300 엘레강스,경기
3416,BMW,102542.0,5시리즈 (F10),디젤,1490.0,2012,520d,경기
3417,BMW,189786.0,5시리즈,가솔린,450.0,2003,530iS,대구
3418,BMW,117000.0,3시리즈,가솔린,1100.0,2004,325Ci 컨버터블,경남
3419,폭스바겐,190000.0,골프 6세대,디젤,699.0,2012,2.0 TDI 카브리올레,대구
3420,폭스바겐,11436.0,아테온,디젤,4050.0,2020,2.0 TDI 프레스티지,부산
3421,폭스바겐,19669.0,아테온,디젤,4000.0,2020,2.0 TDI 프레스티지,부산
3422,BMW,210837.0,5시리즈 (E60),가솔린,350.0,2008,528i 세단,경기
3423,폭스바겐,172410.0,뉴 CC,가솔린,680.0,2012,2.0 TSI,경기
3424,포드,109913.0,뉴 토러스,가솔린,499.0,2012,3.5 Limited,부산
3425,아우디,49.0,SQ5 (FY),디젤,7300.0,2020,3.0 TDI 콰트로,경기
3426,아우디,53.0,Q7 (4M),디젤,8050.0,2021,45 TDI 콰트로 프리미엄,경기
