,bradn,mile,name,fuel,price,year,model,location
992,BMW,18709.0,4시리즈 (F32),가솔린,3360.0,2019,420i 럭셔리 그란쿠페,경기
993,랜드로버,72989.0,디스커버리 스포츠,디젤,9999.0,2016,2.0 TD4 HSE 럭셔리,광주
994,지프,6267.0,그랜드 체로키,가솔린,4890.0,2020,3.6 오버랜드,경기
995,BMW,320.0,7시리즈 (G11),디젤,10940.0,2022,730Ld xDrive M 스포츠,서울
996,지프,52910.0,그랜드 체로키,디젤,2650.0,2015,3.0 디젤 리미티드,경기
997,벤츠,99600.0,S-클래스 W222,가솔린,5777.0,2015,S500L,대구
998,벤츠,97519.0,GLE-클래스 W166,디젤,4080.0,2016,GLE250 d 4MATIC,경기
999,재규어,15143.0,XF (X260),디젤,3250.0,2018,20d 프레스티지 AWD,경기
1000,아우디,85830.0,뉴 A6,가솔린,2770.0,2016,40 TFSI 콰트로 스포츠,경기
1001,포르쉐,98288.0,카이엔,가솔린,1390.0,2006,4.5 S,경기
1002,벤츠,53500.0,E-클래스 W213,가솔린,4600.0,2019,E300 아방가르드,서울
1003,BMW,209689.0,7시리즈 (F01),가솔린,1430.0,2012,750Li xDrive,경기
1004,BMW,156741.0,X5 (F15),디젤,3300.0,2014,xDrive 30d,광주
1005,랜드로버,64692.0,레인지로버 4세대,디젤,7990.0,2015,4.4 SDV8 AB 디젤,경기
1006,BMW,89000.0,X6 (F16),디젤,6000.0,2016,M50d,서울
1007,마세라티,107102.0,콰트로포르테,디젤,4250.0,2016,3.0 디젤,경기
1008,BMW,9058.0,3시리즈 (F30),가솔린,3380.0,2018,320i 럭셔리,광주
1009,벤츠,100239.0,S-클래스 W222,가솔린,8197.0,2018,S450L 4MATIC,서울
1010,아우디,31707.0,A4 (B9),디젤,2590.0,2018,30 TDI,경기
1011,포드,54122.0,익스플로러,가솔린,2950.0,2016,2.3 리미티드 4WD,경기
1012,벤츠,96398.0,S-클래스 W222,디젤,6050.0,2016,S350 d 4MATIC,경기
1013,벤츠,75177.0,S-클래스 W222,디젤,7450.0,2017,S350 d,경기
1014,BMW,55238.0,M2 (F87),가솔린,4180.0,2017,M2 쿠페 M 퍼포먼스 스티어링 휠 에디션,경기
1015,테슬라,65252.0,모델 S,전기,6750.0,2017,90D,대구
1016,벤츠,25600.0,E-클래스 W213,디젤,4599.0,2019,E220d 4MATIC 익스클루시브,경기
1017,아우디,104701.0,뉴 A6,가솔린,1600.0,2013,2.0 TFSI 콰트로 다이나믹,경기
1018,벤츠,156537.0,CL-클래스 C216,가솔린,2090.0,2008,CL63 AMG,대구
1019,벤츠,191928.0,S-클래스 W222,가솔린,4160.0,2015,S500L,경기
1020,BMW,21751.0,X4 (G02),디젤,6430.0,2020,xDrive20d M 스포츠,광주
1021,푸조,44515.0,3008 2세대,디젤,2420.0,2018,1.6 BlueHDi 알뤼르,경기
1022,BMW,131683.0,5시리즈 (F10),가솔린,1340.0,2011,528i,전북
1023,시트로엥,81930.0,C4 칵투스,디젤,1190.0,2018,1.6 BlueHDi 원톤 에디션,대구
1024,랜드로버,101912.0,레인지로버 4세대,가솔린,7390.0,2016,5.0 SC Vogue SE,서울
1025,지프,27035.0,랭글러 (JK),가솔린,3320.0,2017,3.6 루비콘 2도어,경기
1026,BMW,18600.0,M5 (F90),가솔린,10900.0,2020,M5 세단,부산
1027,아우디,97033.0,뉴 A6,디젤,2350.0,2016,35 TDI 프리미엄,광주
1028,벤츠,131219.0,S-클래스 W222,가솔린,6290.0,2016,S500L 4MATIC,경기
1029,벤츠,96834.0,S-클래스 W222,가솔린,6250.0,2015,S400L 4MATIC,경기
1030,벤츠,100134.0,CLS-클래스 W218,디젤,3350.0,2016,CLS250 d 4MATIC,경기
1031,벤츠,104280.0,S-클래스 W222,디젤,5490.0,2014,S350L 블루텍,경기
1032,벤츠,55249.0,A-클래스 W176,가솔린,3249.0,2017,A45 AMG 4MATIC,경기
1033,BMW,132946.0,Z4 (E89),가솔린,1990.0,2009,sDrive 35i,경기
1034,캐딜락,125980.0,CTS 2세대,가솔린,550.0,2011,3.6 Luxury,경기
1035,랜드로버,28945.0,레인지로버 4세대,디젤,10900.0,2017,4.4 SDV8 Vogue SE 디젤,경기
1036,혼다,54279.0,파일럿 3세대,가솔린,3960.0,2019,3.5 엘리트,경기
1037,벤츠,44568.0,S-클래스 W222,가솔린,99999.0,2018,S450L 4MATIC,대구
1038,랜드로버,45123.0,레인지로버 스포츠 2세대,가솔린,7870.0,2016,5.0 SVR,경기
1039,볼보,64826.0,V40,디젤,1760.0,2016,D3,경기
1040,쉐보레,44321.0,익스프레스밴,가솔린,3190.0,2013,5.3,경기
1041,포르쉐,64514.0,박스터,가솔린,4790.0,2011,S 3.4,경기
1042,BMW,41811.0,7시리즈 (G11),디젤,7680.0,2018,740d xDrive M 스포츠,경기
1043,아우디,57363.0,A4 (B9),디젤,2690.0,2018,30 TDI 프리미엄,서울
1044,랜드로버,112379.0,레인지로버 4세대,디젤,7990.0,2017,4.4 SDV8 Vogue SE 디젤,경기
1045,BMW,59683.0,3시리즈 (F30),가솔린,2430.0,2016,328i M 스포츠,경기
1046,벤츠,9974.0,S-클래스 W222,가솔린,23500.0,2018,마이바흐 S650,서울
1047,포드,58848.0,머스탱,가솔린,3380.0,2017,컨버터블,경기
1048,포드,90084.0,익스플로러,가솔린,2550.0,2016,2.3 리미티드 4WD,경기
1049,랜드로버,96703.0,레인지로버 4세대,가솔린,6850.0,2014,5.0 SC Vogue SE,경기
1050,벤츠,29554.0,E-클래스 W213,가솔린,4380.0,2018,E200 아방가르드,경기
1051,벤츠,87579.0,CL-클래스 C216,가솔린,4997.0,2013,CL63 AMG,서울
1052,렉서스,30934.0,RX450h 4세대,가솔린+전기,4980.0,2016,F-Sport,경기
1053,BMW,15316.0,5시리즈 (G30),가솔린,4940.0,2020,520i 럭셔리,경기
1054,벤츠,122714.0,E-클래스 W213,디젤,3750.0,2017,E220d 익스클루시브,대구
1055,지프,30765.0,체로키(KL),가솔린,2890.0,2019,2.4 론지튜드 하이 AWD,광주
1056,지프,97822.0,그랜드 체로키,가솔린,3040.0,2016,3.6 오버랜드,경기
1057,링컨,67000.0,컨티넨탈 10세대,가솔린,3490.0,2017,3.0 AWD,경기
1058,BMW,163135.0,5시리즈 (F10),디젤,1290.0,2012,520d,충남
1059,BMW,91706.0,X5 (F15),디젤,4600.0,2017,xDrive 30d,서울
1060,BMW,178968.0,5시리즈 (F10),가솔린,970.0,2010,523i,경기
1061,벤츠,75177.0,S-클래스 W222,디젤,7450.0,2017,S350 d,경기
