,brand,mile,name,fuel,price,year,model,location
821,크라이슬러,121800.0,PT 크루저,가솔린,410.0,2008,2.4L,경기
822,BMW,137804.0,1시리즈 (F20),디젤,900.0,2014,118d 어반 5도어,경기
823,페라리,2500.0,로마,가솔린,42000.0,2021,3.9,서울
824,포드,1950.0,레인저,디젤,6390.0,2021,2.0,서울
825,포드,45000.0,머스탱,가솔린,4000.0,2019,컨버터블,경기
826,미니,9139.0,쿠퍼 컨트리맨,가솔린,3050.0,2019,HIGH,서울
827,미니,9139.0,쿠퍼 컨트리맨,가솔린,3050.0,2019,HIGH,서울
828,미니,79000.0,쿠퍼 D,디젤,1850.0,2017,Mid,제주
829,미니,106417.0,쿠퍼 컨트리맨,가솔린,1000.0,2011,기본형,경기
830,마세라티,16200.0,그란카브리오,가솔린,12900.0,2016,4.7 스포츠,경기
831,폭스바겐,100000.0,골프 6세대,디젤,750.0,2012,1.6 TDI 블루모션,서울
832,렉서스,10900.0,LC,가솔린,11500.0,2018,LC500 스포츠+,경기
833,벤츠,31000.0,GLE-클래스 W166,디젤,4990.0,2017,GLE350 d 4MATIC 쿠페,서울
834,마쯔다,7508.0,MX-5 MIATA,가솔린,4090.0,2020,MIATA,경기
835,캐딜락,3248.0,CT5,가솔린,4690.0,2020,2.0 스포츠,대구
836,미니,121000.0,쿠퍼 D,디젤,850.0,2013,기본형,대전
837,포르쉐,48000.0,박스터,가솔린,8290.0,2016,3.4 GTS,경기
838,미니,3000.0,쿠퍼,가솔린,2800.0,2021,기본형,경기
839,포르쉐,5000.0,718 박스터,가솔린,9500.0,2020,2.0,서울
840,미니,9200.0,쿠퍼 S,가솔린,3750.0,2020,JCW,서울
841,지프,18680.0,랭글러 (JL),가솔린,4730.0,2020,2.0 스포츠 4도어 윌리스 에디션,경기
842,피아트,90050.0,500C,가솔린,2400.0,2013,아바스,인천
843,페라리,13800.0,488 GTB,가솔린,27500.0,2018,3.9,부산
844,재규어,6781.0,I-PACE,전기,7900.0,2019,EV400 HSE,부산
845,푸조,119000.0,206CC,가솔린,450.0,2004,1.6 컨버터블,경기
846,도요타,143103.0,WiLL,가솔린,295.0,2004,CYPHA,충남
847,미니,89200.0,쿠퍼 D 컨트리맨,디젤,1800.0,2016,ALL4,경남
848,테슬라,36185.0,모델 3,전기,6800.0,2020,퍼포먼스,경기
849,BMW,23500.0,Z4 (G29),가솔린,7880.0,2019,M40i,대구
850,포르쉐,70000.0,718 박스터,가솔린,8400.0,2017,S 2.5,인천
851,포르쉐,26000.0,718 카이맨,가솔린,10100.0,2018,2.5 GTS,경기
852,미니,42413.0,쿠퍼 클럽맨,가솔린,2540.0,2018,기본형,인천
853,미니,42413.0,쿠퍼 클럽맨,가솔린,2540.0,2018,기본형,인천
854,포르쉐,35287.0,911,가솔린,12300.0,2017,카레라 4,경기
855,포르쉐,35287.0,911,가솔린,12300.0,2017,카레라 4,경기
856,폭스바겐,115216.0,골프 7세대,가솔린,2270.0,2016,2.0 GTI,경기
857,닛산,24628.0,370Z,가솔린,2400.0,2017,3.7 쿠페,경기
858,BMW,80700.0,1시리즈 (E82),디젤,870.0,2009,120d 쿠페,부산
859,지프,10300.0,글래디에이터 (JT),가솔린,6400.0,2021,3.6 루비콘,경기
860,포드,27088.0,F150,가솔린,8900.0,2017,3.5L,대구
861,지프,106222.0,그랜드 체로키,디젤,2300.0,2015,3.0 디젤 오버랜드,경기
862,재규어,44256.0,XE,디젤,1799.0,2016,20d R스포츠,경기
863,폭스바겐,92000.0,골프 7세대,가솔린,3000.0,2015,2.0 GTI,전북
864,BMW,23000.0,M4 (F82),가솔린,8947.0,2020,M4 컨버터블 컴패티션,전북
865,포드,12484.0,머스탱,가솔린,4721.0,2020,GT 쿠페,대전
866,벤츠,86065.0,A-클래스 W176,가솔린,3150.0,2018,A45 AMG 4MATIC,대전
867,혼다,68400.0,S660,가솔린,2990.0,2015,0.6,경기
868,포르쉐,36000.0,718 박스터,가솔린,9500.0,2019,2.0,경남
869,마세라티,50000.0,기블리,가솔린,4575.0,2018,3.0S Q4 그란스포츠,경북
870,람보르기니,17000.0,가야르도,가솔린,18800.0,2012,LP570-4 슈퍼 트로페오 스트라달레,서울
871,페라리,33138.0,458,가솔린,21974.0,2014,이탈리아,경기
872,피아트,78824.0,500C,가솔린,2550.0,2013,아바스,대구
873,마세라티,42000.0,그란투리스모,가솔린,9455.0,2016,4.7 스포츠,경기
874,포르쉐,139000.0,911,가솔린,8800.0,2013,카레라 4S 카브리올레,서울
875,사브,94000.0,9-3,가솔린,850.0,2003,2.0T 컨버터블 리니어,부산
876,지프,202251.0,랭글러 (TJ),가솔린,2000.0,1997,2.5,대전
877,미쯔비시,71200.0,랜서 에볼루션,가솔린,2500.0,2009,10세대,서울
878,닛산,95000.0,센트라,가솔린,250.0,2006,1.8,서울
879,BMW,13000.0,3시리즈 (F30),가솔린,3700.0,2018,330i M 스포츠 쉐도우,서울
880,도요타,226612.0,셀리카,가솔린,750.0,2000,GT-S 2DR Liftback,경기
881,페라리,3623.0,488 피스타,가솔린,53000.0,2020,3.9 쿠페,서울
