,brand,mile,name,fuel,price,year,model,location
446,미니,120000.0,쿠퍼 S,가솔린,550.0,2006,베이스워터,광주
447,닛산,220678.0,큐브,가솔린,140.0,2003,1.4,광주
448,아우디,157241.0,뉴 A6,디젤,1230.0,2012,3.0 TDI 콰트로,광주
449,벤츠,5000.0,E-클래스 W213,가솔린,0.0,2020,E450 4MATIC 익스클루시브,경기
450,BMW,74338.0,4시리즈 (F32),가솔린,2690.0,2016,420i 럭셔리 그란쿠페,경북
451,마이바흐,120000.0,62,가솔린,7990.0,2004,5.5 V12,대전
452,벤츠,47000.0,GLS-클래스 X166,디젤,7350.0,2017,GLS350 d 4MATIC,서울
453,벤츠,116140.0,GLK-클래스 X204,디젤,1420.0,2012,GLK220 CDI 블루이피션시,부산
454,벤츠,17.0,S-클래스 W223,디젤,1662.0,2022,S400 d 4MATIC,대구
455,미니,170000.0,쿠퍼 S,가솔린,750.0,2011,기본형,광주
456,미니,67664.0,쿠퍼 클럽맨,가솔린,1330.0,2014,기본형,경기
457,닛산,103000.0,370Z,가솔린,1920.0,2011,3.7 쿠페,서울
458,볼보,89841.0,S60,디젤,1140.0,2014,D2,경기
459,벤츠,5500.0,GLE-클래스 W167,디젤,11200.0,2021,GLE400d 4MATIC 쿠페,경기
460,미니,57200.0,쿠퍼,가솔린,1190.0,2013,SE,부산
461,벤츠,87678.0,CLS-클래스 W218,가솔린,2260.0,2012,CLS350 블루이피션시,경기
462,볼보,125000.0,S60,디젤,1370.0,2015,D4,광주
463,미니,13702.0,쿠퍼 D,디젤,2470.0,2018,HIGH,경기
464,벤츠,46000.0,S-클래스 W222,디젤,8900.0,2018,S350 d 4MATIC AMG Line,경기
465,미니,100000.0,쿠퍼,가솔린,450.0,2010,SE,경기
466,시트로엥,1500.0,C5 에어크로스,디젤,4100.0,2021,2.0 BlueHDi 샤인,서울
467,시트로엥,7500.0,C3 에어크로스,디젤,2150.0,2020,1.5 BlueHDi 필,서울
468,푸조,1900.0,2008 2세대,디젤,3150.0,2021,1.5 BlueHDi GT Line,서울
469,벤츠,85000.0,S-클래스 W222,디젤,7050.0,2017,S350L d,광주
470,벤츠,57923.0,S-클래스 W222,디젤,10122.0,2018,S400L d 4MATIC,서울
471,미니,129835.0,쿠퍼 S,가솔린,800.0,2010,기본형,경기
472,아우디,102539.0,뉴 A3,디젤,1290.0,2015,35 TDI 다이나믹 스포트백,경기
473,포드,214496.0,F350,가솔린,6000.0,2012,6.2,서울
474,미니,118904.0,쿠퍼 S 로드스터,가솔린,1550.0,2013,1.6,광주
475,다이하쯔,45.0,탄토,가솔린,1750.0,2016,0.6,경기
476,벤츠,119285.0,E-클래스 W212,가솔린,1370.0,2011,E200 CGI,광주
477,미니,38887.0,쿠퍼,가솔린,2290.0,2018,기본형,대구
478,미니,38887.0,쿠퍼,가솔린,2290.0,2018,기본형,대구
479,벤츠,29730.0,E-클래스 W213,가솔린,7910.0,2019,E53 AMG 4MATIC+,충남
480,도요타,46700.0,프리우스 C,가솔린+전기,1700.0,2019,1.5,서울
481,미니,9598.0,쿠퍼,가솔린,2950.0,2021,5도어 기본형,경기
482,피아트,38638.0,500,가솔린,1020.0,2013,1.4 라운지,대구
483,미니,109752.0,쿠퍼 D,디젤,890.0,2012,SE,충북
484,BMW,38600.0,6시리즈 GT (G32),디젤,6350.0,2018,630d xDrive M 스포츠,전북
485,렉서스,68725.0,뉴 ES300h,가솔린+전기,3290.0,2016,슈프림,강원
486,미니,101407.0,쿠퍼 S,가솔린,730.0,2009,기본형,인천
487,푸조,14000.0,3008 2세대,디젤,3000.0,2019,1.6 BlueHDi GT Line,대구
488,미니,87394.0,쿠퍼 D,디젤,1800.0,2017,HIGH,인천
489,미니,87394.0,쿠퍼 D,디젤,1800.0,2017,HIGH,인천
