,brand,mile,name,fuel,price,year,model,location,color
6537,벤츠,9360,E-클래스 W213,가솔린,9590,2019,E63 AMG 4MATIC+,경기,검정색
6538,BMW,155400,X3 (E83),가솔린,699,2005,2.5i,경기,검정색
6539,벤츠,140000,S-클래스 W222,디젤,6990,2018,S400L d 4MATIC,경기,검정색
6540,벤츠,138000,E-클래스 W213,디젤,3350,2017,E220d 4MATIC 익스클루시브,경기,검정색
6541,벤츠,77000,E-클래스 W213,디젤,3970,2018,E220d 아방가르드,경기,검정색
6542,아우디,137860,A7,디젤,4170,2016,55 TDI 콰트로 스포츠,경기,검정색
6543,벤츠,37354,E-클래스 W213,가솔린,5390,2018,E300 익스클루시브,경기,검정색
6544,벤츠,66597,S-클래스 W222,가솔린,12900,2018,S63 AMG 4MATIC+,서울,검정색
6545,벤츠,15466,S-클래스 W222,가솔린,11700,2020,S350L,서울,검정색
6546,벤츠,41852,S-클래스 W222,가솔린,8200,2016,S500L 4MATIC,서울,검정색
6547,벤츠,38000,G-클래스 W463,가솔린,14600,2016,G63 AMG,서울,검정색
6548,마세라티,43000,스파이더,가솔린,3250,2004,4.2 V8,경기,검정색
6549,BMW,180000,6시리즈 (E63),가솔린,1390,2006,650i 컨버터블,경기,검정색
6550,아우디,209000,A7,가솔린,2350,2013,3.0 TFSI 콰트로 다이나믹,경기,검정색
6551,벤츠,100000,C-클래스 W204,가솔린,1150,2012,C250,서울,검정색
6552,BMW,37000,7시리즈 (G11),디젤,7290,2018,740d xDrive M 스포츠,서울,검정색
6553,BMW,82184,3시리즈 (F30),디젤,1799,2014,320d xDrive,경기,검정색
6554,혼다,134678,올뉴어코드,가솔린,489,2010,2.4,경기,검정색
6555,스마트,117653,포투 카브리오,가솔린,1099,2009,패션 터보,대구,검정색
6556,포르쉐,71100,911,가솔린,9250,2013,카레라 4S,대구,검정색
6557,BMW,26137,3시리즈 (F30),디젤,2230,2015,320d 럭셔리,대구,검정색
6558,아우디,1548,A6 (C8),가솔린,5470,2021,45 TFSI 프리미엄,대구,검정색
6559,포르쉐,32637,카이엔 (PO536),가솔린,12800,2019,3.0,경기,검정색
6560,포드,129000,퓨전,가솔린+전기,920,2014,하이브리드,경기,검정색
6561,미니,3169,쿠퍼 S 클럽맨,가솔린,4700,2021,JCW,서울,검정색
6562,BMW,64508,3시리즈 (F30),디젤,2400,2018,320d,서울,검정색
6563,인피니티,28000,QX30,가솔린,2860,2019,2.0 에센셜 AWD,부산,검정색
6564,쉐보레,253227,익스프레스밴,가솔린,1390,2008,5.3,충남,검정색
6565,BMW,128000,X6 (E71),가솔린,2160,2008,50i,충남,검정색
6566,혼다,192697,CR-V,가솔린,620,2008,2.4 4WD,경기,검정색
6567,람보르기니,5591,우라칸,가솔린,262,2020,에보 5.2 RWD 스파이더,경기,검정색
