,bradn,mile,name,fuel,price,year,model,location
3316,BMW,73217.0,5시리즈 (G30),디젤,3490.0,2017,520d M 스포츠 플러스,인천
3317,닛산,24136.0,알티마,가솔린,1280.0,2015,2.5,인천
3318,BMW,87000.0,5시리즈 (F10),디젤,1880.0,2013,520d,경기
3319,렉서스,84000.0,ES300h 7세대,가솔린+전기,4550.0,2019,이그제큐티브,경기
3320,벤츠,39127.0,E-클래스 W213,가솔린,5050.0,2018,E300 4MATIC 익스클루시브 스탠다드,경기
3321,아우디,178000.0,A7,가솔린,2470.0,2014,3.0 TFSI 콰트로 프레스티지,경기
3322,볼보,90474.0,XC90 2세대,디젤,6400.0,2018,D5 인스크립션,경기
3323,인피니티,146500.0,Q50,디젤,1299.0,2014,2.2d 익스클루시브,경기
3324,BMW,108000.0,3시리즈 (F30),디젤,1199.0,2012,320d,경기
3325,미니,91710.0,쿠퍼 SD 컨트리맨,디젤,1490.0,2015,ALL4,경기
3326,도요타,81653.0,프리우스 4세대,가솔린+전기,1599.0,2017,1.8 E,경기
3327,BMW,100732.0,1시리즈 (F20),디젤,1370.0,2015,118d 스포츠 5도어,경기
3328,BMW,128369.0,5시리즈 (G30),가솔린,3290.0,2017,530i M 스포츠,경기
3329,BMW,100732.0,1시리즈 (F20),디젤,1370.0,2015,118d 스포츠 5도어,경기
3330,도요타,81653.0,프리우스 4세대,가솔린+전기,1599.0,2017,1.8 E,경기
3331,미니,91710.0,쿠퍼 SD 컨트리맨,디젤,1490.0,2015,ALL4,경기
3332,BMW,130948.0,5시리즈 (F10),디젤,2390.0,2016,520d xDrive 럭셔리 플러스,경기
3333,BMW,125000.0,7시리즈 (G11),디젤,4490.0,2016,730d xDrive,경기
3334,렉서스,183583.0,LS460L,가솔린,2350.0,2013,5인승,경기
3335,미니,20008.0,쿠퍼 컨트리맨,가솔린,3399.0,2020,HIGH,경기
3336,벤츠,54330.0,CLS-클래스 C257,디젤,6900.0,2019,CLS400d 4MATIC,경기
3337,BMW,92873.0,5시리즈 (E60),가솔린,490.0,2005,530i 세단,경기
3338,아우디,162579.0,A7,가솔린,1688.0,2012,3.0 TFSI 콰트로 엔트리,부산
3339,벤츠,43236.0,E-클래스 W213,가솔린,7809.0,2018,E63 AMG 4MATIC+,부산
3340,BMW,9405.0,X1 (F48),디젤,3330.0,2018,xDrive 20d 조이,경기
3341,BMW,18000.0,3시리즈 (G20),디젤,3950.0,2019,320d,서울
3342,아우디,133690.0,A5,가솔린,1230.0,2013,2.0 TFSI 콰트로,인천
3343,폭스바겐,86171.0,뉴 제타,디젤,1350.0,2016,2.0 TDI 블루모션 프리미엄,경기
3344,닛산,112480.0,350Z,가솔린,1180.0,2005,3.5 쿠페,대전
3345,인피니티,275000.0,Q50,디젤,790.0,2014,2.2d 프리미엄,경기
3346,BMW,53533.0,5시리즈 (G30),디젤,4790.0,2018,530d M 스포츠 플러스,부산
3347,벤츠,13751.0,CLS-클래스 C257,가솔린,8700.0,2020,CLS450 4MATIC AMG Line,서울
3348,BMW,205776.0,5시리즈 (F10),디젤,1450.0,2014,520d xDrive,경기
3349,아우디,63963.0,뉴 A6,가솔린,1490.0,2012,2.0 TFSI 다이나믹,경기
3350,BMW,185384.0,5시리즈 (G30),디젤,2990.0,2017,520d M 스포츠 플러스,경기
3351,아우디,184368.0,뉴 A6,가솔린,290.0,2008,2.0 TFSI,경기
3352,벤츠,18038.0,스프린터,디젤,9200.0,2016,3.0 디젤,부산
3353,BMW,51575.0,1시리즈 (F20),디젤,1350.0,2014,118d 어반 5도어,부산
3354,벤츠,14541.0,CLS-클래스 C257,디젤,6990.0,2020,CLS300d AMG Line,대구
3355,BMW,14749.0,X5 (G05),가솔린,6342.0,2021,xDrive 40i xLine,경남
3356,아우디,8033.0,A8 (D5),가솔린,14997.0,2021,55 TFSI 콰트로 LWB,경기
3357,BMW,2518.0,1시리즈 (F40),디젤,3630.0,2021,118d M 스포츠,경기
3358,벤츠,69082.0,A-클래스 W177,가솔린,3090.0,2020,A220 세단,경기
3359,벤츠,49950.0,뉴 SLK-클래스,가솔린,2550.0,2012,200 블루이피션시,경기
3360,아우디,75347.0,뉴 A6,디젤,2450.0,2015,35 TDI 다이나믹,강원
3361,랜드로버,50000.0,디스커버리 5,디젤,5350.0,2019,2.0 SD4 SE,경기
3362,포르쉐,37503.0,718 카이맨,가솔린,7290.0,2018,2.0,경기
3363,BMW,53229.0,X5 (F15),디젤,5870.0,2018,xDrive 30d M 스포츠,인천
