,info
슈프림,86
이그제큐티브,53
프리미엄,27
5인승,17
럭셔리,17
슈페리어,10
플래티넘,10
럭셔리 플러스,9
STD,7
F-Sport,7
2.0,6
슈프림XV60,6
P-Grade,6
컴팩트 트랜디,5
슈프림+,4
4인승,4
이그제큐티브XV60,3
Premium,2
L-Grade,2
크리스털 에디션,2
컴팩트 럭셔리,2
SPORT,1
2.0 F-Sport,1
슈프림ZWA10,1
스타일 에디션,1
LC500 스포츠+,1
