,brand,name,type,km,year,accident,color,location,price,wd,trim
95,혼다,오딧세이,가솔린,39377,2019,무사고,회색,경기,3999,2WD,3.5
96,혼다,어코드,가솔린,43146,2018,무사고,회색,대구,2790,2WD,2.0 터보 스포츠
97,혼다,어코드,가솔린,18614,2019,무사고,회색,경기,2730,2WD,1.5 터보
98,혼다,어코드,가솔린,106902,2010,무사고,회색,광주,550,2WD,3.5
99,혼다,어코드,가솔린,74552,2013,무사고,회색,충남,1080,2WD,2.4
100,혼다,시빅,가솔린,151328,2008,무사고,회색,부산,290,2WD,1.8
101,혼다,어코드,가솔린,95218,2008,무사고,회색,충남,430,2WD,2.4
102,혼다,CR-V,가솔린,78912,2011,무사고,회색,경기,1150,4WD,2.4
103,혼다,어코드,가솔린,60521,2017,무사고,회색,서울,1770,2WD,2.4
104,혼다,어코드,가솔린,98161,2010,무사고,회색,경기,550,2WD,2.4
105,혼다,어코드,가솔린,160105,2014,무사고,회색,부산,820,2WD,2.4
106,혼다,어코드,가솔린,14238,2019,무사고,회색,서울,2580,2WD,1.5 터보
107,혼다,CR-V,가솔린,141222,2012,무사고,회색,경기,1070,4WD,EX-L
108,혼다,시빅,가솔린,84676,2008,무사고,회색,부산,390,2WD,2.0
109,혼다,CR-V,가솔린,156207,2007,무사고,회색,경기,770,4WD,2.4
110,혼다,어코드,가솔린,120003,2010,무사고,회색,대구,650,2WD,2.4
111,혼다,어코드,가솔린,77035,2010,무사고,회색,서울,640,2WD,2.4
112,혼다,오딧세이,가솔린,33780,2013,무사고,회색,경기,2450,2WD,3.5
113,혼다,오딧세이,가솔린,41170,2013,무사고,회색,서울,2230,2WD,3.5
114,혼다,CR-V,가솔린,73709,2011,무사고,회색,경기,1090,4WD,2.4
115,혼다,어코드,가솔린,155910,2010,무사고,회색,서울,470,2WD,2.4
116,혼다,CR-V,가솔린,75600,2011,무사고,회색,서울,1080,4WD,2.4
117,혼다,CR-V,가솔린,144023,2005,무사고,회색,경기,620,4WD,2.4
118,혼다,어코드,가솔린,107014,2012,무사고,회색,경기,650,2WD,2.4
119,혼다,오딧세이,가솔린,72679,2018,무사고,회색,경기,3690,2WD,3.5
120,혼다,CR-V,가솔린,113876,2007,무사고,회색,인천,630,4WD,2.4
121,혼다,CR-V,가솔린,46035,2012,무사고,회색,경기,1420,4WD,EX-L
122,혼다,어코드,가솔린,151366,2013,무사고,회색,경기,760,2WD,2.4
123,혼다,어코드,가솔린,99422,2015,무사고,회색,경기,1190,2WD,2.4
124,혼다,시빅,가솔린,86671,2007,무사고,회색,광주,420,2WD,2.0
125,혼다,시빅,가솔린,156608,2007,무사고,회색,경기,250,2WD,1.8
126,혼다,파일럿,가솔린,25997,2017,무사고,회색,경기,2990,2WD,3.5
128,혼다,어코드,가솔린,13635,2018,무사고,회색,경기,2790,2WD,2.0 터보 스포츠
129,혼다,어코드,하이브리드,41656,2018,무사고,흰색,서울,3100,2WD,2.0투어링
130,혼다,어코드,하이브리드,41656,2018,무사고,흰색,서울,3100,2WD,2.0투어링
132,혼다,어코드,하이브리드,23632,2019,사고,흰색,서울,2990,2WD,2.0투어링
133,혼다,파일럿,가솔린,66176,2017,무사고,회색,충남,2660,2WD,3.5
135,혼다,어코드,가솔린,19606,2020,무사고,흰색,서울,2890,2WD,1.5 터보
136,혼다,어코드,가솔린,48061,2017,무사고,기타,인천,1840,2WD,2.49세대
138,혼다,어코드,가솔린,35793,2019,무사고,회색,전북,2650,2WD,1.5 터보
139,혼다,어코드,가솔린,98890,2014,단순사고(접촉),흰색,인천,1050,2WD,2.49세대
142,혼다,어코드,가솔린,106721,2015,단순교환,흰색,충남,1140,2WD,2.49세대
143,혼다,파일럿,가솔린,30904,2017,단순교환,회색,인천,2890,2WD,3.5
144,혼다,어코드,가솔린,15479,2020,무사고,흰색,인천,2930,2WD,1.5 터보
145,혼다,어코드,가솔린,101021,2014,단순교환,회색,충남,1170,2WD,2.49세대
146,혼다,어코드,가솔린,4444,2021,무사고,검정색,경남,3180,2WD,1.5 터보
147,혼다,어코드,가솔린,13621,2020,무사고,회색,인천,2910,2WD,1.5 터보
149,혼다,오딧세이,가솔린,2930,2021,무사고,흰색,서울,5290,2WD,3.5
150,혼다,어코드,가솔린,83408,2015,무사고,회색,전남,1320,2WD,2.49세대
151,혼다,오딧세이,가솔린,33296,2018,무사고,기타,인천,3860,2WD,3.5
152,혼다,어코드,가솔린,55408,2017,무사고,검정색,서울,1930,2WD,2.49세대
156,혼다,시빅,하이브리드,207200,2008,무사고,회색,경기,390,2WD,1세대
157,혼다,시빅,하이브리드,207200,2008,무사고,회색,경기,390,2WD,1세대
