,brand,name,year,info,km,location,price,type,color
417,기아,스팅어,18/02식,2.0 터보 2WD,"75,429km",대구,"2,890",가솔린,빨간색
418,제네시스,더 뉴 G70,21/07식,디젤 2.2 4WD,464km,경기,"5,320",디젤,빨간색
419,현대,코나 하이브리드,19/12식(20년형),모던 스페셜,"16,132km",부산,"2,360",가솔린+전기,빨간색
420,기아,스팅어,19/05식(20년형),3.3 터보 AWD,"23,679km",대구,"3,890",가솔린,빨간색
421,기아,올 뉴 K3,19/09식(20년형),프레스티지,"12,384km",서울,"1,690",가솔린,빨간색
422,제네시스,G70,19/12식,3.3T 스포츠 AWD,"57,307km",전북,"3,790",가솔린,빨간색
423,기아,쏘울,10/05식,1.6 2U,"104,847km",서울,530,가솔린,빨간색
424,쌍용,코란도 스포츠,12/05식,CX7 4WD,"155,750km",서울,890,디젤,빨간색
425,쌍용,티볼리,17/08식,엣지 에디션 2WD,"42,607km",서울,"1,220",가솔린,빨간색
426,기아,올 뉴 모닝,14/02식,디럭스 트렌디,"84,508km",울산,590,가솔린,빨간색
427,쉐보레(GM대우),올 뉴 카마로,18/11식,SS 6.2 V8 볼케이노 레드,"11,358km",경기,"3,650",가솔린,빨간색
428,쌍용,액티언,09/10식(10년형),2WD CX5,"192,802km",서울,220,디젤,빨간색
429,제네시스,G70,17/12식(18년형),2.0T,"52,717km",경기,"3,450",가솔린,빨간색
430,현대,더 뉴 코나,20/10식(21년형),가솔린 1.6 터보 4WD,"6,146km",부산,"2,800",가솔린,빨간색
431,기아,레이,13/08식,럭셔리,"71,114km",경기,720,가솔린,빨간색
432,기아,올 뉴 카니발,15/01식,11인승 노블레스,"125,143km",경기,"1,520",디젤,빨간색
433,기아,포르테 쿱,11/03식,1.6 GDI 프레스티지,"100,107km",경기,550,가솔린,빨간색
434,쌍용,더 뉴 코란도 스포츠,17/06식(18년형),2.2 CX5 2WD,"48,085km",부산,"1,650",디젤,빨간색
435,쌍용,코란도 스포츠,13/05식,CX5 2WD,"96,444km",부산,"9,999",디젤,빨간색
436,쌍용,코란도 스포츠,16/06식,CX7 4WD,"57,235km",경기,"1,530",디젤,빨간색
437,기아,스토닉,17/08식(18년형),디젤 1.6,"83,722km",경기,"1,320",디젤,빨간색
438,기아,쏘울 부스터,19/04식,1.6 T-GDI 노블레스,"33,501km",서울,"2,200",가솔린,빨간색
439,현대,벨로스터,13/05식(14년형),터보 D 스펙,"84,384km",경기,970,가솔린,빨간색
440,,,,,,,,,빨간색
441,현대,LF 쏘나타,14/05식(15년형),2.0 스마트,"53,591km",경기,"1,320",가솔린,빨간색
442,기아,셀토스,19/08식(20년형),가솔린 1.6 터보 2WD,"11,088km",경기,"2,549",가솔린,빨간색
443,기아,쏘울,11/06식,1.6 2U,"102,232km",부산,888,가솔린,빨간색
444,현대,벨로스터,13/02식,익스트림,"163,084km",경기,580,가솔린,빨간색
