,제조사,모델명,옵션명,연식,주행거리,연료,색상,가격
62,쉐보레/대우,올뉴말리부,가솔린1.5터보LTZ ,2017,"55,553Km",휘발유,검정,"1,500"
63,캐딜락,CTS(3세대),2.0T 프리미엄,2015,"141,389Km",휘발유,검정,"1,680"
64,기아,올뉴카니발,9인승 노블레스,2015,"65,457Km",경유,검정,"2,100"
65,현대,제네시스DH,G330프리미엄 ,2015,"145,075Km",휘발유,검정,"1,810"
66,현대,에쿠스(신형),VS380 익스클루시브,2013,"78,469Km",휘발유,검정,"2,640"
67,현대,제네시스DH,G330모던AWD ,2014,"59,526Km",휘발유,검정,"2,440"
68,현대,그랜저IG,3.0가솔린 익스클루시브,2017,"103,746Km",휘발유,검정,"1,820"
69,벤츠,M클래스(W163/164),ML350블루텍4MATIC W166,2015,"98,630Km",경유,검정,"3,250"
70,르노삼성,QM6,가솔린2WD RE시그니처,2019,"25,349Km",휘발유,검정,"2,340"
71,르노삼성,SM6,2.0 GDe SE,2016,"150,000Km",휘발유,검정,829
72,기아,더K9(2세대),3.8GDI AWD 그랜드플래티넘,2019,"71,019Km",휘발유,검정,"4,340"
73,기아,카니발R,그랜드카니발하이리무진GLX 프리미엄,2012,"125,892Km",경유,검정,"1,229"
74,현대,그랜저HG,LPG HG300 모던,2014,"95,000Km",LPG,검정,"1,050"
75,현대,그랜저IG,3.0가솔린 익스클루시브,2018,"84,871Km",휘발유,검정,"1,960"
76,현대,올뉴투싼(TL),디젤1.7 2WD 모던,2018,"52,659Km",경유,검정,"1,880"
77,기아,더뉴쏘렌토,디젤2.0 2WD 노블레스 스페셜,2018,"45,888Km",경유,검정,"2,720"
78,기아,K7프리미어 하이브리드,2.4하이브리드 노블레스,2020,"44,329Km",휘발유+전기,검정,"3,600"
79,현대,쏘나타뉴라이즈,2.0 CVVL 스마트,2018,"49,948Km",휘발유,검정,"1,640"
80,현대,싼타페더프라임,디젤2.0 2WD 밸류플러스,2018,"92,104Km",경유,검정,"2,070"
81,현대,그랜저IG,3.0가솔린 익스클루시브,2018,"55,214Km",휘발유,검정,"2,390"
82,현대,쏘나타뉴라이즈,1.6 터보 스마트,2018,"47,666Km",휘발유,검정,"1,780"
83,기아,K5 2세대,1.7디젤 MX 디럭스,2016,"136,731Km",경유,검정,"1,080"
84,쉐보레/대우,더뉴말리부,E-터보 프리미어퍼펙트블랙,2020,"26,714Km",휘발유,검정,"2,400"
85,BMW,3시리즈(E90),328i컨버터블 ,2010,"113,060Km",휘발유,검정,"1,270"
86,현대,제네시스DH,G330모던AWD ,2014,"158,202Km",휘발유,검정,"1,740"
87,현대,그랜저IG,3.0가솔린 모던 베이직,2019,"49,733Km",휘발유,검정,"1,870"
88,기아,올뉴K7,2.2디젤 프레스티지,2016,"53,760Km",경유,검정,"1,770"
89,기아,올뉴K7,2.4GDI 리미티드에디션,2017,"102,957Km",휘발유,검정,"1,480"
90,제네시스,G80(1세대),3.3GDI AWD 프레스티지,2018,"101,528Km",휘발유,검정,"3,240"
91,캐딜락,XT6,3.6 V6 스포츠,2019,"22,480Km",휘발유,검정,"4,180"
92,기아,더K9(2세대),3.8GDI AWD 플래티넘3,2019,"95,949Km",휘발유,검정,"3,630"
93,기아,올뉴K7,2.4GDI 프레스티지,2016,"109,373Km",휘발유,검정,"1,620"
94,제네시스,EQ900,3.8GDI AWD 프리미엄럭셔리,2017 ,"101,922Km",휘발유,검정,"3,600"
95,기아,올뉴K7,2.4GDI 프레스티지,2016,"157,628Km",휘발유,검정,"1,330"
96,렉서스,LS(5세대),LS500 AWD 럭셔리,2018,"42,345Km",휘발유,검정,"7,200"
97,기아,더K9(2세대),3.8GDI 플래티넘1,9999,"47,441Km",휘발유,검정,"3,680"
98,쌍용,렉스턴W,2.0 4WD RX7 럭셔리,2015,"150,242Km",경유,검정,"1,080"
99,포드,익스플로러(5세대),2.3리미티드AWD ,2017,"62,782Km",휘발유,검정,"2,740"
100,기아,스팅어,2.2디젤 2WD 프라임,2018,"96,046Km",경유,검정,"2,219"
101,제네시스,G70,2.0T 어드밴스드,2018,"91,607Km",휘발유,검정,"2,579"
102,르노삼성,SM3네오(2세대),가솔린1.6 SE,2016,"61,000Km",휘발유,검정,500
103,기아,K7프리미어,2.5가솔린 노블레스,2020,"23,008Km",휘발유,검정,"2,939"
104,재규어,XJL(X351),3.0디젤 프리미엄럭셔리,2013,"157,434Km",경유,검정,"2,200"
105,제네시스,EQ900,3.8GDI AWD 럭셔리,2016,"94,798Km",휘발유,검정,"2,999"
106,포드,익스플로러(5세대),3.5리미티드AWD ,2015,"101,015Km",휘발유,검정,"1,980"
107,현대,싼타페DM,디젤(e-VGT)2.0 2WD익스클루시브 기본형,2013,"148,067Km",경유,검정,"1,300"
108,기아,K5,LPI프레스티지 ,2012,"157,770Km",LPG,검정,570
109,아우디,NEW A4,2.0TFSI콰트로 ,2012,"113,000Km",휘발유,검정,950
110,현대,아슬란,G330 프리미엄 ,2015,"136,964Km",휘발유,검정,"1,530"
111,마세라티,기블리,3.0 디젤 ,2015,"125,246Km",경유,검정,"3,490"
112,기아,올뉴카니발,9인승 럭셔리,2018,"79,711Km",경유,검정,"1,860"
113,현대,더뉴아반떼MD,1.6GDi 스타일 ,2015,"82,977Km",휘발유,검정,790
114,기아,더뉴K7,2.4GDI 프레스티지스페셜,2015 ,"99,927Km",휘발유,검정,"1,520"
115,기아,더뉴K9(1세대),3.3GDI 이그제큐티브 ,2018,"109,118Km",휘발유,검정,"2,480"
116,기아,더뉴카니발,9인승 노블레스스페셜,2019,"59,303Km",경유,검정,"2,690"
117,기아,스포티지4세대(QL),디젤1.7 2WD 트렌디,2016,"51,390Km",경유,검정,"1,590"
118,현대,팰리세이드,2.2디젤AWD 익스클루시브,2019,"58,664Km",경유,검정,"3,400"
119,쉐보레/대우,올란도,LPG퍼펙트블랙 ,2018,"58,826Km",LPG,검정,"1,550"
120,제네시스,EQ900,3.8GDI AWD 럭셔리,2016,"94,798Km",휘발유,검정,"2,999"
121,아우디,Q5,2.0TDI콰트로 ,2012,"126,552Km",경유,검정,"1,550"
122,벤츠,GLA클래스,GLA220 프리미엄,2019,"30,209Km",휘발유,검정,"3,740"
123,기아,K7프리미어 하이브리드,2.4하이브리드 시그니처,2019 ,"67,234Km",휘발유+전기,검정,"3,590"
124,기아,올뉴K7,3.3GDI 노블레스 스페셜,2016 ,"146,219Km",휘발유,검정,"1,520"
125,기아,K7 하이브리드,700h 프레스티지,2016 ,"60,839Km",휘발유+전기,검정,"1,680"
126,제네시스,EQ900,3.3T-GDI AWD 럭셔리,2017,"139,310Km",휘발유,검정,"3,040"
127,벤츠,E클래스(W213),E300아방가르드 ,2017,"155,871Km",휘발유,검정,"3,750"
128,쉐보레/대우,올뉴말리부,가솔린2.0터보LT 프리미엄,2018 ,"30,656Km",휘발유,검정,"1,780"
129,아우디,A5,35TDI콰트로다이나믹스포츠백 8T3,2015,"90,446Km",경유,검정,"2,080"
130,기아,더뉴K9(1세대),3.8GDI 이그제큐티브 ,2018,"91,748Km",휘발유,검정,"2,740"
131,기아,더뉴모하비,3.0 4WD VIP,2018,"84,847Km",경유,검정,"2,850"
132,제네시스,G80(1세대),3.3GDI AWD 럭셔리,2019,"115,933Km",휘발유,검정,"2,750"
133,기아,올뉴카니발,9인승 프레스티지,2017,"155,000Km",경유,검정,"1,700"
134,기아,카니발(4세대),디젤 7인승 시그니처 ,2021,"9,312Km",경유,검정,"4,830"
135,현대,에쿠스(신형),VS380 프레스티지,2013 ,"111,906Km",휘발유,검정,"2,290"
136,쉐보레/대우,올뉴말리부,가솔린1.5터보LS 디럭스,2017,"40,714Km",휘발유,검정,"1,410"
137,폭스바겐,골프(6세대),2.0TDI ,2013,"155,034Km",경유,검정,800
138,현대,그랜저HG,가솔린 HG300 프라임,2012 ,"59,343Km",휘발유,검정,"1,020"
139,기아,뉴쏘렌토R,디젤2.0 2WD TLX스페셜,2013 ,"103,803Km",경유,검정,"1,360"
140,기아,K5 3세대,2.0가솔린 노블레스,2020 ,"26,629Km",휘발유,검정,"2,740"
141,볼보,XC90(2세대),D5AWD 모멘텀,2017 ,"111,360Km",경유,검정,"4,980"
142,제네시스,G80(1세대),3.3GDI AWD 프리미엄럭셔리,2018,"45,769Km",휘발유,검정,"3,950"
143,기아,더뉴모하비,3.0 4WD 프레지던트,2017,"149,998Km",경유,검정,"2,290"
144,포드,익스플로러(5세대),3.5리미티드AWD ,2014,"132,307Km",휘발유,검정,"1,650"
145,기아,스팅어,2.0터보 2WD 플래티넘,2018,"46,451Km",휘발유,검정,"2,940"
146,현대,더뉴그랜드스타렉스,밴 3인승 스마트,2018,"82,956Km",경유,검정,"1,820"
147,쉐보레/대우,올란도,디젤2.0LTZ 프리미엄,2014 ,"123,652Km",경유,검정,860
148,아우디,뉴A6,35TDI콰트로프리미엄 C7,2016 ,"148,066Km",경유,검정,"1,939"
149,현대,그랜저HG,가솔린 HG240 스페셜,2016,"148,001Km",휘발유,검정,"1,290"
150,제네시스,G80(1세대),3.3GDI AWD 프레스티지,2018,"51,833Km",휘발유,검정,"3,900"
151,현대,제네시스DH,G330프리미엄 ,2016,"132,448Km",휘발유,검정,"2,210"
152,현대,LF쏘나타,2.0 스마트 스페셜,2017,"116,945Km",휘발유,검정,"1,290"
153,현대,그랜저HG,가솔린 HG300 프리미엄,2014,"91,640Km",휘발유,검정,"1,270"
