,제조사,모델명,옵션명,연식,주행거리,연료,색상,가격
983,현대,쏘나타뉴라이즈,1.6 터보 스마트,2019,"68,877Km",휘발유,검정,"1,790"
984,현대,YF쏘나타,Y20 프리미어 최고급형,2010,"117,970Km",휘발유,검정,530
985,현대,LF쏘나타,2.0 스타일 ,2017,"41,875Km",휘발유,검정,"1,330"
986,아우디,A7,3.0 TFSI 콰트로 엔트리,2013,"111,423Km",휘발유,검정,"1,999"
987,인피니티,Q30,2.0t 익스클루시브,2017,"52,106Km",휘발유,검정,"2,190"
988,기아,더뉴K7,3.0LPI 럭셔리,2015,"171,625Km",LPG,검정,900
989,현대,그랜저HG,가솔린 HG300 익스클루시브,2016,"151,812Km",휘발유,검정,"1,090"
990,현대,YF쏘나타,Y20 로얄 ,2011,"176,041Km",휘발유,검정,420
991,현대,싼타페더프라임,디젤2.0 2WD 프리미엄,2018,"43,240Km",경유,검정,"2,180"
992,현대,제네시스DH,G330프리미엄AWD ,2016,"170,870Km",휘발유,검정,"1,650"
993,기아,K9(1세대),3.3GDI 노블레스 기본형,2013,"161,689Km",휘발유,검정,"1,300"
994,기아,니로,1.6 하이브리드 노블레스,2017 ,"102,212Km",휘발유+전기,검정,"1,630"
995,링컨,뉴MKS,3.7 ,2014,"110,000Km",휘발유,검정,899
996,쉐보레/대우,임팔라,2.5 LTZ,2016,"96,247Km",휘발유,검정,"1,290"
997,현대,제네시스쿠페,200터보P ,2010,"182,022Km",휘발유,검정,550
998,제네시스,G80(1세대),3.8GDI AWD 프레스티지,2018 ,"132,520Km",휘발유,검정,"2,760"
999,쌍용,코란도C,클러비2WD 리미티드,2013,"187,805Km",경유,검정,490
1000,기아,K9(1세대),3.3GDI 노블레스 기본형,2013,"161,689Km",휘발유,검정,"1,300"
1001,기아,니로,1.6 하이브리드 노블레스,2017 ,"102,212Km",휘발유+전기,검정,"1,630"
1002,링컨,뉴MKS,3.7 ,2014,"110,000Km",휘발유,검정,899
1003,르노삼성,올뉴SM7,가솔린3.5 RE35,2012,"237,490Km",휘발유,검정,390
1004,현대,그랜저뉴럭셔리,가솔린 Q270 럭셔리기본형,2007,"114,533Km",휘발유,검정,250
1005,기아,올뉴K7,3.0GDI 노블레스,2019,"40,574Km",휘발유,검정,"2,330"
1006,현대,제네시스DH,G330프리미엄AWD ,2016,"160,800Km",휘발유,검정,"1,890"
1007,기아,올뉴K7,2.2디젤 리미티드,2017,"111,365Km",경유,검정,"1,690"
1008,벤츠,CLS클래스,CLS350 W219,2010,"176,000Km",휘발유,검정,"1,090"
1009,쉐보레/대우,임팔라,3.6 LTZ,2016,"53,460Km",휘발유,검정,"1,500"
1010,현대,그랜드스타렉스,5인승밴 스마트,2017 ,"254,445Km",경유,검정,"1,050"
1011,쌍용,렉스턴스포츠,디젤2.2 4WD 프레스티지스페셜,2018,"66,547Km",경유,검정,"2,240"
1012,현대,그랜저HG,가솔린 HG240 모던,2015,"137,626Km",휘발유,검정,"1,090"
1013,제네시스,EQ900,5.0GDI AWD 프레스티지,2017,"76,637Km",휘발유,검정,"4,190"
1014,제네시스,G80(1세대),3.8GDI 프레스티지,2018,"83,696Km",휘발유,검정,"2,840"
1015,기아,올뉴K7,3.3GDI 노블레스,2017,"91,870Km",휘발유,검정,"1,920"
1016,캐딜락,ATS쿠페,2.0T ,2015 ,"47,152Km",휘발유,검정,"1,690"
1017,현대,그랜저HG,가솔린 HG240 모던 컬렉션,2017,"62,035Km",휘발유,검정,"1,390"
1018,현대,아반떼AD,1.6GDi 스타일 ,2017,"49,996Km",휘발유,검정,939
1019,현대,그랜저IG,2.4가솔린 삼성임원전용,2018,"104,807Km",휘발유,검정,"2,130"
1020,현대,그랜저IG,2.4가솔린 삼성임원전용,2018,"80,799Km",휘발유,검정,"2,280"
1021,기아,레이,터보 TCI 프레스티지,2017,"17,802Km",휘발유,검정,"1,490"
1022,기아,K5,2.0노블레스 ,2013,"169,621Km",휘발유,검정,790
1023,현대,제네시스,BH330럭셔리 기본형,2012,"167,325Km",휘발유,검정,880
1024,BMW,4시리즈(F32/33),428i쿠페 M스포츠,2014 ,"80,014Km",휘발유,검정,"2,550"
1025,폭스바겐,제타(6세대),2.0TDI블루모션 ,2016,"90,824Km",경유,검정,950
1026,현대,더뉴그랜드스타렉스,웨건 12인승 스마트,2018,"69,962Km",경유,검정,"1,790"
1027,기아,올뉴K7,2.4GDI 프레스티지,2017,"47,918Km",휘발유,검정,"1,890"
1028,현대,에쿠스(신형),VS380 럭셔리,2010,"111,478Km",휘발유,검정,890
1029,기아,더뉴K5 2세대,2.0LPI 럭셔리,2019 ,"94,907Km",LPG,검정,"1,380"
1030,아우디,A7,40 TDI 프리미엄 4G,2016,"45,141Km",경유,검정,"3,720"
1031,르노삼성,SM6,2.0 GDe PE,2017,"68,581Km",휘발유,검정,"1,190"
1032,기아,올뉴K7,3.0LPI 럭셔리,2018,"113,618Km",LPG,검정,"1,550"
1033,기아,K5 2세대,LPI MX 프레스티지,2018,"72,000Km",LPG,검정,"1,390"
1034,기아,카니발R,뉴카니발리무진GLX 최고급형,2014,"209,954Km",경유,검정,730
1035,아우디,뉴A8,60TDI콰트로 ,2015,"172,066Km",경유,검정,"3,480"
1036,현대,그랜저IG,3.0가솔린 익스클루시브 스페셜,2018,"98,728Km",휘발유,검정,"2,090"
1037,현대,그랜저IG,2.4가솔린 삼성임원전용,2018,"12,577Km",휘발유,검정,"2,800"
1038,현대,그랜저HG,디젤 HG220 모던,2016,"171,217Km",경유,검정,950
1039,미니,미니3도어(1세대),쿠퍼 기본형,2010,"110,110Km",휘발유,검정,540
1040,현대,뉴투싼ix(LM),디젤(e-VGT)2WD 모던,2014,"164,629Km",경유,검정,990
1041,현대,그랜저IG,3.0가솔린 익스클루시브,2018,"66,310Km",휘발유,검정,"2,350"
1042,기아,더뉴카니발,9인승 노블레스스페셜,2019,"64,033Km",경유,검정,"2,990"
1043,기아,K5 2세대,2.0 MX 디럭스,2016,"29,237Km",휘발유,검정,"1,270"
1044,현대,에쿠스(신형),VS380 럭셔리,2011,"199,722Km",휘발유,검정,720
1045,기아,K7,VG270 럭셔리 ,201101,"118,466Km",휘발유,검정,599
1046,현대,LF쏘나타,2.0 스마트 ,2017,"28,348Km",휘발유,검정,"1,580"
1047,아우디,뉴A6,2.0TFSI C7,2012,"171,007Km",휘발유,검정,"1,020"
1048,르노삼성,SM6,2.0 GDe LE,2016,"44,115Km",휘발유,검정,"1,290"
1049,현대,제네시스,BH380로얄 기본형,2008,"177,939Km",휘발유,검정,610
1050,현대,그랜저HG,가솔린 HG240 모던,2014,"163,234Km",휘발유,검정,880
1051,현대,아반떼AD,1.6디젤 스마트 기본형,2016,"149,369Km",경유,검정,930
1052,기아,쏘렌토R,디젤2.24WD리미티드 프리미엄,2010 ,"120,951Km",경유,검정,990
1053,현대,그랜저HG 하이브리드,프리미엄 ,2014,"180,000Km",휘발유+전기,검정,940
1054,르노삼성,SM5뉴임프레션,LPLi SE,2010,"105,118Km",LPG,검정,350
1055,르노삼성,뉴SM5(신형),가솔린 2.0 XE,2010,"108,674Km",휘발유,검정,380
1056,현대,그랜저HG,가솔린 HG240 모던,2016,"79,000Km",휘발유,검정,"1,490"
1057,현대,제네시스,프라다GP500 ,2012,"187,547Km",휘발유,검정,"1,850"
1058,현대,그랜저TG,가솔린 L330 탑메모리팩,2007,"116,842Km",휘발유,검정,270
1059,현대,YF쏘나타,Y20 프라임 고급형,2010,"139,000Km",휘발유,검정,480
1060,르노삼성,QM5,디젤2WD LE 프리미엄,2009,"280,000Km",경유,검정,390
1061,쌍용,액티언,4WD CX5 최고급형,2007,"190,519Km",경유,검정,330
1062,재규어,XF(1세대),3.0디젤 럭셔리,2010,"156,219Km",경유,검정,650
1063,제네시스,G80(1세대),3.3GDI 프리미엄럭셔리,2017,"111,972Km",휘발유,검정,"2,430"
1064,아우디,뉴A6,45TDI콰트로 C7,2015,"157,359Km",경유,검정,"1,540"
1065,현대,투싼(JM),2.0VGT디젤2WD JX 고급형,2006,"194,964Km",경유,검정,220
1066,기아,올뉴K7,2.4GDI 리미티드,2017,"37,160Km",휘발유,검정,"2,400"
1067,현대,에쿠스(신형),VS380 익스클루시브,2014,"162,633Km",휘발유,검정,"1,750"
1068,현대,더럭셔리그랜저,LPI  Q270 팩1,2011 ,"166,192Km",LPG,검정,530
1069,르노삼성,SM7,가솔린2.3 LE,2007,"95,073Km",휘발유,검정,240
1070,토요타,캠리(7세대),2.5 XLE ,2014,"41,645Km",휘발유,검정,"1,050"
1071,현대,그랜저HG,가솔린 HG240 럭셔리,2012,"155,262Km",휘발유,검정,720
1072,현대,제네시스DH,G330모던 ,2016,"223,668Km",휘발유,검정,"1,380"
1073,기아,올뉴카니발,9인승 프레스티지,2015,"180,000Km",경유,검정,"1,460"
1074,쉐보레/대우,알페온,EL300 슈프림,9999,"179,281Km",휘발유,검정,419
1075,현대,그랜저HG,LPG HG300 택시형,2014 ,"251,559Km",LPG,검정,620
1076,기아,올뉴K7,3.0LPI 럭셔리,2016,"58,131Km",LPG,검정,"1,700"
1077,기아,올뉴카니발,9인승 노블레스,2016,"125,281Km",경유,검정,"1,920"
1078,기아,올뉴모닝,스마트 ,2015,"120,660Km",휘발유,검정,410
1079,현대,에쿠스(신형),VS380 모던,2013,"243,806Km",휘발유,검정,"1,250"
1080,미니,클럽맨(1세대),쿠퍼 기본형,2008 ,"112,061Km",휘발유,검정,550
1081,재규어,XF(1세대),3.0디젤 럭셔리,2011,"240,363Km",경유,검정,680
1082,기아,포르테,1.6CVVT SLi ,2009,"34,540Km",휘발유,검정,560
1083,기아,더프레스티지K7,2.4GDI 럭셔리,2012,"277,937Km",휘발유,검정,420
1084,현대,아슬란,G300 모던 ,2015,"187,242Km",휘발유,검정,"1,190"
1085,현대,그랜저HG,가솔린 HG300 로얄,2011,"83,910Km",휘발유,검정,"1,100"
1086,현대,아반떼MD,M16GDi 럭셔리 ,2011,"140,000Km",휘발유,검정,530
1087,BMW,7시리즈(F01/02),740Li ,2013,"79,264Km",휘발유,검정,"2,980"
1088,제네시스,EQ900,3.8GDI 프리미엄럭셔리,2018,"63,295Km",휘발유,검정,"4,590"
1089,벤츠,S클래스(W222),S500 4MATIC L ,2016,"95,236Km",휘발유,검정,"6,490"
1090,기아,더뉴K7,2.4GDI 프레스티지스페셜,2013,"166,235Km",휘발유,검정,970
1091,벤츠,S클래스(W222),S350블루텍 ,2015,"257,368Km",경유,검정,"3,790"
1092,기아,올뉴K7,2.4GDI 프레스티지,2016,"196,939Km",휘발유,검정,"1,390"
1093,현대,아슬란,G300 모던 ,2016,"94,121Km",휘발유,검정,"1,490"
1094,기아,K5 2세대,2.0 SX 프레스티지,2016 ,"112,288Km",휘발유,검정,"1,250"
1095,제네시스,EQ900,3.8GDI AWD 럭셔리,2018,"112,091Km",휘발유,검정,"3,590"
1096,현대,에쿠스(신형),VL500 프레스티지리무진,2012,"193,963Km",휘발유,검정,"1,330"
1097,기아,더프레스티지K7,2.4GDI 럭셔리,2012,"198,727Km",휘발유,검정,510
1098,쉐보레/대우,어메이징뉴크루즈,1.4LTZ ,2016,"45,813Km",휘발유,검정,870
1099,현대,그랜저뉴럭셔리,가솔린 Q270 럭셔리기본형,2010,"228,634Km",휘발유,검정,290
1100,현대,제네시스,BH330럭셔리 프라임팩,2009,"162,474Km",휘발유,검정,490
1101,현대,제네시스,BH380로얄 기본형,2008,"60,832Km",휘발유,검정,"1,200"
1102,쌍용,티볼리,가솔린 2WD LX고급형,2017,"43,220Km",휘발유,검정,"1,450"
1103,아우디,NEW A4,2.0TFSI콰트로 다이나믹,2011 ,"147,865Km",휘발유,검정,790
1104,현대,NF쏘나타,N20VGT엘레강스스페셜 고급형,2007,"219,990Km",경유,검정,180
1105,르노삼성,SM7뉴아트,가솔린2.3 프레스티지,2010,"180,475Km",휘발유,검정,290
1106,르노삼성,SM5뉴임프레션,가솔린 2.0 LE플러스,2008,"63,074Km",휘발유,검정,430
1107,벤츠,CL클래스,CL63AMG C215,2008,"92,480Km",휘발유,검정,"2,800"
1108,현대,그랜저HG,가솔린 HG240 모던,2014,"184,081Km",휘발유,검정,770
1109,아우디,Q7(1세대),35TDI콰트로 다이나믹,2015,"213,313Km",경유,검정,"2,280"
1110,볼보,S80,D3 ,2012,"176,352Km",경유,검정,740
1111,미니,미니3도어(2세대),쿠퍼 SE,9999,"74,575Km",휘발유,검정,"1,080"
1112,현대,에쿠스,JS350 럭셔리VIP,2006,"111,359Km",휘발유,검정,260
1113,현대,싼타페DM,디젤(e-VGT)2.0 2WD익스클루시브 기본형,2013,"133,454Km",경유,검정,"1,380"
1114,현대,그랜드스타렉스, ,2010,"104,472Km",경유,검정,680
1115,현대,그랜저IG,2.4가솔린 모던,2019,"101,008Km",휘발유,검정,"1,650"
1116,쌍용,체어맨H,500S 최고급형,2011,"190,076Km",휘발유,검정,200
1117,르노삼성,XM3,가솔린 1.3 TCe RE시그니처,2020,"36,684Km",휘발유,검정,"2,140"
1118,기아,K9(1세대),3.3GDI 노블레스 스페셜,2013 ,"216,643Km",휘발유,검정,"1,140"
1119,쌍용,뉴코란도,5인승 230SL CT,2002,"206,974Km",경유,검정,180
1120,기아,더뉴모닝,럭셔리 ,2016,"60,110Km",휘발유,검정,550
1121,기아,모하비더마스터,3.0 4WD 마스터즈,2020,"16,112Km",경유,검정,"4,720"
1122,기아,K5 하이브리드,프레스티지 ,2012,"231,000Km",휘발유+전기,검정,550
1123,르노삼성,SM7,가솔린3.5 RE35,2012,"140,955Km",휘발유,검정,550
1124,르노삼성,QM5,디젤2WD LE 프리미엄,2008,"260,000Km",경유,검정,250
1125,현대,아반떼MD,M16GDi 럭셔리 ,2012,"79,122Km",휘발유,검정,620
1126,기아,올뉴K7,2.4GDI 리미티드,2017,"91,217Km",휘발유,검정,"2,200"
1127,쌍용,올뉴렉스턴,디젤 2.2 4WD 더 블랙,2021,"3,319Km",경유,검정,"3,600"
1128,재규어,XJL(X351),5.0 프리미엄럭셔리,2011,"164,470Km",휘발유,검정,"1,350"
1129,현대,그랜저HG,가솔린 HG240 럭셔리,2011,"124,153Km",휘발유,검정,770
1130,기아,K7,VG270 럭셔리 프리미엄,2010,"93,241Km",휘발유,검정,680
1131,기아,K9(1세대),3.3GDI 노블레스 스페셜,2013,"99,228Km",휘발유,검정,"1,090"
1132,현대,베라크루즈,디젤2WD 300VX 럭셔리,2009,"243,911Km",경유,검정,640
1133,기아,K7,VG270 럭셔리 ,2010,"180,913Km",휘발유,검정,550
1134,벤츠,S클래스(W221),S500L4MATIC W221,2008,"208,935Km",휘발유,검정,"1,390"
1135,현대,에쿠스(신형),VS380 프라임,2012,"394,200Km",휘발유,검정,750
1136,현대,그랜저HG,가솔린 HG240 럭셔리,2011,"129,000Km",휘발유,검정,850
1137,현대,그랜저HG,LPG HG300 모던,2016,"173,519Km",LPG,검정,990
1138,르노삼성,SM7,가솔린2.3 LE,2008,"100,187Km",휘발유,검정,359
1139,캐딜락,뉴STS,3.6 ,2009,"132,875Km",휘발유,검정,450
1140,BMW,5시리즈(F10),528i SE,2011 ,"188,577Km",휘발유,검정,"1,010"
1141,쌍용,액티언,2WD CX5 최고급형,2006,"270,978Km",경유,검정,170
1142,현대,에쿠스(신형),VS380 프라임,2012,"210,781Km",휘발유,검정,850
1143,쌍용,뉴체어맨,CM600S 트라이엄,2007,"98,855Km",휘발유,검정,390
1144,아우디,Q5,2.0TDI콰트로 ,2009,"160,000Km",경유,검정,"1,150"
1145,현대,싼타페DM,디젤(e-VGT)2.0 2WD익스클루시브 스페셜,2014,"82,573Km",경유,검정,"1,580"
1146,기아,그랜드카니발,GLX하이리무진11인승 ,2008,"168,126Km",경유,검정,690
1147,BMW,5시리즈(F10),520d 럭셔리플러스,2012,"132,765Km",경유,검정,"1,390"
1148,현대,그랜저XG,L25 고급형,2002,"38,038Km",휘발유,검정,320
1149,르노삼성,뉴SM5(신형),가솔린 2.0 PE,2011,"184,351Km",휘발유,검정,330
1150,현대,NF쏘나타,N20엘레강스스페셜 기본형,2005,"115,093Km",휘발유,검정,140
1151,제네시스,EQ900,3.8GDI AWD 프리미엄럭셔리,2017 ,"204,185Km",휘발유,검정,"2,740"
1152,현대,제네시스,BH330럭셔리 ,2010,"177,709Km",휘발유,검정,990
1153,기아,레이,터보 TCI 프레스티지,2012,"119,672Km",휘발유,검정,630
1154,벤츠,E클래스(W213),E220d익스클루시브 ,2017,"68,651Km",경유,검정,"4,290"
1155,아우디,뉴A6,2.0TFSI C7다이나믹,2012 ,"133,866Km",휘발유,검정,"1,140"
1156,현대,그랜저IG,3.0가솔린 익스클루시브,2017,"118,034Km",휘발유,검정,"1,630"
1157,기아,뉴오피러스,GH270스페셜 기본형,2009,"194,262Km",휘발유,검정,250
1158,쉐보레/대우,토스카,L6 2.0 SE 고급형,2006 ,"166,642Km",휘발유,검정,109
1159,현대,그랜저HG,디젤 HG220 모던,2015,"227,058Km",경유,검정,750
1160,기아,뉴카니발,9인승디젤(VGT)GLX 고급형,2009,"217,052Km",경유,검정,430
1161,현대,그랜저TG,가솔린 Q270 ,2007 ,"117,479Km",휘발유,검정,340
1162,포드,파이브헌드레드,3.0 리미티드,2007,"184,204Km",휘발유,검정,219
1163,인피니티,G(V36), ,2007 ,"183,802Km",휘발유,검정,280
1164,현대,그랜저HG,가솔린 HG240 스페셜,2012 ,"161,400Km",휘발유,검정,"1,050"
1165,마이바흐,57,57 ,2003 ,"100,990Km",휘발유,검정,"4,300"
1166,르노삼성,SM7노바,가솔린2.5 LE,2015 ,"92,867Km",휘발유,검정,889
1167,아우디,뉴A6,2.4 ,2006 ,"120,000Km",휘발유,검정,600
1168,쌍용,뷰티풀코란도,1.5터보 2WD C5플러스,2020,"20,830Km",휘발유,흰색,"1,990"
1169,기아,스팅어,2.0터보 AWD 플래티넘,2020,"8,994Km",휘발유,흰색,"3,390"
1170,기아,더뉴모닝,럭셔리 ,2016,"55,379Km",휘발유,흰색,750
1171,현대,포터2,초장축더블캡CRDi 스마트,2019,"31,592Km",경유,흰색,"1,750"
1172,현대,포터2,초장축더블캡CRDi 프리미엄,2019,"28,254Km",경유,흰색,"1,890"
1173,현대,포터2,파워게이트 ,2020,"38,985Km",경유,흰색,"2,080"
1174,현대,포터2,초장축슈퍼캡CRDi 스마트,2019,"3,901Km",경유,흰색,"1,630"
1175,기아,더뉴봉고3,킹캡 ,2021,"10,574Km",경유,흰색,"1,970"
1176,기아,더뉴봉고3,플러스 내장탑차 ,2021,"5,594Km",경유,흰색,"2,320"
1177,현대,포터2,초장축슈퍼캡CRDi 스마트,2020,"10,495Km",경유,흰색,"1,920"
1178,기아,더뉴봉고3,킹캡 ,2021,"4,435Km",경유,흰색,"2,110"
1179,푸조,208(1세대),1.6e-HDi5도어 에코,2015,"90,013Km",경유,흰색,"1,080"
1180,현대,쏘나타DN8,가솔린 2.0 인스퍼레이션,2020,"53,871Km",휘발유,흰색,"2,550"
1181,쌍용,티볼리에어,가솔린 2WD IX,2017,"53,367Km",휘발유,흰색,"1,480"
1182,기아,더뉴모닝,바이퓨얼스마트 ,2016,"100,408Km",LPG겸용,흰색,500
1183,기아,더뉴레이,디럭스 ,2018,"63,135Km",휘발유,흰색,940
1184,토요타,프리우스(3세대),1.8하이브리드 ,2008,"139,000Km",휘발유+전기,흰색,450
1185,인피니티,Q70,3.0d ,2014,"86,289Km",경유,흰색,"1,680"
1186,기아,더뉴쏘렌토,디젤2.0 4WD 프레스티지,2018 ,"62,358Km",경유,흰색,"2,280"
1187,아우디,A7,45 TDI 콰트로 ,2015,"140,623Km",경유,흰색,"2,400"
1188,현대,아반떼AD,1.6디젤 스마트 ,2016,"136,000Km",경유,흰색,829
1189,기아,스포티지4세대(QL),디젤1.7 2WD 트렌디,2018,"93,000Km",경유,흰색,"1,459"
1190,기아,더뉴쏘렌토,디젤2.0 2WD 프레스티지,2018,"136,000Km",경유,흰색,"1,849"
1191,기아,스포티지4세대(QL),디젤1.7 2WD 노블레스,2018,"61,000Km",경유,흰색,"1,609"
1192,기아,봉고3,1톤더블캡초장축CRDi ,2020,"38,438Km",경유,흰색,"1,560"
1193,기아,뉴쏘렌토R,디젤2.0 4WD 노블레스,2014,"133,559Km",경유,흰색,"1,420"
1194,포드,익스플로러(5세대),3.5리미티드AWD ,2012,"124,867Km",휘발유,흰색,"1,360"
1195,푸조,5008(2세대),1.6BlueHDi 알뤼르,2019,"33,000Km",경유,흰색,"2,890"
1196,기아,봉고3,4WD더블캡장축 LTD,2016,"74,786Km",경유,흰색,"1,280"
1197,쉐보레/대우,스파크, ,2017,"61,432Km",휘발유,흰색,550
1198,푸조,2008(1세대),1.6e-HDi 펠린L,2015,"150,000Km",경유,흰색,770
1199,현대,아이오닉 하이브리드,N 기본형,2016,"83,063Km",휘발유+전기,흰색,"1,640"
1200,기아,봉고3,1톤냉동탑차 LTD,2015,"74,906Km",경유,흰색,"1,610"
1201,현대,포터2,윙바디 ,2016,"99,462Km",경유,흰색,"1,300"
1202,벤츠,뉴E클래스,E300엘레강스 ,2015,"126,722Km",휘발유,흰색,"1,930"
1203,현대,그랜드스타렉스,12인승왜건 스마트,2018,"57,700Km",경유,흰색,"1,520"
1204,쌍용,티볼리에어,디젤 2WD AX,2018,"63,939Km",경유,흰색,"1,350"
1205,현대,i40살룬,1.7 VGT 모던,2012,"143,912Km",경유,흰색,850
1206,기아,K8,"2,4 가솔린 시그니처",2022,"3,093Km",휘발유,흰색,"4,340"
1207,기아,올뉴프라이드,1.6GDI해치백 럭셔리,2013,"76,727Km",휘발유,흰색,480
1208,현대,i40살룬,1.7 VGT 모던,2012,"143,912Km",경유,흰색,850
1209,르노삼성,QM5네오,가솔린2WD LE,2015,"73,083Km",휘발유,흰색,920
1210,르노삼성,QM6,가솔린2WD RE,2018 ,"11,184Km",휘발유,흰색,"2,330"
1211,쌍용,티볼리에어,가솔린 4WD IX,2018,"28,641Km",휘발유,흰색,"1,680"
1212,쌍용,티볼리,디젤 2WD LX,2017,"66,359Km",경유,흰색,"1,350"
1213,기아,올뉴카니발,9인승 럭셔리,2015,"140,316Km",경유,흰색,"1,520"
1214,현대,쏘나타뉴라이즈,1.6터보프리미엄 ,2018,"54,080Km",휘발유,흰색,"1,860"
1215,쉐보레/대우,더뉴스파크,LT ,2021,"5,346Km",휘발유,흰색,"1,070"
1216,닛산,370Z,3.7쿠페 Z34,2017,"24,695Km",휘발유,흰색,"3,250"
1217,기아,올뉴카니발,9인승 노블레스,2016,"95,327Km",경유,흰색,"2,190"
1218,BMW,3시리즈(F30),320d D,2018,"33,095Km",경유,흰색,"3,000"
1219,토요타,RAV4,2.5 4WD 하이브리드 ,2018,"88,111Km",휘발유+전기,흰색,"2,260"
1220,기아,봉고3,내장탑차 ,2017,"19,444Km",경유,흰색,"1,600"
1221,기아,스포티지더볼드,디젤2.0 2WD 인텔리전트,2019,"44,017Km",경유,흰색,"2,510"
1222,기아,올뉴K7,2.4GDI 리미티드,2017,"29,661Km",휘발유,흰색,"2,340"
1223,현대,그랜저IG,3.0LPi 모던,2019,"29,999Km",LPG,흰색,"2,200"
1224,현대,그랜저IG,3.0LPi 모던,2018,"47,597Km",LPG,흰색,"2,140"
1225,현대,싼타페DM,디젤(e-VGT)2.0 2WD익스클루시브 스페셜,2013,"130,000Km",경유,흰색,"1,350"
1226,르노삼성,뉴QM3,RE ,2019,"32,809Km",경유,흰색,"1,510"
1227,기아,더뉴니로,1.6 PHEV 노블레스스페셜,2020,"96,417Km",휘발유+전기,흰색,"2,600"
1228,현대,그랜저IG,2.2디젤 프리미엄 스페셜,2018,"103,483Km",경유,흰색,"2,600"
1229,현대,포터2,초장축슈퍼캡CRDi 스마트,2018,"25,399Km",경유,흰색,"1,930"
1230,푸조,3008(2세대),1.6BlueHDi 알뤼르,2018,"76,109Km",경유,흰색,"1,920"
1231,쌍용,티볼리,가솔린 2WD LX최고급형,2015,"37,012Km",휘발유,흰색,"1,550"
1232,쉐보레/대우,트레일블레이저,1.35터보 RS,2021,"17,872Km",휘발유,흰색,"2,480"
1233,현대,싼타페TM,디젤2.2 AWD 익스클루시브,2019,"52,329Km",경유,흰색,"2,870"
1234,기아,올뉴카니발,9인승 프레스티지,2015,"155,000Km",경유,흰색,"1,619"
1235,기아,올뉴카니발,9인승 럭셔리,2018,"130,000Km",경유,흰색,"1,559"
1236,기아,쏘울EV,쏘울EV ,2018,"82,000Km",전기(EV),흰색,"1,369"
1237,르노삼성,SM6,2.0 GDe SE,2017,"36,533Km",휘발유,흰색,"1,070"
1238,기아,K5 2세대,2.0 SX 노블레스,2016,"63,050Km",휘발유,흰색,"1,460"
1239,기아,더뉴K5,프레스티지 ,2014,"126,783Km",휘발유,흰색,890
1240,현대,포터2,초장축더블캡CRDi 스마트,2020,"8,050Km",경유,흰색,"1,980"
1241,쉐보레/대우,올란도,디젤2.0LT 프리미엄,2015,"115,339Km",경유,흰색,860
1242,르노삼성,SM5노바,디젤 1.5 D,2015,"75,182Km",경유,흰색,820
1243,기아,더뉴모하비,3.0 4WD 프레지던트,2017,"156,003Km",경유,흰색,"2,220"
1244,기아,더뉴K3,프레스티지 스페셜,2016,"62,221Km",휘발유,흰색,"1,460"
1245,현대,싼타페DM,디젤(e-VGT)2.2 4WD프리미엄 ,2013,"148,495Km",경유,흰색,"1,410"
1246,기아,더프레스티지K7,2.4GDI 프레스티지,2013,"114,045Km",휘발유,흰색,820
1247,재규어,XE,20d 포트폴리오,2018,"41,475Km",경유,흰색,"2,700"
1248,기아,봉고3,1톤더블캡초장축CRDi 럭셔리,2018,"50,580Km",경유,흰색,"1,220"
1249,재규어,XE,20d 포트폴리오,2018,"41,475Km",경유,흰색,"2,700"
1250,쌍용,티볼리아머,가솔린 2WD TX,2018,"83,407Km",휘발유,흰색,"1,250"
1251,쌍용,티볼리아머,가솔린 2WD TX,2019,"77,465Km",휘발유,흰색,"1,260"
1252,현대,YF쏘나타,Y20 럭셔리 ,2012,"152,658Km",휘발유,흰색,490
1253,현대,포터2,초장축슈퍼캡CRDi 스타일,2017,"65,359Km",경유,흰색,"1,429"
1254,쌍용,코란도투리스모,11인승 4WD TX,2016,"77,448Km",경유,흰색,"1,329"
1255,현대,올뉴투싼(TL),디젤2.0 2WD 모던,2017,"109,107Km",경유,흰색,"1,660"
1256,쌍용,렉스턴스포츠 칸,디젤2.2 4WD 5링크 프레스티지스폐셜,2020,"4,354Km",경유,흰색,"3,100"
1257,기아,올뉴카니발,가솔린 9인승 노블레스,2018,"29,640Km",휘발유,흰색,"2,880"
1258,쌍용,티볼리에어,가솔린 2WD IX,2018,"53,864Km",휘발유,흰색,"1,450"
1259,기아,스포티지4세대(QL),디젤2.0 4WD 프레스티지,2016,"80,453Km",경유,흰색,"1,420"
1260,쌍용,티볼리에어,IX2WD ,2018,"113,302Km",경유,흰색,"1,140"
1261,쉐보레/대우,다마스2,5인승리빅 ,2016,"25,486Km",LPG,흰색,660
1262,현대,아이오닉 하이브리드,N ,2018,"81,567Km",휘발유+전기,흰색,"1,630"
1263,쉐보레/대우,올뉴말리부,가솔린2.0터보LT 프리미엄,2018,"39,454Km",휘발유,흰색,"1,490"
1264,포드,몬데오(4세대),2.0디젤 트렌드,2018,"38,296Km",경유,흰색,"1,860"
1265,기아,올뉴K7,2.2디젤 프레스티지,2017,"32,095Km",경유,흰색,"1,900"
1266,기아,K5 2세대,2.0 SX 프레스티지,2016,"147,999Km",휘발유,흰색,"1,060"
1267,르노삼성,SM5노바,가솔린 1.6 TCE ,2016,"80,995Km",휘발유,흰색,"1,120"
1268,쉐보레/대우,라보,롱카고 DLX,2015,"31,048Km",LPG,흰색,510
