,brand,name,info,type,km,year,accident,color,location,price,wd
11999,현대,그랜저,HG220 디젤 모던,디젤,93954,2016,무사고,검정색,경기,1390,2WD
12000,현대,그랜저,LPG HG300 모던,LPG(일반인 구입),139516,2017,무사고,검정색,경기,1390,2WD
12003,현대,제네시스,G330 모던,가솔린,141252,2016,무사고,검정색,대구,1769,2WD
12004,현대,그랜저,2.5,가솔린,6275,2020,무사고,검정색,대구,3690,2WD
12006,현대,그랜저,2.4 모던,가솔린,51269,2018,무사고,검정색,서울,1999,2WD
12010,현대,팰리세이드,디젤 2.2 2WD,디젤,24772,2019,무사고,검정색,경기,3949,2WD
12011,현대,그랜저,캘리그래피,가솔린+전기,6453,2022,무사고,검정색,서울,4600,2WD
12012,현대,투싼,가솔린 1.6 터보 2WD,가솔린,36720,2017,무사고,검정색,서울,2090,2WD
12017,현대,팰리세이드,가솔린 3.8 2WD,가솔린,29949,2019,무사고,검정색,서울,3490,2WD
12018,현대,에쿠스,VS380,가솔린,273208,2013,무사고,검정색,충남,1199,2WD
12019,현대,그랜저,2.4 프리미엄,가솔린,145091,2017,무사고,검정색,충남,1599,2WD
12022,현대,제네시스,G330 프리미엄 AWD,가솔린,182628,2014,무사고,검정색,대구,1730,AWD
12023,현대,그랜저,HG300 프라임,가솔린,207592,2012,무사고,검정색,충남,680,2WD
12029,현대,그랜저,2.4 프리미엄,가솔린,17897,2018,무사고,검정색,광주,2630,2WD
12030,현대,그랜저,HG220 디젤 프리미엄,디젤,193418,2015,무사고,검정색,광주,999,2WD
12031,현대,그랜저,2.4 프리미엄,가솔린,70403,2018,무사고,검정색,광주,2155,2WD
12032,현대,그랜저,HG240 럭셔리,가솔린,134835,2012,무사고,검정색,광주,950,2WD
12034,현대,에쿠스,JS380,가솔린,106065,2008,무사고,검정색,경기,430,2WD
12047,현대,스타리아,투어러 9인승,디젤,9733,2022,무사고,검정색,경기,3450,2WD
12048,현대,그랜저,LPG HG300 프라임,LPG(일반인 구입),92014,2012,무사고,검정색,서울,1120,2WD
12049,현대,제네시스,G330 프리미엄,가솔린,117716,2015,무사고,검정색,경기,2000,2WD
12050,현대,팰리세이드,디젤 2.2 2WD,디젤,26977,2019,무사고,검정색,경기,3890,2WD
12053,현대,싼타페,디젤 2.2 2WD,디젤,39634,2019,무사고,검정색,경기,3200,2WD
12055,현대,에쿠스,VS380,가솔린,62014,2014,무사고,검정색,경기,2290,2WD
12057,현대,크루즈,디젤 4WD 익스클루시브,디젤,120974,2015,무사고,검정색,경기,1990,4WD
12060,현대,에쿠스,VS380,가솔린,160937,2012,무사고,검정색,광주,1090,2WD
12061,현대,쏘나타,Y20 럭셔리,가솔린,187771,2012,무사고,검정색,충남,499,2WD
12062,현대,그랜저,2.5,가솔린,15413,2021,무사고,검정색,서울,3850,2WD
12065,현대,싼타페,디젤 2.2 2WD,디젤,32830,2021,무사고,검정색,경기,3350,2WD
12066,현대,제네시스,G330 모던,가솔린,108545,2014,무사고,검정색,광주,1790,2WD
12067,현대,싼타페,디젤 2.2 2WD,디젤,21846,2020,무사고,검정색,경기,3560,2WD
12068,현대,그랜저,LPG HG300 프리미엄,LPG(일반인 구입),105226,2014,무사고,검정색,경기,1370,2WD
12073,현대,쏘나타,2.0 모던,가솔린,75085,2018,무사고,검정색,서울,1670,2WD
12074,현대,그랜저,3.3,가솔린,21319,2020,무사고,검정색,서울,3630,2WD
12082,현대,그랜저,3.0 익스클루시브,가솔린,178906,2018,무사고,검정색,경기,1490,2WD
12083,현대,그랜저,LPG HG300 모던,LPG(일반인 구입),115807,2017,무사고,검정색,경기,1190,2WD
12084,현대,그랜저,3.0 LPi 모던 (렌터카),LPG(일반인 구입),146480,2018,무사고,검정색,경기,1490,2WD
12085,현대,그랜저,3.0 LPi 모던 (렌터카),LPG(일반인 구입),129108,2018,무사고,검정색,경기,1520,2WD
12088,현대,그랜저,3.0 익스클루시브,가솔린,45034,2018,무사고,검정색,경기,2350,2WD
12091,현대,스타렉스,12인승 왜건,디젤,126798,2012,무사고,검정색,경기,800,2WD
12094,현대,그랜저,HG300 로얄,가솔린,137955,2011,무사고,검정색,울산,910,2WD
12097,현대,아슬란,G330 모던,가솔린,104817,2017,무사고,검정색,광주,1990,2WD
12099,현대,그랜저,2.4 프리미엄,가솔린,27682,2018,무사고,검정색,서울,2440,2WD
12100,현대,제네시스,G330 프리미엄 AWD,가솔린,142742,2015,무사고,검정색,경기,1930,AWD
12103,현대,쏘나타,2.0 모던,가솔린,62054,2019,무사고,검정색,경기,1770,2WD
12105,현대,싼타페,디젤 2.0 2WD,디젤,90959,2017,무사고,검정색,서울,2180,2WD
12106,현대,에쿠스,VS380,가솔린,236824,2012,무사고,검정색,경기,799,2WD
12107,현대,제네시스,BH330 럭셔리,가솔린,266859,2008,무사고,검정색,인천,530,2WD
12113,현대,그랜저,2.4 프리미엄,가솔린,50222,2017,무사고,검정색,대전,2399,2WD
12115,현대,그랜저,2.2 디젤 프리미엄,디젤,113045,2018,무사고,검정색,인천,2040,2WD
12119,현대,그랜저,HG240 모던,가솔린,164198,2013,무사고,검정색,전북,850,2WD
12122,현대,그랜저,HG240 모던,가솔린,97697,2013,무사고,검정색,대구,1190,2WD
12123,현대,그랜저,HG300 로얄,가솔린,99599,2012,무사고,검정색,경기,1280,2WD
12126,현대,벨로스터,2.0 N,가솔린,29897,2019,무사고,검정색,경기,2530,2WD
12129,현대,아반떼,M16 GDI 프리미어,가솔린,101558,2012,무사고,검정색,충남,799,2WD
12132,현대,엑센트,1.6 GDI 탑,가솔린,112708,2012,무사고,검정색,인천,560,2WD
12135,현대,쏘나타,2.0 모던,가솔린,82889,2019,무사고,검정색,경기,1660,2WD
12137,현대,에쿠스,JS330,가솔린,107357,2007,무사고,검정색,대구,450,2WD
12139,현대,그랜저,2.4 프리미엄,가솔린,58003,2018,무사고,검정색,경기,2250,2WD
12142,현대,그랜저,3.0 LPi 익스클루시브 (렌터카),LPG(일반인 구입),35471,2019,무사고,검정색,경기,2550,2WD
12143,현대,그랜저,2.4 프리미엄,가솔린,16143,2018,무사고,검정색,경기,9999,2WD
12145,현대,제네시스,G330 프리미엄 AWD,가솔린,156378,2015,무사고,검정색,경기,1950,AWD
12147,현대,제네시스,G330 프리미엄,가솔린,134121,2015,무사고,검정색,경기,2010,2WD
12149,현대,에쿠스,VS380,가솔린+LPG,185520,2015,무사고,검정색,대구,2520,2WD
12150,현대,그랜저,3.0 익스클루시브,가솔린,93007,2018,무사고,검정색,전북,1999,2WD
12151,현대,쏘나타,2.0 스마트 초이스,가솔린,56164,2019,무사고,검정색,광주,1720,2WD
12152,현대,그랜저,HG300 익스클루시브,가솔린,72892,2013,무사고,검정색,경기,1350,2WD
12154,현대,쏘나타,Y20 프라임,가솔린,155425,2010,무사고,검정색,전북,490,2WD
12156,현대,쏘나타,2.0 모던,가솔린,33416,2018,무사고,검정색,인천,1790,2WD
12157,현대,쏘나타,1.6 터보,가솔린,19974,2020,무사고,검정색,경기,2490,2WD
12158,현대,그랜저,3.0 익스클루시브,가솔린,42736,2018,무사고,검정색,서울,2550,2WD
12159,현대,그랜저,3.0 익스클루시브,가솔린,72741,2017,무사고,검정색,경기,2100,2WD
12162,현대,쏘나타,2.0 모던,가솔린,40071,2019,무사고,검정색,경기,1850,2WD
12165,현대,에쿠스,VS380,가솔린,135642,2011,무사고,검정색,충북,1260,2WD
12168,현대,제네시스,200 터보 R,가솔린,128043,2009,무사고,검정색,경기,560,2WD
12172,현대,아반떼,모던,가솔린+전기,5704,2021,무사고,검정색,경기,2650,2WD
12175,현대,그랜저,Q270 럭셔리,가솔린,143205,2008,무사고,검정색,충남,290,2WD
12180,현대,그랜저,2.4 익스클루시브,가솔린,24490,2019,무사고,검정색,광주,2900,2WD
12181,현대,그랜저,HG240 모던,가솔린,92304,2015,무사고,검정색,경기,1330,2WD
12183,현대,그랜저,3.0 LPi 모던 (렌터카),LPG(일반인 구입),81404,2019,무사고,검정색,전북,2039,2WD
12187,현대,그랜저,LPG HG300 장애인용,LPG(일반인 구입),158354,2016,무사고,검정색,경기,1390,2WD
12192,현대,에쿠스,VS380,가솔린,131728,2012,무사고,검정색,경기,1290,2WD
12193,현대,투싼,가솔린 1.6 터보 2WD,가솔린,29565,2019,무사고,검정색,경기,2520,2WD
12196,현대,쏘나타,프리미엄,가솔린+전기,11535,2021,무사고,검정색,서울,2850,2WD
12202,현대,그랜저,HG300 노블,가솔린,51476,2011,무사고,검정색,서울,1090,2WD
12203,현대,제네시스,G330 프리미엄,가솔린,54176,2014,무사고,검정색,서울,2299,2WD
12204,현대,크루즈,디젤 2.2 2WD,디젤,42576,2017,무사고,검정색,서울,2330,2WD
12207,현대,그랜저,프리미엄,가솔린+전기,135530,2018,무사고,검정색,대구,1890,2WD
12209,현대,그랜저,3.0 LPi 장애인용,LPG(일반인 구입),101572,2017,무사고,검정색,경기,2350,2WD
12210,현대,그랜저,익스클루시브,가솔린+전기,57538,2018,무사고,검정색,경기,2900,2WD
12216,현대,그랜저,2.4 프리미엄,가솔린,37382,2019,무사고,검정색,경기,2390,2WD
12219,현대,에쿠스,VS380,가솔린,55835,2012,무사고,검정색,서울,1990,2WD
12225,현대,그랜저,2.4 모던,가솔린,96504,2018,무사고,검정색,대구,1799,2WD
12226,현대,에쿠스,VS460,가솔린,187402,2010,무사고,검정색,경기,920,2WD
12230,현대,쏘나타,LPI 탑,LPG(일반인 구입),238967,2010,무사고,검정색,대전,390,2WD
12234,현대,크루즈,가솔린 4WD 380VXL,가솔린,98012,2008,무사고,검정색,충남,1100,4WD
12239,현대,그랜저,3.3,가솔린,10649,2020,무사고,검정색,서울,3830,2WD
12241,현대,제네시스,BH330 럭셔리,가솔린,175974,2012,무사고,검정색,대구,970,2WD
12247,현대,스타렉스,밴 3인승,디젤,45470,2019,무사고,검정색,경기,2010,2WD
12248,현대,에쿠스,VS380,가솔린,133251,2015,무사고,검정색,경기,2280,2WD
12257,현대,그랜저,HG300 노블,가솔린,161151,2011,무사고,검정색,전북,820,2WD
12261,현대,그랜저,HG300 노블,가솔린,153528,2011,무사고,검정색,대전,770,2WD
12263,현대,제네시스,BH330 럭셔리,가솔린,121235,2012,무사고,검정색,울산,1050,2WD
12265,현대,에쿠스,VS380,가솔린,182616,2013,무사고,검정색,서울,1430,2WD
12267,현대,그랜저,HG240 모던,가솔린,90639,2013,무사고,검정색,전북,1199,2WD
12271,현대,에쿠스,VS380,가솔린,182490,2010,무사고,검정색,전북,960,2WD
12272,현대,그랜저,2.4 모던,가솔린,64716,2018,무사고,검정색,경기,1850,2WD
12273,현대,그랜저,HG300 익스클루시브,가솔린,126350,2015,무사고,검정색,대구,1399,2WD
12274,현대,그랜저,L330 탑,가솔린,105259,2007,무사고,검정색,울산,310,2WD
12275,현대,제네시스,BH330 럭셔리,가솔린,235280,2012,무사고,검정색,광주,690,2WD
12279,현대,투싼,디젤 1.7 2WD,디젤,154152,2016,무사고,검정색,경기,1330,2WD
12283,현대,에쿠스,VS380,가솔린,188807,2014,무사고,검정색,광주,1730,2WD
12286,현대,그랜저,HG240 모던,가솔린,141998,2015,무사고,검정색,경기,1050,2WD
12288,현대,그랜저,2.4 프리미엄,가솔린,131818,2018,무사고,검정색,충남,1850,2WD
12292,현대,그랜저,프리미엄,가솔린+전기,246772,2016,무사고,검정색,인천,920,2WD
12296,현대,에쿠스,VS460,가솔린,248340,2010,무사고,검정색,대구,699,2WD
12301,현대,에쿠스,VS380,가솔린,151371,2015,무사고,검정색,경기,1720,2WD
12302,현대,투싼,인스퍼레이션,가솔린+전기,2948,2021,무사고,검정색,경기,3770,2WD
12304,현대,그랜저,LPI Q270 장애인용,LPG(일반인 구입),196849,2007,무사고,검정색,대전,330,2WD
12305,현대,제네시스,BH380 로얄,가솔린,140923,2009,무사고,검정색,대전,720,2WD
12308,현대,에쿠스,VS460,가솔린,149980,2010,무사고,검정색,경기,949,2WD
12313,현대,스타렉스,밴 5인승,디젤,33058,2021,무사고,검정색,서울,2380,2WD
12316,현대,그랜저,3.0 익스클루시브,가솔린,80867,2017,무사고,검정색,부산,2280,2WD
12317,현대,그랜저,3.0 익스클루시브,가솔린,34235,2018,무사고,검정색,부산,2440,2WD
12318,현대,그랜저,2.5,가솔린,46323,2020,무사고,검정색,부산,3030,2WD
12321,현대,스타렉스,리무진,디젤,7839,2019,무사고,검정색,경기,3950,2WD
12324,현대,싼타페,가솔린 2.0T 2WD,가솔린,16651,2020,무사고,검정색,경기,3020,2WD
12332,현대,그랜저,HG240 럭셔리,가솔린,218496,2012,무사고,검정색,충남,650,2WD
12335,현대,에쿠스,VS380,가솔린,123347,2012,무사고,검정색,전북,1299,2WD
12338,현대,그랜저,HG300 프리미엄,가솔린,79652,2014,무사고,검정색,전북,1290,2WD
12339,현대,쏘나타,2.0 스마트,가솔린,72737,2016,무사고,검정색,광주,1500,2WD
12344,현대,제네시스,BH330 그랜드,가솔린,119665,2011,무사고,검정색,서울,780,2WD
12345,현대,그랜저,HG300 익스클루시브,가솔린,118483,2015,무사고,검정색,대구,1260,2WD
12346,현대,그랜저,3.0 익스클루시브,가솔린,40291,2018,무사고,검정색,광주,2430,2WD
12347,현대,그랜저,HG240 럭셔리,가솔린,155698,2012,무사고,검정색,서울,799,2WD
12349,현대,쏘나타,2.0 스마트,가솔린,58509,2018,무사고,검정색,서울,1600,2WD
12351,현대,투싼,디젤 1.7 2WD,디젤,53781,2016,무사고,검정색,대구,1659,2WD
12352,현대,그랜저,3.0 익스클루시브,가솔린,30638,2019,무사고,검정색,광주,2950,2WD
12354,현대,제네시스,G380 익스클루시브,가솔린,95828,2014,무사고,검정색,경기,2020,2WD
12355,현대,쏘나타,2.0 스마트 스페셜,가솔린,83172,2019,무사고,검정색,광주,1650,2WD
12356,현대,제네시스,G330 모던,가솔린,54049,2016,무사고,검정색,서울,2320,2WD
12357,현대,그랜저,3.0 익스클루시브,가솔린,10312,2019,무사고,검정색,광주,3030,2WD
12359,현대,제네시스,BH330 그랜드,가솔린,138351,2010,무사고,검정색,광주,799,2WD
12360,현대,쏘나타,2.0 스마트,가솔린,78438,2016,무사고,검정색,경기,1480,2WD
12361,현대,쏘나타,Y20 프리미어,가솔린,124525,2010,무사고,검정색,충남,549,2WD
12362,현대,그랜저,2.4 프리미엄,가솔린,61168,2019,무사고,검정색,대구,2399,2WD
12364,현대,그랜저,Q270 기본형,가솔린,49095,2006,무사고,검정색,서울,350,2WD
12365,현대,싼타페,디젤 2.0 2WD,디젤,121332,2016,무사고,검정색,광주,1630,2WD
12369,현대,제네시스,BH330 럭셔리,가솔린,236099,2010,무사고,검정색,경기,600,2WD
12370,현대,팰리세이드,디젤 2.2 4WD,디젤,12374,2022,무사고,검정색,서울,4950,4WD
12371,현대,싼타페,가솔린 2.0T 2WD,가솔린,26866,2020,무사고,검정색,서울,3399,2WD
12372,현대,그랜저,익스클루시브,가솔린+전기,69150,2019,무사고,검정색,충남,2999,2WD
12374,현대,에쿠스,VS500,가솔린,126595,2014,무사고,검정색,경기,2090,2WD
12380,현대,그랜저,LPG HG300 모던,LPG(일반인 구입),92070,2017,무사고,검정색,경기,1560,2WD
12382,현대,그랜저,LPG HG300 프라임,LPG(일반인 구입),109429,2011,무사고,검정색,전북,990,2WD
12383,현대,그랜저,2.4 프리미엄,가솔린,92357,2018,무사고,검정색,대구,1950,2WD
12387,현대,그랜저,3.0 LPi 모던 (렌터카),LPG(일반인 구입),89494,2019,무사고,검정색,광주,1949,2WD
12388,현대,싼타페,디젤(e-VGT) 2.0 2WD 프리미엄,디젤,74019,2015,무사고,검정색,울산,1750,2WD
12390,현대,그랜저,3.0 LPi 모던 (렌터카),LPG(일반인 구입),128851,2018,무사고,검정색,충남,1759,2WD
12392,현대,그랜저,프리미엄,가솔린+전기,80249,2018,무사고,검정색,서울,2250,2WD
12393,현대,그랜저,3.3,가솔린,23469,2020,무사고,검정색,서울,3390,2WD
12394,현대,투싼,디젤 2.0 2WD,디젤,122434,2018,무사고,검정색,인천,1500,2WD
12395,현대,그랜저,HG240 모던,가솔린,78906,2016,무사고,검정색,광주,1460,2WD
12399,현대,그랜저,HG240 모던,가솔린,179739,2014,무사고,검정색,경기,720,2WD
12403,현대,그랜저,3.0 익스클루시브,가솔린,48410,2019,무사고,검정색,경기,2750,2WD
12405,현대,그랜저,3.0 익스클루시브,가솔린,74291,2017,무사고,검정색,서울,2270,2WD
12409,현대,그랜저,HG240 모던,가솔린,50883,2015,무사고,검정색,경기,1499,2WD
12413,현대,그랜저,Q270 디럭스,가솔린,93371,2010,무사고,검정색,광주,660,2WD
12414,현대,에쿠스,GS350,가솔린,105193,2004,무사고,검정색,경기,280,2WD
12415,현대,그랜저,3.0 모던 베이직 (렌터카),가솔린,68907,2017,무사고,검정색,경기,1740,2WD
12419,현대,그랜저,2.4 모던,가솔린,75253,2017,무사고,검정색,광주,1900,2WD
12426,현대,에쿠스,VS500,가솔린,182885,2015,무사고,검정색,경기,1799,2WD
12427,현대,제네시스,G330 프리미엄 AWD,가솔린,40518,2016,무사고,검정색,대전,2790,AWD
12428,현대,제네시스,BH330 럭셔리,가솔린,188229,2012,무사고,검정색,대전,850,2WD
12429,현대,코나,디젤 1.6 2WD 플럭스,디젤,60628,2018,무사고,검정색,전북,1850,2WD
12430,현대,그랜저,3.0 LPi 모던 베이직 (렌터카),LPG(일반인 구입),108674,2018,무사고,검정색,광주,1670,2WD
12431,현대,제네시스,200 터보 P,가솔린,171211,2009,무사고,검정색,경기,399,2WD
