,brand,name,info,type,km,year,accident,color,location,price,wd
1142,폭스바겐,아테온,2.0 TDI 프레스티지,디젤,27223,2019,무사고,검정색,서울,3780,2WD
1159,폭스바겐,제타,1.4 TSI 프리미엄,가솔린,5635,2020,무사고,검정색,경기,2560,2WD
1160,폭스바겐,파사트,2.0 TSI,가솔린,33139,2018,무사고,검정색,경기,1990,2WD
1172,폭스바겐,GT,2.0 TDI 프리미엄,디젤,72762,2018,무사고,검정색,대전,2520,2WD
1174,폭스바겐,티구안,2.0 TDI 프레스티지,디젤,21466,2020,무사고,검정색,경기,3470,2WD
1203,폭스바겐,티구안,2.0 TDI 프레스티지,디젤,18106,2018,무사고,검정색,경기,3590,2WD
1213,폭스바겐,티구안,2.0 TDI 프레스티지,디젤,9442,2020,무사고,검정색,경기,3560,2WD
1235,폭스바겐,골프,1.4 TSI,가솔린,150085,2011,무사고,검정색,인천,680,2WD
1241,폭스바겐,티구안,2.0 TDI,디젤,54545,2018,무사고,검정색,경기,2620,2WD
1249,폭스바겐,골프,1.4 TSI,가솔린,114599,2011,무사고,검정색,울산,830,2WD
1263,폭스바겐,골프,2.0 TDI 스타일에디션,디젤,64654,2013,무사고,검정색,서울,920,2WD
1267,폭스바겐,골프,2.0 TDI,디젤,150891,2012,무사고,검정색,경기,590,2WD
1278,폭스바겐,제타,2.0 TDI 블루모션,디젤,90830,2016,무사고,검정색,인천,950,2WD
1289,폭스바겐,파사트,2.0 TDI,디젤,170432,2013,무사고,검정색,광주,825,2WD
1322,폭스바겐,제타,2.0 TDI,디젤,133787,2014,무사고,검정색,경기,699,2WD
1345,폭스바겐,티구안,2.0 TDI 4모션 프레스티지,디젤,85626,2018,무사고,검정색,경기,2970,2WD
1359,폭스바겐,파사트,2.0 TSI,가솔린,38056,2018,무사고,검정색,서울,2100,2WD
1363,폭스바겐,페이톤,V6 3.0 TDI,디젤,172136,2012,무사고,검정색,인천,1150,2WD
1382,폭스바겐,뉴 CC,2.0 TDI 블루모션 R라인,디젤,129502,2014,무사고,검정색,경기,1430,2WD
1407,폭스바겐,골프,2.0 GTD,디젤,150553,2015,무사고,검정색,경기,1450,2WD
1414,폭스바겐,뉴 CC,2.0 TDI 블루모션 4모션,디젤,79067,2015,무사고,검정색,서울,1630,2WD
1426,폭스바겐,투아렉,V6 3.0 TDI 블루모션,디젤,149112,2013,무사고,검정색,경기,2070,2WD
1465,폭스바겐,제타,1.4 TSI 프레스티지,가솔린,8894,2020,무사고,검정색,서울,2580,2WD
1477,폭스바겐,골프,2.0 TDI,디젤,80984,2015,무사고,검정색,경기,1490,2WD
1483,폭스바겐,파사트,2.0 TDI 럭셔리에디션,디젤,89965,2010,무사고,검정색,서울,530,2WD
1505,폭스바겐,투아렉,V6 3.0 TDI 블루모션,디젤,197613,2014,무사고,검정색,경기,1980,2WD
1511,폭스바겐,투아렉,V6 3.0 TDI 블루모션,디젤,139320,2012,무사고,검정색,서울,1790,2WD
1551,폭스바겐,투아렉,V6 3.0 TDI 블루모션,디젤,141415,2016,무사고,검정색,경기,2870,2WD
1570,폭스바겐,티구안,2.0 TDI 컴포트,디젤,114043,2014,무사고,검정색,경기,990,2WD
1587,폭스바겐,페이톤,V6 3.0 TDI,디젤,146726,2012,무사고,검정색,경기,1199,2WD
1588,폭스바겐,파사트,2.0 TDI,디젤,90035,2008,무사고,검정색,경기,759,2WD
1592,폭스바겐,티록,2.0 TDI 프리미엄,디젤,2647,2021,무사고,검정색,서울,3499,2WD
