,brand,name,info,type,km,year,accident,color,location,price,wd
37364,기아,카니발,그랜드 카니발 President,디젤,74736,2010,단순사고(접촉),기타,충남,930,2WD
37365,기아,스포티지,디젤 2.0 2WD 노블레스플러스,디젤,51357,2018,무사고,기타,서울,2100,2WD
37367,기아,K3,시그니처,가솔린,1021,2022,무사고,검정색,인천,2470,2WD
37374,기아,셀토스,가솔린 터보 1.6 2WD프레스티지,가솔린,27719,2021,무사고,흰색,인천,2320,2WD
37377,기아,K7,가솔린 3.0노블레스,가솔린,23224,2020,무사고,검정색,서울,3140,2WD
37379,기아,K5,터보 GDI 노블레스,가솔린,64521,2015,단순교환,회색,인천,1420,2WD
37380,기아,모닝,럭셔리,가솔린,35123,2018,무사고,기타,전남,950,2WD
37381,기아,니로,럭셔리,가솔린+전기,12171,2020,무사고,회색,인천,2430,2WD
37387,기아,레이,밴고급형,가솔린,31673,2019,무사고,검정색,서울,980,2WD
37392,기아,모닝,럭셔리 스포츠,가솔린,63257,2014,단순교환,회색,인천,590,2WD
37397,기아,K7,2.4 GDI 프레스티지,가솔린,92225,2015,단순사고(접촉),검정색,인천,1190,2WD
37401,기아,K7,3.3 GDI 노블레스세부등급 없음,가솔린,93752,2016,무사고,검정색,인천,1820,2WD
37402,기아,K5,가솔린 2.0시그니처,가솔린,6430,2021,무사고,기타,경북,3370,2WD
37413,기아,스팅어,3.3 터보 AWDGT,가솔린,32000,2020,무사고,흰색,충남,3830,AWD
37420,기아,K5,노블레스,가솔린+전기,6183,2021,무사고,회색,인천,3370,2WD
37423,기아,셀토스,가솔린 터보 1.6 2WD노블레스,가솔린,25833,2020,무사고,회색,인천,2420,2WD
37426,기아,쏘렌토,디젤 2.2 2WD노블레스 스페셜,디젤,57308,2017,무사고,회색,경남,2430,2WD
37427,기아,레이,럭셔리,가솔린,32396,2017,단순교환,검정색,인천,890,2WD
37428,기아,K5,2.0인텔리전트,가솔린,27017,2019,무사고,기타,충북,2320,2WD
37430,기아,K7,2.2 디젤 리미티드 에디션,디젤,98117,2017,무사고,검정색,인천,1990,2WD
37431,기아,K9,3.8 GDI AWD플래티넘Ⅱ,가솔린,19560,2019,무사고,검정색,서울,4210,AWD
37432,기아,카니발,그랜드 카니발 하이리무진 GLX세부등급 없음,디젤,112957,2011,무사고,기타,인천,1260,2WD
37433,기아,K7,3.3 GDI 노블레스스페셜,가솔린,44090,2019,무사고,흰색,인천,2860,2WD
37437,기아,레이,프레스티지,가솔린,2230,2021,무사고,흰색,충남,1520,2WD
37440,기아,K7,2.4 GDI 프레스티지 스페셜,가솔린,87107,2014,단순사고(접촉),흰색,경남,1360,2WD
37445,기아,K7,3.0 GDI 리미티드,가솔린,70274,2018,무사고,검정색,충남,2230,2WD
37446,기아,K7,2.4 GDI 프레스티지,가솔린,90718,2017,무사고,검정색,서울,1800,2WD
37449,기아,K7,2.4 GDI 프레스티지 스페셜,가솔린,106630,2014,무사고,회색,인천,1280,2WD
37453,기아,모닝,디럭스 트렌디,가솔린,96502,2014,무사고,기타,경북,490,2WD
37454,기아,모하비,디젤 3.0 4WD프레지던트,디젤,126344,2018,무사고,검정색,경북,2690,4WD
37456,기아,K5,2.0 LPI프레스티지,LPG,56763,2019,무사고,기타,충북,1760,2WD
37457,기아,쏘렌토,디젤 2.0 2WD노블레스 스페셜,디젤,109003,2016,단순교환,검정색,전남,1970,2WD
37472,기아,레이,럭셔리,가솔린,92297,2012,단순교환,흰색,충남,670,2WD
37483,기아,K7,가솔린 2.5노블레스,가솔린,24328,2020,무사고,흰색,충남,3250,2WD
37484,기아,K7,가솔린 2.5노블레스,가솔린,6046,2020,무사고,검정색,서울,2870,2WD
37490,기아,레이,디럭스,가솔린,44114,2017,무사고,검정색,서울,870,2WD
37495,기아,카니발,9인승 노블레스 스페셜,디젤,18223,2019,무사고,흰색,인천,3290,2WD
37501,기아,K8,가솔린 2.5시그니처,가솔린,3892,2022,무사고,기타,인천,4390,2WD
37506,기아,모하비,디젤 3.0 4WD프레지던트,디젤,111290,2018,단순교환,검정색,인천,2640,4WD
37508,기아,K7,2.4 GDI  노블레스,가솔린,16996,2019,무사고,회색,인천,2590,2WD
37509,기아,니로,프레스티지,가솔린+전기,18257,2020,무사고,흰색,인천,2390,2WD
37511,기아,모닝,프레스티지,가솔린,59485,2017,무사고,기타,경북,920,2WD
37520,기아,K3,트렌디세부등급 없음,가솔린,88823,2016,무사고,회색,인천,1030,2WD
37522,기아,K7,3.0 GDI 프레스티지,가솔린,96072,2015,단순교환,검정색,인천,1270,2WD
37529,기아,레이,밴고급형,가솔린,28627,2018,무사고,회색,충남,990,2WD
37533,기아,K7,700h 프레스티지,가솔린+전기,120346,2015,무사고,흰색,경남,1490,2WD
37534,기아,레이,프레스티지,가솔린,28840,2015,무사고,기타,경북,1070,2WD
37537,기아,K7,3.0 LPI 프레스티지,LPG,116672,2016,무사고,검정색,인천,1830,2WD
37541,기아,쏘렌토,디젤 2.0 2WD럭셔리,디젤,64755,2016,단순교환,흰색,전남,1870,2WD
37551,기아,카니발,11인승 프레스티지,디젤,63813,2019,단순교환,흰색,인천,2130,2WD
37553,기아,쏘렌토,디젤 2.2 2WD노블레스 스페셜,디젤,45063,2018,무사고,흰색,전남,2790,2WD
37554,기아,레이,럭셔리,가솔린,17963,2018,사고,흰색,인천,1260,2WD
37558,기아,K3,시그니처,가솔린,1744,2022,무사고,흰색,경남,2480,2WD
37561,기아,스토닉,1.4 가솔린프레스티지,가솔린,15792,2020,무사고,흰색,인천,1950,2WD
37562,기아,K8,가솔린 2.5시그니처,가솔린,2642,2022,무사고,회색,경남,4480,2WD
37565,기아,카니발,9인승 프레스티지,디젤,44948,2019,무사고,검정색,인천,2690,2WD
37569,기아,쏘렌토,디젤 2.0 2WD노블레스,디젤,81777,2016,무사고,검정색,경북,2140,2WD
37571,기아,K5,1.7 디젤 MX디럭스,디젤,127444,2016,단순교환,검정색,인천,930,2WD
37573,기아,모닝,프레스티지,가솔린,30252,2017,단순교환,흰색,인천,990,2WD
37592,기아,쏘렌토,디젤 2.0 2WD프레스티지,디젤,49342,2018,무사고,기타,경남,2530,2WD
37593,기아,쏘렌토,디젤 2.0 2WD노블레스 스페셜,디젤,97828,2017,무사고,회색,경남,2090,2WD
37595,기아,쏘렌토,디젤 2.0 2WD프레스티지,디젤,48822,2015,무사고,회색,인천,1930,2WD
37602,기아,카니발,9인승 노블레스,디젤,26671,2018,무사고,검정색,경북,2830,2WD
37604,기아,K5,가솔린 터보 1.6시그니처,가솔린,22084,2020,무사고,회색,인천,3090,2WD
37606,기아,K7,노블레스 스페셜,가솔린+전기,55974,2019,무사고,회색,인천,2890,2WD
37609,기아,레이,프레스티지,가솔린,38524,2017,무사고,기타,경북,1160,2WD
37615,기아,스포티지,디젤 2.0 2WD 노블레스플러스,디젤,59331,2018,무사고,흰색,인천,1990,2WD
37619,기아,스팅어,3.3 터보 2WDGT,가솔린,54968,2018,단순교환,검정색,경남,2860,2WD
37626,기아,K5,가솔린 터보 1.6노블레스,가솔린,11505,2021,무사고,검정색,인천,2970,2WD
37631,기아,모닝,디럭스 스페셜,가솔린,39714,2013,단순교환,기타,경남,520,2WD
37633,기아,스팅어,3.3 터보 AWDGT,가솔린,26115,2018,무사고,흰색,인천,3390,AWD
37635,기아,스팅어,2.0 터보 AWD프라임,가솔린,50582,2019,무사고,검정색,경남,2730,AWD
37641,기아,K7,2.4 GDI 프레스티지 스페셜,가솔린,101538,2014,단순교환,회색,경남,1280,2WD
37649,기아,스토닉,1.4 가솔린프레스티지,가솔린,9151,2019,무사고,흰색,인천,1940,2WD
37653,기아,K5,2.0프레스티지,가솔린,25859,2019,무사고,흰색,인천,1980,2WD
37655,기아,셀토스,가솔린 터보 1.6 2WD시그니처,가솔린,5459,2022,무사고,흰색,경북,2730,2WD
37656,기아,모하비,디젤 3.0 4WD프레지던트,디젤,108489,2018,무사고,회색,인천,2880,4WD
37657,기아,모하비,4WD KV300세부등급 없음,디젤,71928,2014,무사고,회색,경남,2110,4WD
37659,기아,K5,2.0노블레스,가솔린,83060,2019,무사고,검정색,충남,1750,2WD
37666,기아,레이,디럭스 스페셜,가솔린,24571,2013,단순교환,기타,서울,820,2WD
37671,기아,K7,시그니쳐,가솔린+전기,40481,2020,무사고,검정색,서울,3740,2WD
37672,기아,K7,2.4 GDI 프레스티지,가솔린,85391,2015,단순교환,검정색,경남,1330,2WD
37689,기아,모닝,프레스티지,가솔린,21568,2020,무사고,기타,인천,1160,2WD
37691,기아,스토닉,1.6 디젤프레스티지,디젤,64882,2018,무사고,기타,충북,1460,2WD
37693,기아,K5,2.0 MX프레스티지,가솔린,51368,2017,단순사고(접촉),기타,인천,1420,2WD
37695,기아,니로,프레스티지,가솔린+전기,9768,2020,무사고,흰색,서울,2500,2WD
37696,기아,K8,가솔린 3.5 2WD시그니처,가솔린,3003,2022,무사고,검정색,충남,4880,2WD
