brand,name,type,km,year,accident,color,location,price,wd,trim
기아,K5,LPG,147382,2019,무사고,검정색,충남,1370,2WD,1
기아,K5,가솔린,59245,2019,무사고,검정색,경기,1900,2WD,1
기아,K5,가솔린,132700,2015,무사고,검정색,경기,960,2WD,2
기아,K5,하이브리드,25362,2019,무사고,검정색,대구,2460,2WD,3
기아,K5,가솔린,46190,2018,무사고,검정색,대구,1670,2WD,1
기아,K5,가솔린,15870,2020,무사고,검정색,경기,2999,2WD,1
기아,K5,가솔린,173009,2013,무사고,검정색,전북,799,2WD,3
기아,K5,가솔린,152479,2014,무사고,검정색,전북,890,2WD,2
기아,K5,가솔린,55940,2019,무사고,검정색,경기,2050,2WD,1
기아,K5,하이브리드,48370,2019,무사고,검정색,경기,2160,2WD,3
기아,K5,가솔린,58475,2017,무사고,검정색,인천,1380,2WD,1
기아,K5,LPG,87594,2019,무사고,검정색,경기,1550,2WD,1
기아,K5,LPG,180284,2015,무사고,검정색,대전,780,2WD,2
기아,K5,LPG,77329,2019,무사고,검정색,광주,1680,2WD,1
기아,K5,가솔린,30813,2014,무사고,검정색,서울,1230,2WD,1
기아,K5,가솔린,173314,2011,무사고,검정색,부산,530,2WD,2
기아,K5,가솔린,65058,2014,무사고,검정색,경기,1250,2WD,1
기아,K5,디젤,163287,2016,무사고,검정색,경기,1270,2WD,1
기아,K5,가솔린,85780,2019,무사고,검정색,대전,1630,2WD,1
기아,K5,가솔린,31563,2019,무사고,검정색,경기,1890,2WD,1
기아,K5,LPG,51867,2018,무사고,검정색,경기,1230,2WD,1
기아,K5,가솔린,18320,2019,무사고,검정색,서울,2170,2WD,1
기아,K5,가솔린,179058,2013,무사고,검정색,대구,550,2WD,1
기아,K5,하이브리드,163054,2013,무사고,검정색,충남,769,2WD,2
기아,K5,가솔린,130594,2012,무사고,검정색,광주,790,2WD,2
기아,K5,가솔린,169137,2015,무사고,검정색,충남,830,2WD,1
기아,K5,가솔린,94222,2017,무사고,검정색,경기,1390,2WD,1
기아,K5,가솔린,15152,2021,무사고,검정색,대전,2720,2WD,1
기아,K5,가솔린,23563,2019,무사고,검정색,경기,2090,2WD,1
기아,K5,가솔린,68918,2018,무사고,검정색,전북,1690,2WD,1
기아,K5,가솔린,36020,2019,무사고,검정색,경기,2000,2WD,1
기아,K5,가솔린,81945,2018,무사고,검정색,광주,1550,2WD,1
기아,K5,가솔린,127929,2014,무사고,검정색,대전,950,2WD,1
기아,K5,하이브리드,33077,2019,무사고,검정색,경기,2540,2WD,3
기아,K5,가솔린,29559,2020,무사고,검정색,경기,2100,2WD,1
기아,K5,LPG,84443,2016,무사고,검정색,경기,1050,2WD,1
기아,K5,디젤,94347,2016,무사고,검정색,부산,1190,2WD,1
기아,K5,가솔린,108392,2011,무사고,검정색,울산,690,2WD,1
기아,K5,가솔린,139562,2011,무사고,검정색,대구,749,2WD,3
기아,K5,가솔린,28407,2018,무사고,검정색,경기,1890,2WD,1
기아,K5,하이브리드,43235,2016,무사고,검정색,경기,1870,2WD,3
기아,K5,가솔린,11332,2020,무사고,검정색,경기,2570,2WD,1
기아,K5,가솔린,28701,2014,무사고,검정색,서울,1090,2WD,3
기아,K5,가솔린,103688,2013,무사고,검정색,부산,690,2WD,1
기아,K5,가솔린,18571,2020,무사고,검정색,부산,2650,2WD,1
기아,K5,디젤,61129,2019,무사고,검정색,서울,2090,2WD,1
기아,K5,가솔린,6602,2020,무사고,검정색,서울,2599,2WD,1
기아,K5,가솔린,22219,2020,무사고,검정색,경기,3290,2WD,1
기아,K5,가솔린,178262,2011,무사고,검정색,경기,630,2WD,3
기아,K5,가솔린,57207,2019,무사고,검정색,경기,1950,2WD,1
기아,K5,가솔린,72536,2016,무사고,검정색,대구,1850,2WD,1
기아,K5,LPG,95485,2015,무사고,검정색,전북,850,2WD,1
기아,K5,가솔린,11622,2020,무사고,검정색,경기,3150,2WD,1
기아,K5,하이브리드,48958,2016,무사고,검정색,서울,1850,2WD,3
기아,K5,LPG,126407,2014,무사고,검정색,충남,989,2WD,2
기아,K5,가솔린,93032,2013,무사고,검정색,서울,830,2WD,2
기아,K5,가솔린,118465,2012,무사고,검정색,서울,850,2WD,2
기아,K5,가솔린,112290,2016,무사고,검정색,인천,1250,2WD,1
기아,K5,LPG,70713,2019,무사고,검정색,서울,1470,2WD,1
기아,K5,하이브리드,56439,2019,무사고,검정색,경기,2170,2WD,3
기아,K5,LPG,69876,2019,무사고,검정색,광주,1490,2WD,1
기아,K5,가솔린,108665,2014,무사고,검정색,경기,990,2WD,2
기아,K5,LPG,13058,2018,무사고,검정색,경기,1580,2WD,1
기아,K5,가솔린,18370,2020,무사고,검정색,경기,2680,2WD,1
기아,K5,LPG,181846,2014,무사고,검정색,광주,590,2WD,1
기아,K5,LPG,117185,2015,무사고,검정색,경기,800,2WD,1
기아,K5,LPG,65945,2019,무사고,검정색,서울,1630,2WD,1
기아,K5,LPG,183365,2014,무사고,검정색,경기,670,2WD,1
기아,K5,가솔린,127142,2016,무사고,검정색,대구,1230,2WD,1
기아,K5,가솔린,116132,2014,무사고,검정색,서울,900,2WD,2
기아,K5,가솔린,13451,2020,무사고,검정색,경기,2740,2WD,1
기아,K5,가솔린,85496,2019,무사고,검정색,대전,1850,2WD,1
기아,K5,가솔린,56206,2016,무사고,검정색,부산,1490,2WD,1
기아,K5,가솔린,347,2020,무사고,검정색,경기,2820,2WD,1
기아,K5,하이브리드,218752,2012,무사고,검정색,경기,590,2WD,2
기아,K5,LPG,74114,2015,무사고,검정색,대전,970,2WD,1
기아,K5,LPG,120117,2018,무사고,검정색,부산,1450,2WD,1
기아,K5,가솔린,117764,2017,무사고,검정색,경기,1250,2WD,1
기아,K5,가솔린,36226,2020,무사고,검정색,서울,2969,2WD,1
기아,K5,가솔린,27145,2020,무사고,검정색,서울,3039,2WD,1
기아,K5,가솔린,77200,2013,무사고,검정색,울산,860,2WD,1
기아,K5,가솔린,152520,2011,무사고,검정색,경기,730,2WD,2
기아,K5,LPG,19944,2019,무사고,검정색,경기,2280,2WD,1
기아,K5,가솔린,35129,2017,무사고,검정색,경기,1990,2WD,1
기아,K5,가솔린,72988,2018,무사고,검정색,부산,1570,2WD,1
기아,K5,가솔린,9551,2019,무사고,검정색,부산,2230,2WD,1
기아,K5,가솔린,114444,2018,무사고,검정색,대구,1260,2WD,1
기아,K5,가솔린,66772,2015,무사고,검정색,부산,1180,2WD,1
기아,K5,LPG,154896,2011,무사고,검정색,경기,689,2WD,2
기아,K5,가솔린,23880,2020,무사고,검정색,충남,2720,2WD,1
기아,K5,가솔린,125289,2016,무사고,검정색,경기,1290,2WD,1
기아,K5,하이브리드,54855,2018,무사고,검정색,경기,1930,2WD,3
기아,K5,가솔린,90341,2019,무사고,검정색,경기,1700,2WD,1
기아,K5,가솔린,73116,2017,무사고,검정색,경기,1490,2WD,1
기아,K5,LPG,148554,2013,무사고,검정색,충남,539,2WD,1
기아,K5,하이브리드,125695,2015,무사고,검정색,경기,1000,2WD,2
기아,K5,가솔린,174511,2011,무사고,검정색,대구,550,2WD,1
기아,K5,가솔린,27358,2020,무사고,검정색,경기,2930,2WD,1
기아,K5,LPG,19711,2019,무사고,검정색,경기,1799,2WD,1
기아,K5,가솔린,124026,2016,무사고,검정색,대구,1179,2WD,1
기아,K5,가솔린,79717,2018,무사고,검정색,대구,1550,2WD,1
기아,K5,LPG,99997,2015,무사고,검정색,부산,830,2WD,1
기아,K5,가솔린,56734,2019,무사고,검정색,부산,1949,2WD,1
기아,K5,가솔린,25077,2020,무사고,검정색,경기,2400,2WD,1
기아,K5,가솔린,39324,2020,무사고,검정색,경기,1860,2WD,1
기아,K5,가솔린,44604,2016,무사고,검정색,부산,1330,2WD,1
기아,K5,가솔린,78075,2018,무사고,검정색,부산,1490,2WD,1
기아,K5,가솔린,39565,2019,무사고,검정색,경기,1890,2WD,1
기아,K5,가솔린,109604,2012,무사고,검정색,부산,790,2WD,2
기아,K5,가솔린,44256,2011,무사고,검정색,경기,830,2WD,1
기아,K5,가솔린,245117,2014,무사고,검정색,경기,520,2WD,1
기아,K5,가솔린,61824,2019,무사고,검정색,경기,1730,2WD,1
기아,K5,가솔린,30124,2020,무사고,검정색,경기,2949,2WD,1
기아,K5,가솔린,157161,2011,무사고,검정색,경기,699,2WD,3
기아,K5,디젤,84493,2016,무사고,검정색,경기,1430,2WD,1
기아,K5,가솔린,75554,2019,무사고,검정색,경기,1900,2WD,1
기아,K5,가솔린,162147,2013,무사고,검정색,울산,590,2WD,1
