,brand,name,info,type,km,year,accident,color,location,price,wd
3019,포드,익스플로러,2.3 리미티드 4WD,가솔린,58164,2018,무사고,흰색,부산,3480,4WD
3026,포드,익스플로러,2.3 리미티드 4WD,가솔린,67659,2017,무사고,흰색,대구,3180,4WD
3042,포드,머스탱,쿠페,가솔린,64603,2017,무사고,흰색,경기,2720,2WD
3064,포드,익스플로러,2.3 리미티드 4WD,가솔린,120479,2018,무사고,흰색,경기,2630,4WD
3154,포드,익스플로러,2.3 리미티드 4WD,가솔린,11050,2019,무사고,흰색,경기,4100,4WD
3155,포드,익스플로러,2.3 리미티드 4WD,가솔린,43200,2017,무사고,흰색,경기,3320,4WD
3194,포드,익스플로러,3.5 리미티드 4WD,가솔린,29478,2018,무사고,흰색,경기,3490,4WD
3215,포드,퓨전,2.0 에코부스트,가솔린,194795,2013,무사고,흰색,서울,770,2WD
3251,포드,익스플로러,2.0 에코부스트 2WD,가솔린,168329,2013,무사고,흰색,울산,1199,2WD
3263,포드,머스탱,컨버터블,가솔린,44580,2019,무사고,흰색,경기,4150,2WD
3272,포드,이스케이프,2.0,가솔린,83609,2013,무사고,흰색,경기,1499,2WD
3309,포드,익스플로러,2.3 리미티드 4WD,가솔린,10660,2020,무사고,흰색,경기,5050,4WD
3472,포드,익스플로러,2.3 리미티드 4WD,가솔린,55243,2019,무사고,흰색,부산,3480,4WD
3473,포드,F150,3.5L,가솔린,137187,2013,무사고,흰색,부산,3590,2WD
3481,포드,포커스,2.0 디젤 스포츠 해치백,디젤,70755,2014,무사고,흰색,경기,759,2WD
3483,포드,익스플로러,2.3 리미티드 4WD,가솔린,9200,2019,무사고,흰색,경기,4100,4WD
3505,포드,익스플로러,2.3 리미티드 4WD,가솔린,90632,2017,무사고,흰색,대구,2830,4WD
3515,포드,익스플로러,2.3 리미티드 4WD,가솔린,101961,2016,무사고,흰색,서울,2380,4WD
3543,포드,익스플로러,3.5 리미티드 4WD,가솔린,108277,2015,무사고,흰색,경기,1750,4WD
3556,포드,익스플로러,2.3 리미티드 4WD,가솔린,53671,2018,무사고,흰색,대구,3525,4WD
3576,포드,F150,3.5L,가솔린,186063,2015,무사고,흰색,서울,4890,2WD
3638,포드,익스플로러,2.3 리미티드 4WD,가솔린,45967,2016,무사고,흰색,경기,2989,4WD
3670,포드,익스플로러,2.3 리미티드 4WD,가솔린,16159,2020,무사고,흰색,경기,5130,4WD
3775,포드,익스플로러,2.3 리미티드 4WD,가솔린,93039,2018,무사고,흰색,서울,2939,4WD
3780,포드,익스플로러,2.3 리미티드 4WD,가솔린,25459,2018,무사고,흰색,서울,9999,4WD
3822,포드,익스플로러,2.3 리미티드 4WD,가솔린,16027,2020,무사고,흰색,경기,4950,4WD
3847,포드,익스플로러,2.3 리미티드 4WD,가솔린,40475,2018,무사고,흰색,대구,3680,4WD
3857,포드,익스플로러,2.3 리미티드 4WD,가솔린,64941,2018,무사고,흰색,대구,3350,4WD
3863,포드,익스플로러,2.3 리미티드 4WD,가솔린,59557,2017,무사고,흰색,광주,3250,4WD
3925,포드,익스플로러,3.5 리미티드 4WD,가솔린,93355,2016,무사고,흰색,경기,2450,4WD
3931,포드,몬데오,2.0 트렌드,디젤,43360,2015,무사고,흰색,경기,1399,2WD
3959,포드,익스플로러,2.3 리미티드 4WD,가솔린,17875,2020,무사고,흰색,경기,5050,4WD
4009,포드,익스플로러,2.3 리미티드 4WD,가솔린,16710,2020,무사고,흰색,경기,4790,4WD
4025,포드,머스탱,쿠페,가솔린,66901,2014,무사고,흰색,부산,2410,2WD
4104,포드,익스플로러,2.3 리미티드 4WD,가솔린,34821,2017,무사고,흰색,대구,3150,4WD
4155,포드,익스플로러,2.3 리미티드 4WD,가솔린,35256,2016,무사고,흰색,경기,2900,4WD
4171,포드,익스플로러,2.3 리미티드 4WD,가솔린,88474,2018,무사고,흰색,경기,2850,4WD
4196,포드,익스플로러,2.3 리미티드 4WD,가솔린,109418,2017,무사고,흰색,경기,2555,4WD
4219,포드,머스탱,쿠페,가솔린,65879,2017,무사고,흰색,경기,2699,2WD
4245,포드,익스플로러,2.3 리미티드 4WD,가솔린,42494,2018,무사고,흰색,전북,3590,4WD
4295,포드,몬데오,2.0 트렌드,디젤,43359,2017,무사고,흰색,경기,1650,2WD
4322,포드,익스플로러,2.3 리미티드 4WD,가솔린,79603,2018,무사고,흰색,광주,3250,4WD
4342,포드,머스탱,GT 컨버터블,가솔린,76414,2017,무사고,흰색,광주,3770,2WD
4356,포드,익스플로러,2.3 리미티드 4WD,가솔린,40454,2017,무사고,흰색,서울,3333,4WD
4360,포드,익스플로러,2.3 리미티드 4WD,가솔린,51515,2020,무사고,흰색,대구,4740,4WD
4362,포드,익스플로러,2.3 리미티드 4WD,가솔린,78314,2017,무사고,흰색,경기,3000,4WD
4379,포드,익스플로러,2.3 리미티드 4WD,가솔린,10665,2020,무사고,흰색,서울,5090,4WD
4401,포드,퓨전,2.0 에코부스트,가솔린,127510,2013,무사고,흰색,서울,830,2WD
4571,포드,익스플로러,2.3 리미티드 4WD,가솔린,45181,2017,무사고,흰색,경기,3150,4WD
4590,포드,익스플로러,2.3 리미티드 4WD,가솔린,96745,2016,무사고,흰색,경기,2420,4WD
4619,포드,익스플로러,2.3 리미티드 4WD,가솔린,38239,2018,무사고,흰색,부산,3390,4WD
4677,포드,익스플로러,2.0 에코부스트 2WD,가솔린,144335,2013,무사고,흰색,경기,1330,2WD
4701,포드,익스플로러,2.3 리미티드 4WD,가솔린,16897,2020,무사고,흰색,부산,5090,4WD
4706,포드,익스플로러,2.3 리미티드 4WD,가솔린,78336,2016,무사고,흰색,경기,2699,4WD
4760,포드,익스플로러,2.3 리미티드 4WD,가솔린,17568,2018,무사고,흰색,부산,3890,4WD
4790,포드,익스플로러,2.3 리미티드 4WD,가솔린,48257,2018,무사고,흰색,대전,3690,4WD
4841,포드,익스플로러,2.3 리미티드 4WD,가솔린,54804,2017,무사고,흰색,인천,2930,4WD
4961,포드,익스플로러,2.3 리미티드 4WD,가솔린,68537,2017,무사고,흰색,대전,3099,4WD
4975,포드,몬데오,2.0 트렌드,디젤,149000,2016,무사고,흰색,인천,899,2WD
4980,포드,익스플로러,2.3 리미티드 4WD,가솔린,31676,2018,무사고,흰색,대구,3620,4WD
4994,포드,몬데오,2.0 트렌드,디젤,64263,2017,무사고,흰색,경기,1689,2WD
5019,포드,익스플로러,2.3 리미티드 4WD,가솔린,35434,2020,무사고,흰색,경기,4690,4WD
5041,포드,몬데오,2.0 트렌드,디젤,71006,2016,무사고,흰색,경기,1360,2WD
5067,포드,포커스,2.0 디젤 트렌드,디젤,104240,2013,무사고,흰색,대전,570,2WD
5079,포드,몬데오,2.0 트렌드,디젤,51553,2016,무사고,흰색,경기,1450,2WD
5104,포드,익스플로러,2.3 리미티드 4WD,가솔린,12891,2019,무사고,흰색,서울,3998,4WD
5122,포드,익스플로러,2.3 리미티드 4WD,가솔린,20259,2018,무사고,흰색,경기,3650,4WD
5298,포드,익스플로러,2.3 리미티드 4WD,가솔린,43575,2018,무사고,흰색,부산,3580,4WD
5300,포드,익스플로러,3.5 리미티드 4WD,가솔린,90119,2016,무사고,흰색,경기,2499,4WD
5407,포드,익스플로러,3.5 리미티드 4WD,가솔린,134934,2013,무사고,흰색,경기,1430,4WD
5561,포드,이스케이프,1.6,가솔린,111561,2013,무사고,흰색,서울,900,2WD
5632,포드,익스플로러,3.5 리미티드 4WD,가솔린,170906,2014,무사고,흰색,경기,1450,4WD
5653,포드,익스플로러,3.5 리미티드 4WD,가솔린,48437,2018,무사고,흰색,서울,3390,4WD
5690,포드,익스플로러,2.3 리미티드 4WD,가솔린,18111,2018,무사고,흰색,인천,3650,4WD
5734,포드,F150,5.4L,가솔린,145007,2010,무사고,흰색,충남,2570,2WD
5758,포드,이스케이프,1.6,가솔린,85019,2013,무사고,흰색,경기,1090,2WD
5804,포드,익스플로러,2.3 리미티드 4WD,가솔린,70634,2018,무사고,흰색,경기,3030,4WD
5809,포드,익스플로러,3.5 리미티드 4WD,가솔린,150956,2014,무사고,흰색,경기,1550,4WD
5814,포드,몬데오,2.0 티타늄,디젤,82428,2016,무사고,흰색,경기,1400,2WD
5818,포드,토러스,2.0 Limited 에코부스트,가솔린,111983,2015,무사고,흰색,경기,1020,2WD
5820,포드,익스플로러,2.3 리미티드 4WD,가솔린,60030,2019,무사고,흰색,경기,3550,4WD
5823,포드,익스플로러,3.5 리미티드 4WD,가솔린,134784,2016,무사고,흰색,경기,2250,4WD
5827,포드,익스플로러,2.0 에코부스트 2WD,가솔린,132642,2014,무사고,흰색,울산,1460,2WD
5886,포드,익스플로러,2.3 리미티드 4WD,가솔린,60448,2016,무사고,흰색,경기,2970,4WD
5902,포드,익스플로러,2.3 리미티드 4WD,가솔린,18513,2020,무사고,흰색,대구,5150,4WD
5980,포드,익스플로러,2.3 리미티드 4WD,가솔린,50375,2018,무사고,흰색,경남,3530,4WD
5983,포드,익스플로러,2.3 리미티드 4WD,가솔린,73889,2016,무사고,흰색,인천,2650,4WD
5985,포드,익스플로러,3.5 리미티드 4WD,가솔린,65011,2012,무사고,흰색,경기,1790,4WD
6015,포드,익스플로러,2.3 리미티드 4WD,가솔린,109240,2017,무사고,흰색,부산,2599,4WD
6134,포드,익스플로러,2.3 리미티드 4WD,가솔린,24946,2020,무사고,흰색,부산,4620,4WD
6186,포드,익스플로러,2.3 리미티드 4WD,가솔린,13608,2020,무사고,흰색,서울,5050,4WD
6199,포드,토러스,2.0 Limited 에코부스트,가솔린,64432,2014,무사고,흰색,광주,1250,2WD
6219,포드,머스탱,컨버터블,가솔린,80498,2014,무사고,흰색,경기,2820,2WD
6223,포드,익스플로러,2.3 리미티드 4WD,가솔린,55337,2018,무사고,흰색,부산,3330,4WD
6272,포드,익스플로러,3.5 리미티드 4WD,가솔린,41911,2015,무사고,흰색,경기,2200,4WD
6277,포드,익스플로러,3.5 리미티드 4WD,가솔린,95883,2014,무사고,흰색,경기,1800,4WD
6279,포드,익스플로러,2.3 리미티드 4WD,가솔린,16260,2018,무사고,흰색,경기,3650,4WD
6338,포드,익스플로러,3.5 리미티드 4WD,가솔린,147927,2013,무사고,흰색,충남,1580,4WD
6354,포드,익스플로러,3.5 리미티드 4WD,가솔린,14486,2018,무사고,흰색,부산,3490,4WD
6426,포드,머스탱,쿠페,가솔린,45861,2016,무사고,흰색,충북,2770,2WD
6430,포드,쿠가,2.0 디젤 트렌디,디젤,71237,2016,무사고,흰색,경기,1220,2WD
6432,포드,익스플로러,2.3 리미티드 4WD,가솔린,89145,2018,무사고,흰색,서울,2870,4WD
6452,포드,익스플로러,2.3 리미티드 4WD,가솔린,42409,2018,무사고,흰색,경기,3540,4WD
6455,포드,익스플로러,2.3 리미티드 4WD,가솔린,78259,2018,무사고,흰색,경기,4444,4WD
6470,포드,익스플로러,2.3 리미티드 4WD,가솔린,63014,2017,무사고,흰색,서울,2990,4WD
6491,포드,익스플로러,2.3 리미티드 4WD,가솔린,141746,2016,무사고,흰색,경기,2220,4WD
6529,포드,익스플로러,3.5 리미티드 4WD,가솔린,73445,2014,무사고,흰색,경기,1949,4WD
6549,포드,익스플로러,2.3 리미티드 4WD,가솔린,50860,2018,무사고,흰색,경남,3510,4WD
6601,포드,익스플로러,2.3 리미티드 4WD,가솔린,110051,2017,무사고,흰색,경기,2620,4WD
6656,포드,익스플로러,3.5 리미티드 4WD,가솔린,72410,2015,무사고,흰색,경기,2250,4WD
6660,포드,익스플로러,2.3 리미티드 4WD,가솔린,53885,2017,무사고,흰색,광주,3070,4WD
6732,포드,몬데오,2.0 트렌드,디젤,24333,2017,무사고,흰색,경기,1800,2WD
6817,포드,익스플로러,2.3 리미티드 4WD,가솔린,26068,2019,무사고,흰색,충북,3950,4WD
6820,포드,익스플로러,2.3 리미티드 4WD,가솔린,22316,2018,무사고,흰색,경기,3650,4WD
6870,포드,토러스,2.0 Limited 에코부스트,가솔린,60056,2014,무사고,흰색,경기,1270,2WD
6874,포드,익스플로러,3.5 리미티드 4WD,가솔린,89880,2015,무사고,흰색,대전,1890,4WD
6910,포드,익스플로러,2.3 리미티드 4WD,가솔린,58349,2017,무사고,흰색,경기,3290,4WD
6924,포드,이스케이프,2.0,가솔린,102038,2013,무사고,흰색,울산,1100,2WD
6939,포드,몬데오,2.0 티타늄,디젤,122787,2016,무사고,흰색,경기,1190,2WD
6940,포드,익스플로러,2.3 리미티드 4WD,가솔린,46637,2018,무사고,흰색,대구,3440,4WD
6949,포드,익스플로러,3.5 리미티드 4WD,가솔린,45168,2015,무사고,흰색,서울,2170,4WD
6988,포드,F150,3.5L,가솔린,15621,2017,무사고,흰색,경기,7290,2WD
7000,포드,익스플로러,2.3 리미티드 4WD,가솔린,101829,2017,무사고,흰색,경기,2600,4WD
7055,포드,익스플로러,3.5 리미티드 4WD,가솔린,73958,2015,무사고,흰색,경기,2290,4WD
7083,포드,익스플로러,2.3 리미티드 4WD,가솔린,52524,2016,무사고,흰색,서울,2780,4WD
7109,포드,머스탱,쿠페,가솔린,38106,2019,무사고,기타,서울,3590,2WD
7111,포드,머스탱,GT 컨버터블,가솔린,22816,2020,무사고,기타,대구,5290,2WD
7141,포드,포커스,2.0 디젤 트렌드 해치백,디젤,45394,2014,무사고,기타,경기,770,2WD
7209,포드,머스탱,쿠페,가솔린,72964,2014,무사고,기타,경기,2130,2WD
7222,포드,익스플로러,2.3 리미티드 4WD,가솔린,177827,2016,무사고,기타,충남,2099,4WD
7257,포드,머스탱,GT 쿠페,가솔린,52892,2015,무사고,기타,경기,3300,2WD
7279,포드,익스플로러,2.3 리미티드 4WD,가솔린,12191,2021,무사고,기타,서울,5199,4WD
7292,포드,머스탱,컨버터블,가솔린,74588,2017,무사고,기타,서울,3320,2WD
7415,포드,머스탱,컨버터블,가솔린,12267,2020,무사고,기타,경기,4680,2WD
7481,포드,익스플로러,2.3 리미티드 4WD,가솔린,14955,2020,무사고,기타,서울,4620,4WD
7562,포드,머스탱,쿠페,가솔린,9190,2019,무사고,기타,경기,3890,2WD
7613,포드,F150,3.5L,가솔린,140679,2014,무사고,기타,서울,3340,2WD
7658,포드,머스탱,쿠페,가솔린,51539,2015,무사고,기타,서울,2590,2WD
7743,포드,머스탱,GT 컨버터블,가솔린,35128,2018,무사고,기타,경기,4900,2WD
7856,포드,포커스,2.0 티타늄 해치백,가솔린,84843,2012,무사고,기타,부산,570,2WD
7858,포드,머스탱,GT 쿠페,가솔린,58453,2016,무사고,기타,서울,3050,2WD
7879,포드,머스탱,GT 컨버터블,가솔린,90246,2016,무사고,기타,경기,3700,2WD
7880,포드,머스탱,컨버터블,가솔린,58017,2017,무사고,기타,대구,3650,2WD
7905,포드,머스탱,쿠페,가솔린,91294,2016,무사고,기타,경기,2499,2WD
7921,포드,머스탱,쿠페,가솔린,39190,2017,무사고,기타,경기,3130,2WD
7929,포드,머스탱,쿠페,가솔린,45653,2017,무사고,기타,전북,2490,2WD
7996,포드,머스탱,쿠페,가솔린,91719,2017,무사고,기타,경기,2550,2WD
7998,포드,머스탱,쿠페,가솔린,25141,2019,무사고,기타,경기,3690,2WD
8011,포드,머스탱,쿠페,가솔린,72357,2013,무사고,기타,광주,1550,2WD
8066,포드,머스탱,컨버터블,가솔린,48695,2017,무사고,기타,경기,3690,2WD
8068,포드,머스탱,쿠페,가솔린,48801,2016,무사고,기타,경기,2750,2WD
8087,포드,F150,3.5L,가솔린,129185,2016,무사고,기타,경기,4490,2WD
