,brand,name,year,info,km,location,price,type,color
73,현대,LF 쏘나타,14/11식(15년형),LPI 프리미엄,"137,707km",충남,999,LPG(일반인 구입),갈색
74,기아,모하비,14/11식,4WD KV300,"163,801km",부산,"1,680",디젤,갈색
75,현대,싼타페 더 프라임,16/02식,디젤 2.0 4WD,"95,951km",경기,"1,760",디젤,갈색
76,제네시스,G80,16/09식(17년형),3.3 GDI AWD,"68,997km",서울,"3,480",가솔린,갈색
77,제네시스,G80,17/01식,3.3 T-GDI AWD,"173,835km",대구,"2,999",가솔린,갈색
78,기아,올 뉴 K7,16/09식,3.0 LPI 프레스티지 (렌터카),"140,765km",광주,"1,650",LPG(일반인 구입),갈색
79,르노삼성,QM3,17/05식,RE 시그니처,"37,181km",경기,"1,250",디젤,갈색
80,쉐보레(GM대우),스파크,11/04식(12년형),LT,"110,054km",충남,370,가솔린,갈색
81,현대,싼타페 TM,18/04식(19년형),디젤 2.0 2WD,"60,268km",충남,"2,690",디젤,갈색
82,현대,그랜저 IG 하이브리드,18/01식,익스클루시브,"48,520km",경기,"3,070",가솔린+전기,갈색
83,제네시스,G80,18/09식(19년형),3.3 GDI AWD,"51,998km",서울,"3,890",가솔린,갈색
84,제네시스,EQ900,18/05식,3.3 T-GDI AWD,"90,068km",경기,"4,390",가솔린,갈색
85,제네시스,G80,18/09식,3.3 GDI AWD,"58,577km",경기,"3,690",가솔린,갈색
86,현대,더 뉴 그랜드 스타렉스,18/11식(19년형),어반 9인승,"39,495km",경기,"2,450",디젤,갈색
87,쌍용,티볼리,16/06식,디젤 LX 2WD,"168,912km",경기,850,디젤,갈색
88,,,,,,,,,갈색
89,제네시스,G80 (RG3),20/12식(21년형),디젤 2.2 AWD,"4,731km",경기,"6,750",디젤,갈색
90,현대,그랜저 IG,17/09식(18년형),3.3 셀러브리티,"69,068km",대구,"2,499",가솔린,갈색
91,제네시스,G80,16/12식(17년형),3.8 GDI AWD,"255,886km",경기,"2,590",가솔린,갈색
92,르노삼성,QM6,17/06식,디젤 2WD LE,"65,081km",서울,"1,749",디젤,갈색
93,현대,i30(신형),12/06식,1.6 GDI 익스트림,"76,469km",광주,870,가솔린,갈색
94,쌍용,코란도 스포츠,14/07식,CX5 2WD,"48,188km",부산,"1,400",디젤,갈색
95,제네시스,G80,18/01식,3.3 GDI AWD,"41,759km",경기,"3,770",가솔린,갈색
96,현대,에쿠스(신형),13/03식,VS500,"128,468km",광주,"2,100",가솔린,갈색
97,쌍용,코란도 스포츠,15/10식(16년형),익스트림 4WD,"61,831km",광주,"1,600",디젤,갈색
98,제네시스,G80 (RG3),20/05식(21년형),가솔린 3.5 터보 AWD,"17,075km",경기,"6,300",가솔린,갈색
99,기아,올 뉴 모닝,11/06식(12년형),디럭스 스페셜,"89,986km",부산,430,가솔린,갈색
100,기아,쏘렌토 R,11/06식,디젤 2.2 4WD TLX,"160,786km",경기,870,디젤,갈색
101,제네시스,G70,19/03식,3.3T 스포츠 AWD,"28,636km",경기,"4,050",가솔린,갈색
102,제네시스,G80 (RG3),20/05식(21년형),가솔린 3.5 터보 AWD,"17,075km",경기,"6,300",가솔린,갈색
103,기아,올 뉴 모닝,11/06식(12년형),디럭스 스페셜,"89,986km",부산,430,가솔린,갈색
104,기아,쏘렌토 R,11/06식,디젤 2.2 4WD TLX,"160,786km",경기,870,디젤,갈색
105,제네시스,G70,19/03식,3.3T 스포츠 AWD,"28,636km",경기,"4,050",가솔린,갈색
106,쉐보레(GM대우),더 뉴 스파크,20/08식(21년형),LT,"2,903km",경기,990,가솔린,갈색
107,현대,쏘나타 더 브릴리언트,13/11식(14년형),LPI 스마트,"159,159km",충남,470,LPG(일반인 구입),갈색
108,기아,더 뉴 쏘렌토,19/05식(20년형),가솔린 2.0 터보 4WD,"35,839km",경기,"3,130",가솔린,갈색
109,제네시스,G80,16/09식(17년형),3.3 GDI AWD,"102,580km",인천,"2,950",가솔린,갈색
110,기아,올 뉴 모닝,12/08식,디럭스 스페셜,"70,059km",부산,460,가솔린,갈색
111,기아,올 뉴 K7,16/12식(17년형),2.2 디젤 리미티드 에디션,"86,393km",서울,"1,840",디젤,갈색
112,현대,그랜저 HG,15/12식(16년형),HG240 모던,"99,373km",경기,"1,270",가솔린,갈색
113,기아,올 뉴 카니발,16/12식(17년형),가솔린 9인승 하이리무진(특장업체),"43,032km",광주,"4,450",가솔린,갈색
114,제네시스,G80,18/01식,3.8 GDI AWD,"38,305km",울산,"4,080",가솔린,갈색
115,쉐보레(GM대우),더 뉴 스파크,18/08식(19년형),프리미어,"36,013km",경기,950,가솔린,갈색
116,쉐보레(GM대우),스파크,11/04식(12년형),LT,"80,136km",경기,379,가솔린,갈색
117,현대,더 뉴 맥스크루즈,17/04식,가솔린 3.3 2WD,"75,423km",경기,"2,590",가솔린,갈색
118,르노삼성,뉴QM5,13/02식,디젤 2WD RE,"198,854km",대구,595,디젤,갈색
119,르노삼성,QM3,17/07식,RE 시그니처,"27,794km",대전,"1,390",디젤,갈색
120,현대,제네시스 DH,16/04식,G330 프리미엄 AWD,"121,726km",대구,"2,350",가솔린,갈색
121,르노삼성,QM3,16/07식,RE 시그니처,"59,569km",경기,"1,099",디젤,갈색
122,제네시스,G90,18/11식(19년형),3.8 AWD,"36,553km",경기,"7,100",가솔린,갈색
123,현대,그랜저 IG,18/08식(19년형),2.2 디젤 모던,"92,424km",대구,"1,990",디젤,갈색
124,현대,그랜저 IG 하이브리드,17/12식(18년형),익스클루시브,"174,872km",경기,"1,900",가솔린+전기,갈색
125,쉐보레(GM대우),말리부,14/08식,2.0 LT 디럭스팩,"24,820km",서울,"1,050",가솔린,갈색
126,현대,싼타페 DM,13/06식,디젤(e-VGT) 2.0 4WD 프리미엄,"125,516km",경기,"1,350",디젤,갈색
127,현대,그랜저 IG,17/07식(18년형),3.0 익스클루시브,"37,467km",경기,"2,590",가솔린,갈색
128,현대,더 뉴 싼타페,21/05식,디젤 2.2 2WD,"7,921km",서울,"3,250",디젤,갈색
129,쌍용,코란도 스포츠,15/06식(16년형),익스트림 4WD,"120,819km",서울,"1,380",디젤,갈색
130,제네시스,G80,16/12식(17년형),3.3 GDI AWD,"95,174km",대구,"2,990",가솔린,갈색
131,제네시스,G80,17/09식(18년형),3.3 GDI AWD,"61,922km",대구,"3,490",가솔린,갈색
132,제네시스,G80,16/10식(17년형),3.3 GDI AWD,"90,703km",대구,"2,990",가솔린,갈색
133,제네시스,G80,18/02식,3.3 GDI AWD,"73,389km",대구,"3,490",가솔린,갈색
134,현대,제네시스 DH,16/03식,G330 프리미엄,"119,060km",서울,"2,222",가솔린,갈색
135,쉐보레(GM대우),올란도,13/07식,2.0 디젤 LT,"47,661km",부산,999,디젤,갈색
136,기아,모하비,13/02식,4WD KV300,"61,665km",대구,"2,050",디젤,갈색
137,쉐보레(GM대우),올란도,15/01식,LPG LTZ,"143,889km",서울,920,LPG(일반인 구입),갈색
138,기아,올 뉴 프라이드,12/03식,1.6 GDI 해치백,"99,633km",경기,470,가솔린,갈색
