,brand,name,info,type,km,year,accident,color,location,price,wd
927,벤츠,S-클래스,S63 AMG 4MATIC+,가솔린,24902,2018,무사고,검정색,서울,15500,4WD
936,벤츠,E-클래스,E300 AMG Line,가솔린,83043,2019,무사고,검정색,서울,4790,2WD
939,벤츠,S-클래스,S400L 하이브리드,가솔린+전기,149189,2010,무사고,검정색,경기,2150,2WD
940,벤츠,E-클래스,E300 4MATIC 익스클루시브,가솔린,26594,2018,무사고,검정색,경기,5550,4WD
943,벤츠,S-클래스,S500L,가솔린,100032,2016,무사고,검정색,대구,5990,2WD
945,벤츠,C-클래스,C200 d,디젤,33762,2018,무사고,검정색,부산,3000,2WD
946,벤츠,S-클래스,S500L,가솔린,117383,2014,무사고,검정색,경기,5250,2WD
949,벤츠,S-클래스,S350 d 4MATIC,디젤,24878,2018,무사고,검정색,경기,9390,4WD
950,벤츠,E-클래스,E220d 아방가르드,디젤,57163,2017,무사고,검정색,경기,4150,2WD
951,벤츠,M-클래스,ML63 AMG,가솔린,152143,2015,무사고,검정색,경기,3999,2WD
952,벤츠,E-클래스,E220d 쿠페,디젤,80621,2017,무사고,검정색,부산,4680,2WD
957,벤츠,S-클래스,S350L d 4MATIC,디젤,103239,2016,무사고,검정색,서울,5849,4WD
960,벤츠,S-클래스,S350 d 4MATIC,디젤,191574,2016,무사고,검정색,경기,4780,4WD
961,벤츠,GLA-클래스,GLA200 CDI,디젤,77492,2015,무사고,검정색,경기,2170,2WD
962,벤츠,E-클래스,E220d 아방가르드,디젤,104556,2017,무사고,검정색,광주,3390,2WD
965,벤츠,CL-클래스,CL63 AMG,가솔린,146427,2009,무사고,검정색,광주,2190,2WD
971,벤츠,M-클래스,ML300 CDI,디젤,111741,2010,무사고,검정색,경기,1690,2WD
972,벤츠,S-클래스,S550,가솔린,256702,2008,무사고,검정색,경기,670,2WD
977,벤츠,스프린터,3.0 디젤,디젤,51916,2015,무사고,검정색,경기,5550,2WD
978,벤츠,GLA-클래스,GLA220 프리미엄,가솔린,96211,2018,무사고,검정색,서울,2780,2WD
979,벤츠,S-클래스,S500L,가솔린,148789,2015,무사고,검정색,서울,5190,2WD
981,벤츠,SLK-클래스,200 블루이피션시,가솔린,84637,2012,무사고,검정색,경기,2240,2WD
982,벤츠,E-클래스,E300 아방가르드,가솔린,52482,2019,무사고,검정색,광주,4550,2WD
983,벤츠,S-클래스,마이바흐 S600,가솔린,103814,2015,무사고,검정색,전북,9500,2WD
985,벤츠,B-클래스 W246,B200 CDI 블루이피션시,디젤,87521,2013,무사고,검정색,서울,1100,2WD
987,벤츠,E-클래스,E300 4MATIC AMG Line,가솔린,45643,2018,무사고,검정색,경기,5350,4WD
990,벤츠,C-클래스,C220 d 아방가르드,디젤,46390,2019,무사고,검정색,경기,3950,2WD
993,벤츠,C-클래스,AMG GLC43 4MATIC,가솔린,71474,2018,무사고,검정색,서울,4990,4WD
994,벤츠,S-클래스,S63 AMG 4MATIC+,가솔린,74755,2018,무사고,검정색,경기,12969,4WD
999,벤츠,S-클래스,S560L 4MATIC,가솔린,7792,2020,무사고,검정색,대구,15590,4WD
1000,벤츠,CLA-클래스,CLA200 CDI,디젤,57908,2015,무사고,검정색,부산,2350,2WD
1001,벤츠,E-클래스,E300 4MATIC 익스클루시브,가솔린,78255,2018,무사고,검정색,경기,4770,4WD
1011,벤츠,S-클래스,S350L d 4MATIC,디젤,102473,2017,무사고,검정색,경기,6690,4WD
1012,벤츠,E-클래스,E220d 익스클루시브,디젤,80011,2017,무사고,검정색,인천,3980,2WD
1015,벤츠,S-클래스,마이바흐 S500,가솔린,149714,2015,무사고,검정색,경기,7050,2WD
1016,벤츠,LS,CLS350,가솔린,138001,2009,무사고,검정색,경기,1280,2WD
1018,벤츠,S-클래스,S500L,가솔린,66970,2014,무사고,검정색,서울,6230,2WD
1021,벤츠,E-클래스,E350 카브리올레,가솔린,144536,2013,무사고,검정색,부산,1870,2WD
1027,벤츠,E-클래스,E200 아방가르드,가솔린,61909,2018,무사고,검정색,부산,4050,2WD
1029,벤츠,E-클래스,E300 엘레강스,가솔린,117571,2012,무사고,검정색,경기,1250,2WD
1030,벤츠,S-클래스,S63 AMG 4MATIC+ 퍼포먼스 에디션,가솔린,44376,2018,무사고,검정색,전북,14900,4WD
1034,벤츠,C-클래스,C220 d 아방가르드,디젤,56801,2017,무사고,검정색,전북,3290,2WD
1038,벤츠,S-클래스,S500L 4MATIC,가솔린,32451,2015,무사고,검정색,서울,6890,4WD
1040,벤츠,S-클래스,S350 d 4MATIC,디젤,43194,2018,무사고,검정색,경기,9290,4WD
1044,벤츠,GLA-클래스,GLA220,가솔린,77408,2018,무사고,검정색,서울,2750,2WD
1049,벤츠,E-클래스,E220d 4MATIC 익스클루시브,디젤,35215,2017,무사고,검정색,광주,4780,4WD
1050,벤츠,E-클래스,E300 아방가르드,가솔린,81460,2019,무사고,검정색,광주,4250,2WD
1053,벤츠,E-클래스,GLE250 d 4MATIC,디젤,97519,2016,무사고,검정색,경기,4050,4WD
1054,벤츠,S-클래스,S500L 4MATIC,가솔린,164522,2015,무사고,검정색,서울,5150,4WD
1055,벤츠,G-클래스,230GE,가솔린,303512,1991,무사고,검정색,서울,8990,2WD
1058,벤츠,스프린터,3.0 디젤,디젤,57690,2015,무사고,검정색,인천,6350,2WD
1060,벤츠,GLA-클래스,GLA220,가솔린,7944,2021,무사고,검정색,경기,5150,2WD
1061,벤츠,S-클래스,S350 블루텍,디젤,178706,2015,무사고,검정색,광주,4440,2WD
1062,벤츠,S-클래스,S600L,가솔린,125386,2008,무사고,검정색,서울,1650,2WD
1064,벤츠,S-클래스,S500L,가솔린,133135,2010,무사고,검정색,경기,1890,2WD
1065,벤츠,S-클래스,S500L 4MATIC,가솔린,73222,2016,무사고,검정색,대구,7990,4WD
1068,벤츠,C-클래스,GLC250 d 4MATIC,디젤,25111,2018,무사고,검정색,서울,4790,4WD
1069,벤츠,S-클래스,S560L 4MATIC,가솔린,26685,2018,무사고,검정색,광주,13100,4WD
1071,벤츠,E-클래스,E220d 익스클루시브,디젤,98008,2017,무사고,검정색,인천,3679,2WD
1073,벤츠,S-클래스,마이바흐 S560 4MATIC,가솔린,31490,2018,무사고,검정색,경기,16200,4WD
1074,벤츠,S-클래스,S500L 4MATIC,가솔린,189201,2011,무사고,검정색,경기,2080,4WD
1075,벤츠,S-클래스,S350 블루텍,디젤,103044,2014,무사고,검정색,충남,4699,2WD
1077,벤츠,S-클래스,S450L 4MATIC,가솔린,21887,2020,무사고,검정색,서울,13000,4WD
1082,벤츠,GLA-클래스,GLA45 AMG 4MATIC,가솔린,38094,2016,무사고,검정색,서울,3190,4WD
1093,벤츠,S-클래스,마이바흐 S600,가솔린,58682,2017,무사고,검정색,광주,13850,2WD
1095,벤츠,S-클래스,S400L 4MATIC,가솔린,133700,2017,무사고,검정색,경기,6299,4WD
1096,벤츠,S-클래스,S500L,가솔린,107078,2015,무사고,검정색,경기,5880,2WD
1097,벤츠,S-클래스,마이바흐 S500,가솔린,78048,2015,무사고,검정색,경기,8399,2WD
1099,벤츠,E-클래스,E300e 4MATIC 익스클루시브,가솔린+전기,23538,2020,무사고,검정색,경기,6500,4WD
1101,벤츠,E-클래스,E300 4MATIC 아방가르드 인텔리전트 드라이브,가솔린,103512,2017,무사고,검정색,서울,3890,4WD
1105,벤츠,C-클래스,C220 블루텍 아방가르드,디젤,75781,2015,무사고,검정색,경기,2480,2WD
1108,벤츠,E-클래스,E300 익스클루시브,가솔린,99259,2019,무사고,검정색,부산,4690,2WD
1109,벤츠,C-클래스,AMG GLC43 4MATIC 쿠페,가솔린,35488,2019,무사고,검정색,부산,6950,4WD
1110,벤츠,S-클래스,S63 AMG 4MATIC,가솔린,189281,2015,무사고,검정색,경기,6000,4WD
1111,벤츠,S-클래스,S580L 4MATIC,가솔린,1246,2021,무사고,검정색,경기,20990,4WD
1114,벤츠,A-클래스 W177,AMG A35 4MATIC 세단,가솔린,2313,2021,무사고,검정색,서울,4850,4WD
1119,벤츠,S-클래스,S560L 4MATIC,가솔린,68976,2018,무사고,검정색,서울,9150,4WD
1120,벤츠,B-클래스 W245,B200,가솔린,82072,2008,무사고,검정색,경기,770,2WD
1123,벤츠,C-클래스,C200,가솔린,92737,2015,무사고,검정색,서울,2350,2WD
1124,벤츠,E-클래스,E300 4MATIC 익스클루시브,가솔린,11502,2020,무사고,검정색,서울,6350,4WD
1125,벤츠,E-클래스,E250 블루텍 4MATIC 아방가르드,디젤,78860,2016,무사고,검정색,광주,2890,4WD
1129,벤츠,S-클래스,S500L 4MATIC,가솔린,154106,2015,무사고,검정색,경기,4890,4WD
1131,벤츠,CLA-클래스,CLA220 AMG Line,가솔린,55149,2018,무사고,검정색,경기,2730,2WD
1132,벤츠,CLA-클래스,AMG CLA 45 S 4MATIC+,가솔린,9589,2020,무사고,검정색,경기,7600,4WD
1133,벤츠,S-클래스,S350L,가솔린,194060,2010,무사고,검정색,대구,1579,2WD
1134,벤츠,E-클래스,E63 AMG 4MATIC+,가솔린,14712,2019,무사고,검정색,광주,9220,4WD
1135,벤츠,S-클래스,마이바흐 S560 4MATIC,가솔린,65925,2018,무사고,검정색,서울,14580,4WD
1140,벤츠,C-클래스,C200 아방가르드,가솔린,6902,2020,무사고,검정색,서울,4340,2WD
1146,벤츠,S-클래스,S500L 4MATIC,가솔린,97760,2016,무사고,검정색,경기,6600,4WD
