,brand,name,type,km,year,accident,color,location,price,wd,trim
116,현대,아반떼,가솔린,101558,2012,무사고,검정색,충남,799,2WD,3.0
118,현대,쏘나타,가솔린,82889,2019,무사고,검정색,경기,1660,2WD,1.0
120,현대,그랜저,가솔린,58003,2018,무사고,검정색,경기,2250,2WD,2.0
121,현대,그랜저,LPG,35471,2019,무사고,검정색,경기,2550,2WD,3.0
122,현대,그랜저,가솔린,16143,2018,무사고,검정색,경기,9999,2WD,2.0
123,현대,제네시스,가솔린,156378,2015,무사고,검정색,경기,1950,AWD,2.0
124,현대,제네시스,가솔린,134121,2015,무사고,검정색,경기,2010,2WD,2.0
126,현대,그랜저,가솔린,93007,2018,무사고,검정색,전북,1999,2WD,3.0
127,현대,쏘나타,가솔린,56164,2019,무사고,검정색,광주,1720,2WD,1.0
128,현대,그랜저,가솔린,72892,2013,무사고,검정색,경기,1350,2WD,3.0
129,현대,쏘나타,가솔린,155425,2010,무사고,검정색,전북,490,2WD,4.0
130,현대,쏘나타,가솔린,33416,2018,무사고,검정색,인천,1790,2WD,1.0
132,현대,그랜저,가솔린,42736,2018,무사고,검정색,서울,2550,2WD,3.0
133,현대,그랜저,가솔린,72741,2017,무사고,검정색,경기,2100,2WD,3.0
134,현대,쏘나타,가솔린,40071,2019,무사고,검정색,경기,1850,2WD,1.0
137,현대,아반떼,하이브리드,5704,2021,무사고,검정색,경기,2650,2WD,1.0
138,현대,그랜저,가솔린,143205,2008,무사고,검정색,충남,290,2WD,2.0
139,현대,그랜저,가솔린,24490,2019,무사고,검정색,광주,2900,2WD,3.0
140,현대,그랜저,가솔린,92304,2015,무사고,검정색,경기,1330,2WD,1.0
141,현대,그랜저,LPG,81404,2019,무사고,검정색,전북,2039,2WD,1.0
145,현대,쏘나타,하이브리드,11535,2021,무사고,검정색,서울,2850,2WD,2.0
147,현대,제네시스,가솔린,54176,2014,무사고,검정색,서울,2299,2WD,2.0
149,현대,그랜저,하이브리드,135530,2018,무사고,검정색,대구,1890,2WD,2.0
151,현대,그랜저,하이브리드,57538,2018,무사고,검정색,경기,2900,2WD,3.0
152,현대,그랜저,가솔린,37382,2019,무사고,검정색,경기,2390,2WD,2.0
154,현대,그랜저,가솔린,96504,2018,무사고,검정색,대구,1799,2WD,1.0
159,현대,제네시스,가솔린,175974,2012,무사고,검정색,대구,970,2WD,2.0
164,현대,제네시스,가솔린,121235,2012,무사고,검정색,울산,1050,2WD,2.0
166,현대,그랜저,가솔린,90639,2013,무사고,검정색,전북,1199,2WD,1.0
168,현대,그랜저,가솔린,64716,2018,무사고,검정색,경기,1850,2WD,1.0
169,현대,그랜저,가솔린,126350,2015,무사고,검정색,대구,1399,2WD,3.0
171,현대,제네시스,가솔린,235280,2012,무사고,검정색,광주,690,2WD,2.0
174,현대,그랜저,가솔린,141998,2015,무사고,검정색,경기,1050,2WD,1.0
175,현대,그랜저,가솔린,131818,2018,무사고,검정색,충남,1850,2WD,2.0
176,현대,그랜저,하이브리드,246772,2016,무사고,검정색,인천,920,2WD,2.0
179,현대,투싼,하이브리드,2948,2021,무사고,검정색,경기,3770,2WD,4.0
184,현대,그랜저,가솔린,80867,2017,무사고,검정색,부산,2280,2WD,3.0
185,현대,그랜저,가솔린,34235,2018,무사고,검정색,부산,2440,2WD,3.0
189,현대,그랜저,가솔린,218496,2012,무사고,검정색,충남,650,2WD,2.0
191,현대,그랜저,가솔린,79652,2014,무사고,검정색,전북,1290,2WD,2.0
192,현대,쏘나타,가솔린,72737,2016,무사고,검정색,광주,1500,2WD,1.0
194,현대,그랜저,가솔린,118483,2015,무사고,검정색,대구,1260,2WD,3.0
195,현대,그랜저,가솔린,40291,2018,무사고,검정색,광주,2430,2WD,3.0
196,현대,그랜저,가솔린,155698,2012,무사고,검정색,서울,799,2WD,2.0
197,현대,쏘나타,가솔린,58509,2018,무사고,검정색,서울,1600,2WD,1.0
199,현대,그랜저,가솔린,30638,2019,무사고,검정색,광주,2950,2WD,3.0
