,info
하이브리드 (DN8) 2.0 하이브리드 프리미엄 패미리 ,14
CVVL 스마트,14
2.0 프리미엄,14
LPI 택시형,14
LPG HG300 렌터카 모던   ,14
DCT팩,14
디젤 1.6,14
가솔린 3.8 4WD프레스티지 (7인승),14
가솔린 2.0T 4WD인스퍼레이션,13
디젤 2.0 2WD프리미엄,13
디젤(e-VGT) 2.0 2WD 모던,13
LPI 프리미어(장애인용),13
터보 D 스펙,13
1.6 터보 4WD,13
G380 파이니스트 에디션 AWD,13
1.6 터보 디 스펙,13
 프라임 디젤 R2.0 2WD 5인승 스마트,13
익스클루시브스페셜,13
BH330 럭셔리기본형,13
2.0 스마트 초이스,13
2WD(2.0VGT) MLX,12
어반 9인승,12
LPI Q270 장애인용,12
G300 익스클루시브,12
1.6 T-GDi 스포츠 7 DCT  ,12
디젤 2WD X20,12
200 터보 S,12
11인승 왜건 HVX,12
N20 프리미어 블랙,12
200 터보 D,11
가솔린 3.3캘리그래피,11
3.8 수출형,11
TM 디젤 2.2 4WD 익스클루시브  ,11
1.6 GDi 스마트 스페셜   ,11
LPG HG300 모던    ,11
1.6 GDi 스마트기본형,11
1.6 GDI 익스트림,11
캘리그래피,11
 프라임 디젤 R2.0 4WD 5인승 익스클루시브,11
2WD(2.2VGT) MLX,11
2.4 스페셜,11
가솔린 2.0T 2WD인스퍼레이션,11
가솔린 3.3 4WD,11
1.6 VVT 럭셔리,11
1.6 e-VGT 스마트    ,11
LPI 프리미엄 스페셜,11
M16 GDI 탑,11
3.8 가솔린 8인승 프레스티지   ,11
HG330 셀러브리티,11
하이브리드 2.0 HEV 모던   ,11
HG300 익스클루시브 스페셜,10
디젤 1.6 모던 팝   ,10
디젤 1.6 VGT PYL,10
3.0 LPi,10
200 터보 R,10
BH380 럭셔리,10
 프라임 디젤 R2.0 2WD 5인승 1,10
G300 모던 스페셜,10
T-Gdi 2.0N 퍼포먼스패키지,10
디젤 2.0 2WD프레스티지,10
2.2 디젤 모던,10
3.0 LPI 택시형,10
