,info
9인승 터보엑시드,1
1.6 터보 윈터 스페셜,1
웨건 12인승스마트,1
2.0 VGT 디젤 2WD GOLD,1
1.6 VGT 텐밀리언 리미티드,1
9인승 2WD,1
프리미엄 초이스,1
2.0 GDi 프리미엄,1
3.0 LPi 장애인용프리미엄 스페셜,1
위트 1.6 GDI 탑,1
LPG 3.0 (일반인판매용)프리미엄 초이스,1
디젤(e-VGT) 2WD스마트 스페셜,1
1.6 디젤,1
1.6 터보 스포츠세부등급 없음,1
R25,1
1.7 VGTD 스펙,1
 프라임 디젤 R2.2 2WD 5인승 프리미엄,1
위트 1.6 GDI 프리미엄세부등급 없음,1
LPG N20 VTX,1
리무진2WD 익스클루시브 (6인승),1
디젤 2.0 VGT GOLD 9인승 최고급형 ,1
2.5 디젤 14인승 럭셔리   ,1
디젤 2WD LX20프리미어,1
1.6 VGT 텐밀리언 리미티드기본형,1
프리미엄 컬렉션,1
위트 1.4 VVT 스마트,1
1.6 플러그인 HEV,1
가솔린 1.6 터보 AWD프리미엄,1
2WD(2.0 e-VGT) MLX프리미어,1
CM 2WD(2.2 VGT) SLX 프리미어  ,1
12인승 LPi 왜건 CVX 디럭스  ,1
G380 프레스티지,1
L3.5 라운지 9인승,1
11인승 투어럭셔리,1
 브릴리언트 CVVL 모던   ,1
12인승 하이루프,1
가솔린 2WD LX20프리미어,1
2.0 플러그인 HEV,1
CVVL 그랜드,1
CVVL 탑,1
LPI Q270 모범형 팩1,1
디젤 1.6 2WD 플럭스,1
1.6 터보 마이 트립 에디션,1
3.8 가솔린 8인승 AWD 익스클루시브  ,1
5인승 밴모던,1
1.4 DOHC 프리미어,1
위트 디젤 1.6 VGT 프리미엄,1
1.6 터보스포츠,1
4WD(2.2VGT) SLX,1
수소(Fuel Cell) 2WD,1
1.8 수출형,1
위트 1.4 VVT 모던세부등급 없음,1
2.5 디젤 15인승 스탠다드   ,1
CVVL 프리미엄,1
Y20 프리미어고급형,1
2.5 V6,1
롱레인지,1
디젤 2.0 2WD스타일,1
가솔린 3.8 2WDVIP (7인승),1
TM 디젤 2.0 2WD 모던  ,1
디젤 2.2 2WD인스퍼레이션,1
디젤 1.7 2WD스타일,1
CVVL 프리미어,1
어린이보호차 디젤2WD 12인승,1
1.6 VVT E16 DELUXE   ,1
4WD 11인승 왜건,1
2.0 LPi(렌터카용)스타일,1
디젤엑시드 (롱보디)     ,1
 프라임 디젤 R2.0 2WD 7인승 익스클루시브,1
Y20 탑세부등급 없음,1
라운지 9인승,1
2.0 VGT 디젤 2WD GVS,1
디젤 2.2 4WD익스클루시브 (8인승),1
2.2 디젤 7인승 AWD VIP  ,1
2.0 VGT 디젤 2WD GOLD 최고급형 ,1
가솔린 메트로 2WD 워너비,1
N20 VGT Deluxe 기본형   ,1
디젤 2WD LX20 모던   ,1
4WD 장축 슈퍼캡슈퍼,1
가솔린 3.3프리미엄 초이스,1
4WD 리무진,1
1.4 DOHC 디럭스,1
2WD EX290,1
디젤(e-VGT) 2.0 4WD 익스클루시브스페셜,1
디젤(VGT) N20 럭셔리,1
2WD JX290,1
지프 인터쿨러슈퍼엑시드,1
LPG N20 GTX,1
2.0 디젤 2WD MXL   ,1
 프라임 가솔린 2.0T 2WD 5인승 밸류플러스,1
2.0 HEV스마트,1
2WD(2.2 e-VGT) MLX,1
L330 럭셔리,1
2.5 디젤 16인승 디럭스   ,1
가솔린 1.6 터보 (N라인)인스퍼레이션,1
아제라(수출형),1
활어운반차세부등급없음,1
2.0 가솔린모던,1
가솔린 3.8 2WD캘리그래피 (7인승),1
디젤(e-VGT)2.2 4WD 익스클루시브 6인승 스페셜  ,1
CM 2WD(2.0 VGT) MLX 디럭스  ,1
(PD) 디젤 1.6 스마트   ,1
CM 2WD(2.0 VGT) CLX 기본형  ,1
디젤 2.0 CRDi GLS 9인승 고급형 ,1
1.6 VVT 님프,1
Y20 스포츠,1
2WD(2.0 e-VGT) MLX디럭스,1
가솔린 2WD X20워너비,1
1.5 VVT DELUXE 기본형   ,1
디젤 2.2 투어러 4WD11인승 모던,1
디젤 4WD X20,1
2.2 디젤 7인승 AWD 캘리그래피  ,1
가솔린 터보 1.6 2WD모던,1
가솔린 1.6 터보 2WD인스퍼레이션,1
디젤 2.2 4WDVIP (7인승),1
터보 GDI 프리미엄,1
11인승 왜건 프리미엄 레저팩,1
2.0 LPi(장애인용)프리미엄,1
디젤 2.0 4WD밸류 플러스,1
2.0 디젤 2WD GOLD 기본형  ,1
4WD 리무진 ,1
CM 2WD(2.2 VGT) MLX 기본형  ,1
4WD 11인승 왜건 HVX,1
1.7 VGT유니크,1
2.2 디젤 프리미엄스페셜,1
VS380익스클루시브,1
2.2 디젤 프리미엄세부등급 없음,1
디젤 2.0 2WD모던 스페셜,1
 프라임 디젤 R2.0 4WD 7인승 익스클루시브,1
가솔린 터보 2.0,1
LPi 디럭스     ,1
1.6 VVT E16,1
VS500프레스티지,1
가솔린 4WD 380X,1
LPG HG300 이그젝큐티브,1
2.0 LPi스마트,1
가솔린 2WD X20 워너비   ,1
하이브리드 2.0 HEV 스마트   ,1
CVVL 럭셔리     ,1
2.0 CVVT 프리미엄,1
7인승 LPG V6 엑시드,1
5인승 LPi 밴 CVX 스마트  ,1
CVVL 프리미어     ,1
LPI M16 스타일,1
2.0 VGT 디젤 2WD MXL 고급형 ,1
Saloon 1.7 VGT SMART   ,1
LPI M16 모던,1
HG220 디젤 프리미엄 컬렉션   ,1
디젤 2.2 4WD익스클루시브 스페셜,1
JL350 리무진,1
CM 2WD(2.2 VGT) MLX 럭셔리  ,1
가솔린 1.4 DOHC 디럭스,1
위트 1.4 VVT Premier   ,1
(PD) 디젤 1.6 모던   ,1
디젤 2.2 투어러 2WD11인승 모던,1
 프라임 가솔린 2.0T 4WD 5인승 밸류플러스,1
TM 디젤 2.0 4WD 인스퍼레이션  ,1
14인승,1
2.0 프리미엄스페셜,1
디젤 2.0 VGT GOLD 9인승 고급형 ,1
디젤 2.0 4WD인스퍼레이션,1
BH330 모던기본형,1
가솔린 2.5 2WD프레스티지,1
CM 2WD(2.2 VGT) MLX 최고급형  ,1
CVVL 프라임     ,1
TM 디젤 2.0 4WD 프리미엄  ,1
가솔린 3.8 2WD프레스티지 (8인승),1
Q270 24주년 스페셜 에디션럭셔리 II,1
Q270 24주년 스페셜 에디션럭셔리 I,1
가솔린 메트로 2WD 밀리언스페셜,1
1.6 VGT 모던기본형,1
1.7 VGT SMART    ,1
