,brand,km,name,type,price,year,info,location
0,지프,65457.0,랭글러 (JK),디젤,2130.0,2009,2.8 디젤 루비콘 2도어,서울
1,폭스바겐,102367.0,골프 7세대,디젤,930.0,2015,1.6 TDI,경기
2,지프,49331.0,레니게이드,가솔린,1820.0,2016,2.4 론지튜드,광주
3,지프,114027.0,컴패스,가솔린,980.0,2014,2.4 리미티드,경기
4,캐딜락,103414.0,ATS,가솔린,1090.0,2013,2.0 프리미엄,경기
5,폭스바겐,67400.0,더 비틀,디젤,1450.0,2013,2.0 TDI,경기
6,BMW,12983.0,3시리즈 (G20),디젤,4030.0,2019,320d 럭셔리,경기
7,아우디,46578.0,Q3,디젤,2699.0,2015,35 TDI 콰트로 디자인라인,대구
8,렉서스,99313.0,뉴 GS250,가솔린,1800.0,2013,슈프림,대구
9,미니,127054.0,쿠퍼 S 컨버터블,가솔린,1200.0,2010,기본형,경기
10,미니,103917.0,쿠퍼 S,가솔린,999.0,2010,기본형,경기
11,BMW,7208.0,M8 (G15),가솔린,17100.0,2020,M8 그란쿠페 컴페티션,경기
12,폭스바겐,179878.0,골프 7세대,가솔린,1600.0,2015,2.0 GTI,경기
13,포르쉐,55065.0,카이맨,가솔린,6200.0,2014,S 3.4,경기
14,미니,72972.0,쿠퍼 D 컨트리맨,디젤,1720.0,2016,ALL4,부산
15,지프,42127.0,랭글러 (JK),가솔린,2530.0,2015,3.6 스포츠 2도어,인천
16,폭스바겐,115502.0,뉴 비틀,가솔린,450.0,2007,DELUXE 2.0,경기
17,미니,55557.0,쿠퍼,가솔린,1720.0,2017,기본형,경기
18,지프,8129.0,글래디에이터 (JT),가솔린,5990.0,2020,3.6 루비콘,경기
19,포드,90246.0,머스탱,가솔린,3700.0,2016,GT 컨버터블,경기
20,포드,58017.0,머스탱,가솔린,3650.0,2017,컨버터블,대구
21,미니,39376.0,쿠퍼 D 클럽맨,디젤,1890.0,2016,기본형,경기
22,미니,122784.0,쿠퍼 S 컨버터블,가솔린,1490.0,2013,기본형,경기
23,폭스바겐,122612.0,골프 6세대,디젤,730.0,2013,2.0 TDI 스타일에디션,경기
24,BMW,67812.0,1시리즈 (F20),디젤,1510.0,2016,118d 스포츠 5도어,인천
25,미니,41717.0,쿠퍼,가솔린,2099.0,2016,5도어 HIGH,경기
26,벤츠,20815.0,뉴 SLK-클래스,가솔린,3750.0,2016,350 블루이피션시,서울
27,미니,1905.0,쿠퍼 S,가솔린,3950.0,2021,JCW,서울
28,BMW,14497.0,X4 (G02),디젤,5690.0,2020,xDrive20d xLine,서울
29,미니,68895.0,쿠퍼,가솔린,1970.0,2016,HIGH,서울
30,지프,84599.0,랭글러 (JK),디젤,1899.0,2008,2.8 디젤 루비콘 4도어,경기
31,미니,68665.0,쿠퍼 S,가솔린,2370.0,2017,5도어 기본형,대구
32,BMW,28924.0,Z4 (G29),가솔린,5390.0,2019,sDrive20i 스포츠,대구
33,포르쉐,25409.0,718 박스터,가솔린,12150.0,2019,2.5 GTS,대구
34,포르쉐,14603.0,718 박스터,가솔린,11200.0,2018,S 2.5,경기
35,포르쉐,101232.0,911,가솔린,8800.0,2013,카레라 4 카브리올레,서울
36,재규어,82999.0,F-TYPE,가솔린,5079.0,2017,3.0 S 쿠페,경기
37,벤츠,37026.0,AMG GT,가솔린,10170.0,2016,4.0,경기
38,미니,59763.0,쿠퍼 D 컨트리맨,디젤,1799.0,2016,ALL4,충남
39,스즈키,125774.0,허슬러,가솔린,1190.0,2015,0.6,경기
40,BMW,51564.0,1시리즈 (F20),디젤,1749.0,2017,118d 스포츠 5도어,경기
41,미니,3128.0,쿠퍼,가솔린,3320.0,2021,5도어 HIGH,서울
42,미니,76945.0,쿠퍼 컨버터블,가솔린,1580.0,2014,기본형,경기
43,BMW,4691.0,Z4 (G29),가솔린,6190.0,2020,sDrive20i 스포츠,경기
44,포르쉐,40375.0,911,가솔린,10500.0,2013,카레라 4 카브리올레,인천
45,벤츠,122419.0,E-클래스 W212,가솔린,2590.0,2014,E200 카브리올레,경기
46,포드,91294.0,머스탱,가솔린,2499.0,2016,쿠페,경기
47,포르쉐,29540.0,911,가솔린,13900.0,2014,터보 S,서울
48,BMW,25587.0,X4 (G02),디젤,5999.0,2020,xDrive20d M 스포츠,서울
49,미니,27691.0,쿠퍼,가솔린,2290.0,2018,5도어 기본형,경기
50,폭스바겐,63818.0,골프 7세대,가솔린,2250.0,2015,2.0 GTI,경기
51,미니,4191.0,쿠퍼,가솔린,3050.0,2020,5도어 HIGH,서울
52,미니,126969.0,쿠퍼 S,가솔린,690.0,2009,기본형,경기
53,포르쉐,64018.0,박스터,가솔린,6090.0,2014,2.7,경기
54,도요타,30528.0,캠리 (XV70),가솔린+전기,2830.0,2018,2.5 XLE 하이브리드,경기
55,지프,35015.0,랭글러 (JL),가솔린,4590.0,2018,2.0 사하라 4도어,경기
56,미니,87344.0,쿠퍼 D 페이스맨,디젤,1390.0,2013,기본형,광주
57,렉서스,1131.0,LC,가솔린,13090.0,2020,LC500 스포츠+,서울
58,지프,45457.0,컴패스 2세대,가솔린,2550.0,2019,2.4 리미티드,경기
