,brand,km,name,type,price,year,info,location
0,미니,13208.0,쿠퍼 S,가솔린,9999.0,2012,기본형,충남
1,미니,75239.0,쿠퍼,가솔린,2290.0,2017,HIGH,대구
2,지프,11091.0,랭글러 (JL),가솔린,5750.0,2020,2.0 루비콘 하이 4도어,경기
3,미니,86316.0,쿠퍼 컨버터블,가솔린,2000.0,2018,기본형,경기
4,미니,34124.0,쿠퍼 S,가솔린,3190.0,2019,JCW,경기
5,지프,79416.0,레니게이드,디젤,1910.0,2016,2.0 디젤 론지튜드 AWD,경기
6,미니,54239.0,쿠퍼 D 컨트리맨,디젤,2790.0,2018,ALL4,경기
7,벤츠,16453.0,E-클래스 W213,디젤,4780.0,2018,E220d 익스클루시브,부산
8,미니,52112.0,쿠퍼 컨버터블,가솔린,2350.0,2018,기본형,경기
9,포드,52285.0,머스탱,가솔린,3200.0,2015,GT 쿠페,경기
