,brand,km,name,type,price,year,info,location
0,포드,42238.0,머스탱,가솔린,3490.0,2018,쿠페,서울
1,BMW,17206.0,M2 (F87),가솔린,5350.0,2019,M2 컴패티션,광주
2,미니,9908.0,쿠퍼,가솔린,2890.0,2019,5도어 HIGH,경기
3,BMW,72506.0,Z4 (E89),가솔린,3550.0,2014,sDrive 35iS,서울
4,미니,11056.0,쿠퍼 S,가솔린,3150.0,2019,5도어 기본형,부산
5,시트로엥,15563.0,C3 에어크로스,디젤,1870.0,2019,1.5 BlueHDi 샤인,부산
6,맥라렌,18732.0,570S,가솔린,20500.0,2019,3.8 쿠페,인천
7,폭스바겐,125409.0,골프 7세대,디젤,950.0,2014,2.0 TDI,경기
8,미니,59244.0,쿠퍼,가솔린,2449.0,2019,5도어 HIGH,경기
9,렉서스,25144.0,UX250h,가솔린+전기,3890.0,2019,2.0 AWD,부산
10,BMW,9368.0,8시리즈 (G15),가솔린,10500.0,2020,840i xDrive M 스포츠 그란쿠페,서울
11,지프,20856.0,레니게이드,가솔린,2600.0,2019,2.4 리미티드,광주
12,미니,6485.0,쿠퍼,가솔린,3097.0,2020,5도어 HIGH,서울
13,BMW,64990.0,3시리즈 (F30),가솔린,3380.0,2018,330i M 스포츠 쉐도우,경기
14,지프,14067.0,레니게이드,가솔린,2750.0,2019,2.4 리미티드,대전
15,지프,26166.0,레니게이드,가솔린,2099.0,2018,2.4 론지튜드,경기
16,포르쉐,40486.0,718 박스터,가솔린,8044.0,2018,2.0,광주
17,미니,9270.0,쿠퍼,가솔린,2977.0,2020,HIGH,경기
18,랜드로버,167667.0,프리랜더2,디젤,690.0,2007,2.2 TD4 HSE,경남
19,아우디,27130.0,R8 (4S),가솔린,16500.0,2017,5.2 V10 플러스 쿠페,대구
20,지프,31395.0,랭글러 (JL),가솔린,5890.0,2019,2.0 루비콘 하이 4도어,경기
21,BMW,14740.0,8시리즈 (G15),가솔린,10600.0,2021,840i xDrive M 스포츠 그란쿠페,서울
22,미니,13674.0,쿠퍼 클럽맨,가솔린,3230.0,2020,High,대전
23,미니,45134.0,쿠퍼 클럽맨,가솔린,2590.0,2019,기본형,대구
24,BMW,60594.0,i3,전기,1990.0,2016,솔+,경기
25,미니,40882.0,쿠퍼 S,가솔린,2820.0,2019,5도어 기본형,경기
26,맥라렌,18339.0,650S,가솔린,18500.0,2015,3.8 스파이더,서울
27,랜드로버,40232.0,레인지로버 이보크,디젤,3880.0,2017,2.0 TD4 HSE 다이나믹,서울
28,푸조,73082.0,3008 2세대,디젤,2030.0,2018,1.6 BlueHDi 알뤼르,경기
29,미니,38794.0,쿠퍼 D 컨트리맨,디젤,2490.0,2017,기본형,부산
30,랜드로버,246289.0,프리랜더2,디젤,499.0,2007,2.2 TD4 HSE,경기
31,미니,40894.0,쿠퍼,가솔린,2300.0,2019,기본형,경기
32,미니,33215.0,쿠퍼,가솔린,2500.0,2019,HIGH,경기
33,도요타,48278.0,프리우스 C,가솔린+전기,1490.0,2018,1.5,경기
34,도요타,105860.0,86,가솔린,1750.0,2013,2.0,경기
35,람보르기니,42697.0,가야르도,가솔린,14800.0,2011,LP570-4 슈퍼레제라,서울
36,폭스바겐,47758.0,폴로,디젤,900.0,2013,1.6 TDI R-Line,경기
37,미니,82468.0,쿠퍼 S 컨버터블,가솔린,1620.0,2012,기본형,경기
38,도요타,3772.0,수프라 5세대,가솔린,8500.0,2020,GR 3.0,광주
