,brand,km,name,type,price,year,info,location
0,아우디,55237.0,뉴 A6,디젤,3199.0,2018,35 TDI 프리미엄,경기
1,재규어,149223.0,All New XJ,디젤,2199.0,2013,3.0D 프리미엄 럭셔리 LWB,경기
2,아우디,11765.0,A8 (D5),디젤,9550.0,2020,50 TDI 콰트로,인천
3,미니,68953.0,쿠퍼 S,가솔린,2090.0,2015,5도어 기본형,인천
4,볼보,19951.0,S90,디젤,4120.0,2019,D5 AWD 모멘텀,서울
5,볼보,73378.0,XC90 2세대,가솔린,6590.0,2017,T6 인스크립션,충북
6,폭스바겐,225319.0,EOS,가솔린,530.0,2008,2.0 TFSI,부산
7,재규어,130604.0,New XJ,가솔린,1450.0,2004,3.0 V6,서울
8,크라이슬러,197045.0,세브링,가솔린,250.0,2003,2.7 Convertible,경기
9,닛산,134139.0,큐브,가솔린,410.0,2003,1.4,경기
10,애스턴마틴,36460.0,V8 Vantage,가솔린,10500.0,2016,4.7S V8 로드스터,서울
11,벤츠,130358.0,R-클래스,가솔린,1150.0,2006,R350 4MATIC,경기
12,볼보,160740.0,S80,가솔린,1050.0,2007,4.4 AWD,부산
13,BMW,45292.0,5시리즈 (G30),가솔린,5250.0,2019,530i xDrive M 스포츠 플러스,부산
14,피아트,57330.0,500,가솔린,1150.0,2015,1.4 컬러,인천
