,brand,km,name,type,price,year,info,location
0,인피니티,74880.0,Q50,가솔린+전기,1880.0,2016,3.5 하이브리드 에센스,경기
1,BMW,48173.0,5시리즈 GT (F07),디젤,2480.0,2013,GT ED Edition,서울
2,시트로엥,66909.0,DS3,가솔린,950.0,2013,1.6 VTI 소 시크,경기
3,재규어,157732.0,All New XJ,가솔린,1790.0,2012,5.0 포트폴리오 LWB,광주
4,애스턴마틴,2712.0,밴티지 2세대,가솔린,18800.0,2019,4.0 V8 쿠페,경기
5,BMW,47894.0,5시리즈 (G30),가솔린,4130.0,2017,530i xDrive M 스포츠 플러스,경기
6,미니,64701.0,쿠퍼 S,가솔린,1349.0,2013,기본형,경기
7,피아트,94064.0,500,가솔린,740.0,2013,1.4 라운지,경기
8,시트로엥,67888.0,그랜드 C4 피카소,디젤,1650.0,2016,1.6 B-HDI 인텐시브,경기
9,미니,62311.0,쿠퍼,가솔린,1150.0,2013,SE,전북
10,미니,86440.0,쿠퍼 D,디젤,990.0,2013,SE,경기
11,피아트,83875.0,500C,가솔린,1390.0,2015,1.4,경기
12,혼다,84385.0,N-ONE,가솔린,820.0,2014,0.6 2WD,경기
13,미니,40624.0,쿠퍼 D,디젤,1790.0,2016,5도어 Mid,경기
14,BMW,46422.0,M3 (F80),가솔린,4530.0,2015,M3 세단,경기
15,볼보,57278.0,S90,디젤,4290.0,2018,D5 AWD 인스크립션,경기
16,크라이슬러,150280.0,크로스파이어,가솔린,730.0,2006,쿠페 3.2,광주
17,폭스바겐,60109.0,골프 6세대,가솔린,950.0,2012,1.4 TSI,경기
18,미니,50312.0,쿠퍼,가솔린,1270.0,2013,오리지널,서울
19,미니,37504.0,쿠퍼 S,가솔린,2230.0,2015,5도어 기본형,대구
20,벤츠,70207.0,C-클래스 W205,가솔린,7180.0,2017,C63 AMG 카브레올레,경기
21,볼보,103588.0,S90,가솔린,4100.0,2019,T5 인스크립션,서울
22,미니,19599.0,쿠퍼 S,가솔린,4280.0,2019,JCW 딜레이니 에디션,서울
23,미니,181743.0,쿠퍼 S,가솔린,605.0,2008,기본형,광주
24,미니,83486.0,쿠퍼 D,디젤,1090.0,2013,SE,경기
25,미니,42013.0,쿠퍼,가솔린,2475.0,2018,5도어 HIGH,경기
26,미니,89801.0,쿠퍼 D,디젤,1190.0,2015,기본형,서울
27,미니,73622.0,쿠퍼 D,디젤,1690.0,2017,기본형,경기
28,BMW,32573.0,M3 (F80),가솔린,7100.0,2018,M3 세단 컴패티션,충남
29,미니,110018.0,쿠퍼 SD,디젤,1200.0,2013,기본형,인천
30,볼보,103749.0,S90,가솔린,3730.0,2017,T5 인스크립션,서울
31,시트로엥,58043.0,C4 칵투스,디젤,1340.0,2017,1.6 BlueHDi 샤인,경기
32,포르쉐,27582.0,911,가솔린,15500.0,2018,카레라 4 GTS 카브리올레,서울
33,페라리,11752.0,488 스파이더,가솔린,33900.0,2018,3.9,서울
34,미니,28893.0,쿠퍼,가솔린,1850.0,2015,5도어 기본형,경기
35,BMW,59572.0,3시리즈 (F30),디젤,2790.0,2017,320d M 스포츠,서울
36,볼보,85358.0,V40,디젤,1150.0,2015,D2,경기
37,페라리,55600.0,캘리포니아,가솔린,15799.0,2015,T 3.9 V8,경기
38,폭스바겐,68629.0,골프 6세대,디젤,740.0,2012,1.6 TDI 블루모션,부산
39,미니,91484.0,쿠퍼 D,디젤,890.0,2013,SE,경기
40,미니,45408.0,쿠퍼,가솔린,1799.0,2017,기본형,서울
41,미니,27037.0,쿠퍼,가솔린,1650.0,2015,5도어 기본형,경기
42,인피니티,19167.0,Q50,가솔린+전기,2290.0,2016,3.5 하이브리드 에센스,경기
43,미니,48922.0,쿠퍼 D,디젤,1980.0,2016,5도어 Mid,서울
44,시트로엥,111405.0,그랜드 C4 피카소,디젤,1590.0,2015,2.0 B-HDI 인텐시브 플러스,경기
45,미니,24142.0,쿠퍼 S,가솔린,4100.0,2019,JCW 딜레이니 에디션,경기
46,인피니티,143799.0,Q50,디젤,1050.0,2016,2.2d 프리미엄,경기
47,볼보,83635.0,V40,디젤,1370.0,2014,D4,충남
48,볼보,85437.0,V40,디젤,1520.0,2016,D3,충남
49,스마트,56505.0,포투 쿠페,가솔린,1070.0,2013,쿠페,서울
50,BMW,46826.0,8시리즈 (G15),디젤,9500.0,2020,840d xDrive M 스포츠 퍼스트 에디션 그란쿠페,대전
51,람보르기니,8978.0,아벤타도르,가솔린,44000.0,2017,S LP740-4,서울
52,페라리,100439.0,캘리포니아,가솔린,9900.0,2013,30 4.3 V8,서울
53,벤츠,23518.0,SL-클래스,가솔린,7000.0,2004,SL600,서울
54,인피니티,94258.0,Q50,디젤,1680.0,2016,2.2d 프리미엄,서울
55,벤츠,82440.0,C-클래스 W205,디젤,2730.0,2016,C220 d 아방가르드,광주
56,재규어,113451.0,New XF,가솔린,9999.0,2013,2.0 럭셔리,광주
57,피아트,63907.0,500,가솔린,1250.0,2015,1.4,인천
58,포르쉐,23878.0,911,가솔린,19000.0,2018,터보 S,경기
59,재규어,32772.0,F-TYPE,가솔린,7850.0,2019,P380 R-다이나믹 컨버터블,서울
60,미니,5021.0,쿠퍼,가솔린,2850.0,2019,5도어 HIGH,경기
61,폭스바겐,148399.0,골프 6세대,디젤,450.0,2010,2.0 TDI,경기
