,brand,km,name,type,price,year,info,location
0,미니,119782.0,쿠퍼 D,디젤,830.0,2013,기본형,부산
1,미니,147363.0,쿠퍼 D,디젤,750.0,2012,기본형,경기
2,지프,230674.0,그랜드 체로키,디젤,1650.0,2014,3.0 디젤 오버랜드,울산
3,볼보,131025.0,940,가솔린,480.0,1996,2.3 터보,경기
4,미니,52255.0,쿠퍼 D,디젤,9999.0,2016,5도어 Mid,경기
5,미니,143026.0,쿠퍼 D,디젤,1150.0,2015,5도어 기본형,경기
6,재규어,18444.0,F-TYPE,가솔린,6790.0,2016,3.0 S 컨버터블 AWD,서울
7,미니,67839.0,쿠퍼 S 컨버터블,가솔린,2000.0,2015,기본형,경기
8,미니,4277.0,쿠퍼 S 컨버터블,가솔린,4090.0,2020,기본형,경기
9,재규어,201327.0,XJ-8,가솔린,2190.0,2004,4.2,서울
10,벤츠,34057.0,C-클래스 W205,디젤,4050.0,2019,C220 d 4MATIC AMG Line,경기
11,랜드로버,146293.0,레인지로버,가솔린,2090.0,1996,4.0 SE,서울
12,미니,94862.0,쿠퍼 SD 컨트리맨,디젤,2980.0,2018,ALL4,대구
13,미쯔오까,25954.0,뷰트,가솔린,2500.0,2006,1.2,서울
14,미니,87669.0,쿠퍼 D 컨트리맨,디젤,1270.0,2012,기본형,경기
15,미니,42230.0,쿠퍼 D 컨트리맨,디젤,1890.0,2016,ALL4,경기
16,재규어,147806.0,XF,디젤,700.0,2010,3.0D 럭셔리,경기
17,미니,20484.0,쿠퍼,가솔린,1950.0,2016,5도어 기본형,서울
18,미니,32242.0,쿠퍼 S,가솔린,2970.0,2018,JCW,경기
19,지프,127980.0,랭글러 (JK),디젤,2650.0,2013,2.8 디젤 사하라 4도어,경기
20,미니,42518.0,쿠퍼 클럽맨,가솔린,2090.0,2016,High,경기
21,포드,56315.0,머스탱,가솔린,3149.0,2015,GT 쿠페,경기
22,미니,65656.0,쿠퍼 D,디젤,1790.0,2016,HIGH,경기
23,미니,68120.0,쿠퍼 S,가솔린,2050.0,2014,기본형,대전
24,미니,4665.0,쿠퍼,가솔린,2700.0,2019,5도어 기본형,경기
25,미니,25329.0,쿠퍼 S 컨트리맨,가솔린,3820.0,2019,JCW,경기
26,미니,19028.0,쿠퍼 S,가솔린,3890.0,2020,JCW,경기
27,미니,6431.0,쿠퍼 S 클럽맨,가솔린,3730.0,2020,기본형,부산
28,미니,96570.0,쿠퍼 S,가솔린,2150.0,2017,기본형,경기
29,미니,41492.0,쿠퍼 클럽맨,가솔린,3333.0,2018,High,서울
30,미니,27794.0,쿠퍼,가솔린,2590.0,2019,HIGH,서울
31,지프,75494.0,레니게이드,디젤,1990.0,2017,2.0 디젤 론지튜드 AWD,부산
32,아우디,69126.0,A5,가솔린,2799.0,2014,2.0 TFSI 콰트로 카브리올레,부산
33,포드,54793.0,익스플로러,가솔린,2700.0,2016,2.3 리미티드 4WD,경기
34,미니,78297.0,쿠퍼 SD 컨트리맨,디젤,1790.0,2015,ALL4,경기
35,미니,52545.0,쿠퍼 D,디젤,2250.0,2018,HIGH,서울
36,크라이슬러,232551.0,300C,가솔린,230.0,2007,3.5,경기
37,미니,136921.0,쿠퍼 D 클럽맨,디젤,1610.0,2016,기본형,경기
38,랜드로버,127594.0,프리랜더2,디젤,1240.0,2011,2.2 SD4 HSE,경기
39,마세라티,68862.0,콰트로포르테,가솔린,5300.0,2013,S 4.7 V8 스포츠 GT,서울
40,지프,118568.0,그랜드 체로키,디젤,1399.0,2011,3.0 디젤 라레도,경기
