,brand,km,name,type,price,year,info,location
0,렉서스,14191.0,ES300h 7세대,가솔린+전기,5450.0,2020,이그제큐티브,서울
1,렉서스,98722.0,뉴 ES300h,가솔린+전기,2699.0,2016,슈프림,경기
2,쉐보레,137747.0,익스프레스밴,가솔린,1330.0,2005,5.3,경기
3,푸조,32628.0,2008,디젤,1150.0,2016,1.6 BlueHDi 펠린,경기
4,폭스바겐,230960.0,CC,디젤,450.0,2010,2.0 TDI,경기
5,랜드로버,30257.0,디스커버리 스포츠,디젤,3150.0,2016,2.0 TD4 HSE 럭셔리,경기
6,랜드로버,97333.0,레인지로버 벨라,디젤,5800.0,2018,2.0 D240 R-다이나믹 SE,서울
7,렉서스,93614.0,뉴 ES300h,가솔린+전기,3130.0,2017,슈프림,서울
8,쉐보레,57700.0,익스프레스밴,가솔린,2730.0,2010,5.3,경기
9,렉서스,31448.0,CT200h,가솔린+전기,2750.0,2018,1.8 슈프림,경기
10,랜드로버,262221.0,디스커버리 4,디젤,1600.0,2010,2.7 TDV6 SE,경기
11,도요타,57413.0,시에나,가솔린,2400.0,2015,3.5 AWD,경기
12,아우디,68038.0,뉴 A6,디젤,2890.0,2016,40 TDI 콰트로 프리미엄,대구
13,BMW,84221.0,6시리즈 GT (G32),가솔린,5480.0,2018,640i xDrive 럭셔리,서울
14,쉐보레,111877.0,익스프레스밴,가솔린,2350.0,2011,5.3,경기
15,재규어,93537.0,XF (X260),디젤,2110.0,2017,20d 포트폴리오,경기
16,렉서스,29036.0,뉴 ES300h,가솔린+전기,3490.0,2016,슈프림,서울
17,랜드로버,40203.0,레인지로버 4세대,디젤,13580.0,2019,4.4 SDV8 Vogue SE 디젤,경기
18,BMW,18870.0,X1 (F48),가솔린,3899.0,2021,xDrive 20i xLine,경기
19,폭스바겐,77193.0,더 뉴 파사트,가솔린,1010.0,2015,1.8 TSI 스포츠,경기
20,험머,52999.0,H2,가솔린,3600.0,2007,6.0,전북
21,아우디,6023.0,Q3 (F3),디젤,73.0,2020,35 TDI,대구
22,볼보,92028.0,S80,디젤,950.0,2012,D3,경기
23,벤틀리,60151.0,플라잉스퍼 1세대,가솔린,6180.0,2012,6.0,서울
24,BMW,38712.0,2시리즈 액티브 투어러 (F45),디젤,1830.0,2016,조이,서울
25,BMW,65137.0,X6 (F16),디젤,4980.0,2016,xDrive 30d,경기
26,지프,127221.0,랭글러 (YJ),가솔린,3500.0,1992,4.0,경기
27,렉서스,101729.0,RX450h 4세대,가솔린+전기,4840.0,2018,이그제큐티브,서울
28,애스턴마틴,5441.0,DB11,가솔린,25200.0,2020,4.0 V8 볼란테,경기
29,험머,144374.0,H3,가솔린,3000.0,2007,3.7,서울
30,마세라티,56512.0,기블리,가솔린,4350.0,2014,3.0S Q4,경기
31,랜드로버,160953.0,레인지로버 4세대,디젤,5770.0,2015,4.4 SDV8 Vogue SE 디젤,부산
32,BMW,50912.0,2시리즈 액티브 투어러 (F45),디젤,1850.0,2016,조이,부산
33,렉서스,59843.0,뉴 ES300h,가솔린+전기,3090.0,2016,슈프림,대구
34,렉서스,30953.0,ES300h 7세대,가솔린+전기,4950.0,2019,이그제큐티브,경기
35,벤츠,130327.0,E-클래스 W210,가솔린,499.0,1996,E230,부산
36,지프,97643.0,그랜드 체로키,디젤,2590.0,2014,3.0 디젤 오버랜드서밋,경기
37,BMW,121622.0,X3 (F25),디젤,1790.0,2013,xDrive 20d 하이,인천
38,벤틀리,71160.0,뮬산,가솔린,15890.0,2013,6.8,광주
39,푸조,51312.0,2008,디젤,1050.0,2016,1.6 BlueHDi 악티브,서울
