,brand,km,name,type,price,year,info,location
0,벤츠,128946.0,S-클래스 W222,디젤,4850.0,2015,S350 블루텍 4MATIC,서울
1,BMW,101172.0,5시리즈 (G30),디젤,3390.0,2017,520d xDrive M 스포츠 플러스,광주
2,벤츠,43641.0,C-클래스 W205,디젤,2550.0,2016,C200 d,경기
3,인피니티,120865.0,Q50,디젤,1198.0,2015,2.2d 프리미엄,충남
4,BMW,147227.0,5시리즈 GT (F07),가솔린,2870.0,2016,GT xDrive,경기
5,폭스바겐,134854.0,골프 7세대,디젤,1490.0,2016,2.0 GTD 익스트림 에디션,인천
6,랜드로버,82107.0,레인지로버 이보크,디젤,2730.0,2016,2.0 TD4 SE,대구
7,지프,28391.0,컴패스 2세대,가솔린,2299.0,2018,2.4 론지튜드,인천
8,BMW,43134.0,X7 (G07),디젤,9930.0,2019,xDrive 30d 디자인 퓨어 엑셀런스 7인승,광주
9,폭스바겐,7355.0,제타 7세대,가솔린,2680.0,2020,1.4 TSI 프레스티지,경기
10,BMW,22564.0,5시리즈 (G30),디젤,4370.0,2017,520d M 스포츠 플러스,경기
11,닛산,18437.0,쥬크,가솔린,1490.0,2016,1.6 SV,서울
12,미니,9892.0,쿠퍼 S,가솔린,4660.0,2021,JCW GP 인스파이어드 에디션,경기
13,벤츠,167805.0,S-클래스 W221,가솔린,1870.0,2010,S500L,울산
14,폭스바겐,20041.0,티구안 올스페이스,디젤,3770.0,2020,2.0 TDI 프레스티지,경기
15,닛산,191778.0,로그,가솔린,300.0,2010,2WD,경기
16,폭스바겐,51937.0,더 뉴 파사트,디젤,1390.0,2014,2.0 TDI,서울
17,BMW,49697.0,5시리즈 (G30),디젤,4090.0,2017,520d M 스포츠 플러스,서울
18,BMW,28220.0,X3 (G01),디젤,6080.0,2020,xDrive 20d M 스포츠,서울
19,BMW,12918.0,3시리즈 (G20),디젤,4020.0,2019,320d,서울
20,BMW,161935.0,5시리즈 (F10),디젤,1799.0,2014,520d xDrive 럭셔리,전북
21,벤츠,15938.0,E-클래스 W213,가솔린,4550.0,2017,E300 아방가르드,서울
22,BMW,40354.0,5시리즈 (G30),디젤,3950.0,2018,520d M 스포츠,서울
23,BMW,56907.0,5시리즈 GT (F07),디젤,3199.0,2015,GT ED Edition,서울
24,벤츠,88120.0,GLC-클래스 X253,가솔린+전기,4777.0,2019,GLC350e 4MATIC 프리미엄,경기
25,랜드로버,80060.0,디스커버리 스포츠,디젤,2550.0,2016,2.0 TD4 HSE 럭셔리,경기
26,볼보,91712.0,S80,디젤,1380.0,2015,D2,경기
27,벤츠,133186.0,B-클래스 W246,디젤,1180.0,2013,B200 CDI 블루이피션시 스포츠팩,경기
28,벤츠,161319.0,GLA-클래스 X156,디젤,1530.0,2015,GLA200 CDI,경기
29,벤츠,131455.0,E-클래스 W213,디젤,3300.0,2017,E220d 익스클루시브,경기
30,도요타,21530.0,RAV4 5세대,가솔린+전기,3950.0,2019,2.5 4WD 하이브리드,서울
31,캐딜락,66923.0,CTS 3세대,가솔린,2360.0,2015,2.0 프리미엄 AWD,경기
32,폭스바겐,172664.0,페이톤,가솔린,1399.0,2012,V8 4.2 NWB,대구
33,BMW,16007.0,X4 (G02),디젤,5980.0,2019,xDrive20d xLine,경기
34,벤츠,74172.0,E-클래스 W213,가솔린,4580.0,2018,E300 익스클루시브,대구
35,아우디,91749.0,뉴 A6,디젤,2320.0,2016,35 TDI 콰트로,서울
36,벤츠,100338.0,E-클래스 W213,가솔린,3750.0,2017,E300 익스클루시브,경기
37,푸조,87623.0,2008,디젤,1150.0,2016,1.6 BlueHDi 펠린,경기
38,BMW,110398.0,5시리즈 (G30),디젤,3499.0,2017,520d xDrive M 스포츠 플러스,서울
39,인피니티,130773.0,G37,가솔린,699.0,2008,쿠페,대구
40,벤츠,67742.0,C-클래스 W205,가솔린,2540.0,2015,C200 아방가르드,서울
41,벤츠,261128.0,CLK-클래스 C209,가솔린,599.0,2004,CLK500 쿠페,대구
42,BMW,137934.0,3시리즈 (E90),가솔린,777.0,2006,330Xi 세단,대구
43,포드,34958.0,익스플로러,가솔린,3000.0,2017,2.3 리미티드 4WD,경기
44,렉서스,86666.0,뉴 ES300h,가솔린+전기,2290.0,2015,슈프림,경기
45,지프,80684.0,체로키(KL),디젤,1590.0,2015,2.0 디젤 론지튜드 AWD,경기
46,BMW,135047.0,5시리즈 (F10),디젤,1950.0,2015,520d,광주
47,BMW,10880.0,5시리즈 (G30),가솔린,6380.0,2021,530i M 스포츠,광주
48,벤츠,18596.0,E-클래스 W213,가솔린,5750.0,2019,E300 4MATIC 익스클루시브,광주
49,BMW,189289.0,5시리즈 (F10),가솔린,950.0,2010,528i,경기
50,지프,24481.0,랭글러 (JK),가솔린,2920.0,2017,3.6 스포츠 2도어,경기
51,링컨,29445.0,뉴 MKZ,가솔린+전기,3550.0,2019,하이브리드,경기
52,BMW,106306.0,5시리즈 (F10),가솔린,1250.0,2011,528i,경기
53,미니,148201.0,쿠퍼 S,가솔린,590.0,2007,기본형,인천
54,포르쉐,23565.0,카이엔 (PO536),가솔린,13000.0,2019,3.0,경기
55,벤츠,10723.0,E-클래스 W213,가솔린+전기,6350.0,2020,E300e 4MATIC 익스클루시브,서울
56,볼보,31223.0,V60 크로스컨트리 2세대,가솔린,5050.0,2020,T5 프로 AWD,인천
57,BMW,179387.0,1시리즈 (F20),디젤,1015.0,2015,118d 스포츠 5도어,경기
58,인피니티,189620.0,Q50,디젤,1190.0,2014,2.2d 익스클루시브,대구
59,벤츠,36307.0,GLE-클래스 W167,가솔린+전기,10100.0,2020,GLE450 4MATIC,경기
60,포르쉐,126256.0,뉴 카이엔,디젤,4090.0,2014,3.0 디젤,부산
61,BMW,175843.0,7시리즈 (G11),디젤,4699.0,2016,740d xDrive M 스포츠,경기
62,닛산,88860.0,알티마,가솔린,520.0,2010,3.5,경기
63,폭스바겐,187026.0,CC,디젤,640.0,2011,2.0 TDI 블루모션,인천
64,포드,86399.0,쿠가 2세대,디젤,1250.0,2016,2.0 디젤 트렌디,경기
65,벤츠,127730.0,E-클래스 W212,디젤,2130.0,2015,E220 블루텍 아방가르드 스포츠,경기
66,미니,4571.0,쿠퍼 S 컨트리맨,가솔린,4880.0,2021,JCW,서울
67,BMW,8596.0,X5 (G05),디젤,11960.0,2020,M50d,광주
68,BMW,22801.0,5시리즈 (G30),디젤,4440.0,2018,520d M 스포츠 플러스,서울
69,인피니티,21148.0,Q30,가솔린,2150.0,2018,2.0 프리미엄 시티 블랙,서울
70,BMW,133651.0,7시리즈 (F01),가솔린,1150.0,2009,750Li,경기
71,도요타,18379.0,아발론,가솔린,2450.0,2017,리미티드,경기
72,볼보,16872.0,S90,가솔린,4950.0,2019,T5 인스크립션,광주
73,아우디,93581.0,RS7,가솔린,4850.0,2014,4.0 TFSI 콰트로,대구
74,재규어,47261.0,XF (X260),디젤,2680.0,2018,20d 프레스티지,경기
75,BMW,97372.0,5시리즈 (F10),디젤,2399.0,2015,520d xDrive,경기
76,포드,106906.0,몬데오 4세대,디젤,1299.0,2017,2.0 티타늄,서울
77,닛산,75314.0,엑스트레일,가솔린,9999.0,2018,2.5 4WD,경기
78,폭스바겐,49311.0,티구안 올스페이스,디젤,3299.0,2018,2.0 TDI 프레스티지,경기
79,BMW,9747.0,3시리즈 (G20),가솔린,6300.0,2020,M340i,충북
80,포드,5953.0,익스페디션,가솔린,7950.0,2021,플래티넘 4WD,경기
81,렉서스,85410.0,NX300h,가솔린+전기,3150.0,2017,슈프림,서울
82,벤츠,41319.0,GLE-클래스 W166,디젤,6389.0,2017,GLE350 d 4MATIC 쿠페,경기
83,BMW,69167.0,5시리즈 (G30),디젤,3720.0,2017,520d xDrive M 스포츠,서울
84,볼보,98066.0,V90 크로스컨트리,디젤,4099.0,2017,D5 프로 AWD,경기
85,랜드로버,139233.0,레인지로버 4세대,가솔린,7950.0,2016,5.0 SC AB LWB,인천
86,렉서스,21697.0,UX250h,가솔린+전기,3950.0,2019,2.0 AWD,경기
87,렉서스,25168.0,LS500 5세대,가솔린,8790.0,2020,3.5 플래티넘 AWD,서울
88,BMW,52532.0,5시리즈 (G30),디젤,3750.0,2018,520d 럭셔리 스페셜 에디션,서울
89,링컨,24110.0,MKX 2세대,가솔린,3250.0,2017,2.7 AWD,대구
90,볼보,119993.0,XC60 2세대,디젤,4380.0,2018,D5 인스크립션,경기
91,BMW,59392.0,5시리즈 (G30),가솔린,4280.0,2018,530i xDrive M 스포츠,대구
92,볼보,47910.0,V40,디젤,1990.0,2017,D3,서울
93,아우디,126367.0,Q5,디젤,1950.0,2015,35 TDI 콰트로,서울
94,BMW,97392.0,5시리즈 (F10),디젤,1850.0,2013,520d,서울
95,아우디,155288.0,Q7,디젤,1970.0,2011,3.0 TDI 콰트로,경기
96,벤츠,18705.0,S-클래스 W222,디젤,9590.0,2018,S350 d 4MATIC,부산
97,포드,73944.0,몬데오 4세대,디젤,1320.0,2016,2.0 트렌드,경기
98,벤츠,80714.0,E-클래스 W213,디젤,4599.0,2017,E220d 쿠페,경기
99,BMW,23023.0,X5 (F15),디젤,5860.0,2017,xDrive 30d,경기
100,아우디,119905.0,A7,가솔린,2599.0,2014,3.0 TFSI 콰트로 프레스티지,경기
101,벤츠,45582.0,S-클래스 W222,가솔린,16400.0,2018,마이바흐 S560 4MATIC,서울
102,랜드로버,181345.0,디스커버리 4,디젤,3230.0,2014,3.0 SDV6 SE,광주
103,BMW,168308.0,7시리즈 (G11),디젤,4700.0,2016,730Ld xDrive,경기
104,미니,65955.0,쿠퍼,가솔린,1030.0,2012,기본형,부산
105,벤츠,30874.0,GLC-클래스 X253,디젤,5399.0,2018,GLC220 d 4MATIC 프리미엄 쿠페,서울
106,폭스바겐,144323.0,골프 7세대,디젤,1430.0,2014,2.0 GTD,경기
107,랜드로버,78812.0,디스커버리 스포츠,디젤,2899.0,2017,2.0 TD4 HSE 럭셔리,경기
108,포르쉐,93710.0,파나메라,가솔린,8100.0,2016,4.8 GTS,경기
109,렉서스,12801.0,ES300h 7세대,가솔린+전기,5350.0,2021,럭셔리 플러스,경기
110,미니,90210.0,쿠퍼 D 클럽맨,디젤,1950.0,2017,기본형,경기
111,재규어,22999.0,XE,디젤,2850.0,2019,20d 포트폴리오,경기
112,볼보,97916.0,S80,디젤,1320.0,2014,D2,서울
113,랜드로버,42998.0,레인지로버 이보크,디젤,3640.0,2018,2.0 TD4 SE,대구
114,인피니티,113290.0,G37,가솔린,699.0,2010,세단 프리미엄,충남
115,아우디,168040.0,뉴 A6,디젤,1390.0,2014,3.0 TDI 콰트로,인천
116,인피니티,42149.0,Q50,가솔린+전기,2790.0,2018,3.5 하이브리드 에센스,대구
117,벤츠,29068.0,E-클래스 W213,디젤,6100.0,2018,E220d 카브리올레,서울
118,렉서스,10421.0,ES300h 7세대,가솔린+전기,5100.0,2020,럭셔리,경기
119,BMW,134086.0,3시리즈 (E90),가솔린,5800.0,2009,328i 컨버터블,경기
120,아우디,82881.0,S7,가솔린,3650.0,2014,4.0 TFSI 콰트로,서울
121,BMW,117841.0,3시리즈 GT (F34),디젤,1850.0,2016,GT 320d,경기
122,BMW,114325.0,X3 (E83),가솔린,599.0,2005,2.5i,경기
123,푸조,80394.0,3008,디젤,899.0,2014,2.0 HDi,서울
124,벤츠,8844.0,AMG GT,가솔린,16800.0,2019,4도어 63 S 4MATIC+,대구
125,미니,22308.0,쿠퍼 SD 컨트리맨,디젤,4400.0,2020,ALL4,경기
126,벤츠,45671.0,GLA-클래스 X156,가솔린,3000.0,2018,GLA220 프리미엄,광주
127,포드,43843.0,머스탱,가솔린,3230.0,2015,GT 쿠페,경기
128,BMW,125526.0,5시리즈 (F10),디젤,2499.0,2016,520d M 에어로 다이나믹,대구
129,푸조,125604.0,3008,디젤,490.0,2011,1.6 HDi,경기
130,BMW,203433.0,X5 (E70),가솔린,950.0,2007,xDrive 30si,경기
131,BMW,67393.0,5시리즈 (F10),가솔린,1990.0,2012,528i,대구
132,BMW,50939.0,5시리즈 (G30),가솔린,4499.0,2018,530i M 스포츠 플러스,대구
133,BMW,52591.0,5시리즈 (G30),가솔린,4780.0,2018,530i xDrive M 스포츠 플러스,경기
134,링컨,94204.0,MKX 2세대,가솔린,2450.0,2017,2.7 AWD,대구
135,벤츠,53384.0,E-클래스 W212,디젤,2390.0,2015,E220 CDI 아방가르드,대구
136,벤츠,39621.0,CLS-클래스 C257,디젤,7050.0,2019,CLS400d 4MATIC,부산
137,재규어,140843.0,X-TYPE,디젤,490.0,2009,2.2D,경기
138,지프,143779.0,그랜드 체로키,디젤,1590.0,2012,3.0 디젤 오버랜드,인천
139,BMW,96507.0,7시리즈 (G11),디젤,6590.0,2017,740Ld xDrive M 스포츠,경기
140,인피니티,71146.0,G37,가솔린,890.0,2010,세단 스포츠,경기
141,아우디,131955.0,뉴 A6,가솔린,1250.0,2012,3.0 TFSI 콰트로 다이나믹,인천
142,벤츠,195810.0,M-클래스 W166,디젤,2680.0,2012,ML350 블루텍 4MATIC,경기
143,벤츠,117720.0,E-클래스 W212,가솔린,1150.0,2011,E300 엘레강스,경기
144,BMW,14311.0,X1 (F48),디젤,3780.0,2020,xDrive 18d 어드밴티지,경기
145,지프,33420.0,그랜드 체로키,가솔린,4120.0,2019,3.6 오버랜드,인천
146,BMW,24375.0,5시리즈 GT (F07),디젤,3450.0,2015,GT ED Edition,경기
147,인피니티,48428.0,Q30,가솔린,1950.0,2017,2.0 프리미엄,서울
148,볼보,180454.0,S80,디젤,665.0,2011,D5,경기
149,포르쉐,88785.0,카이맨,가솔린,5690.0,2014,S 3.4,서울
150,아우디,103453.0,Q3,디젤,1570.0,2014,2.0 TDI 콰트로,서울
151,링컨,70744.0,컨티넨탈 10세대,가솔린,3580.0,2017,3.0 프레지덴셜 AWD,충북
152,벤츠,181268.0,E-클래스 W213,디젤,2650.0,2017,E220d 아방가르드,경기
153,랜드로버,240500.0,디스커버리 4,디젤,2190.0,2011,3.0 SDV6 HSE,대구
154,지프,7273.0,그랜드 체로키,가솔린,3950.0,2020,3.6 리미티드,대구
155,벤츠,73678.0,E-클래스 W213,가솔린,5390.0,2019,E300 4MATIC 익스클루시브,부산
156,BMW,119284.0,3시리즈 (F30),디젤,2190.0,2018,320d,경기
157,아우디,173648.0,뉴 A6,디젤,999.0,2012,3.0 TDI 콰트로,충남
158,벤츠,36038.0,E-클래스 W213,가솔린,4880.0,2018,E300 아방가르드,광주
159,인피니티,43570.0,Q50,디젤,1830.0,2016,2.2d 프리미엄,경기
160,폭스바겐,35904.0,아테온,디젤,3720.0,2019,2.0 TDI 프레스티지,경기
161,벤츠,26429.0,C-클래스 W205,디젤,2770.0,2016,C200 d,인천
162,BMW,94050.0,X1 (E84),디젤,1180.0,2010,xDrive 23d,경기
163,BMW,108224.0,X6 (F16),디젤,6050.0,2017,M50d,경기
164,BMW,80934.0,3시리즈 (F30),디젤,2550.0,2017,320d M 스포츠,경기
165,BMW,78621.0,5시리즈 (E60),가솔린,990.0,2008,535i 세단,서울
166,포드,69545.0,익스플로러,가솔린,2889.0,2017,2.3 리미티드 4WD,경기
167,BMW,111664.0,X6 (F16),디젤,4599.0,2017,xDrive 30d,충남
168,BMW,108949.0,X1 (E84),디젤,999.0,2011,xDrive 20d,경기
169,벤츠,226002.0,E-클래스 W212,디젤,1530.0,2015,E250 블루텍 4MATIC 아방가르드,경기
170,지프,77941.0,랭글러 (JK),디젤,3980.0,2013,2.8 디젤 루비콘 4도어,서울
171,벤츠,43808.0,GLA-클래스 X156,가솔린,3350.0,2018,GLA220 프리미엄,경기
172,BMW,105135.0,5시리즈 (G30),디젤,3570.0,2017,520d M 스포츠 플러스,광주
173,BMW,13908.0,X6 (G06),디젤,10280.0,2021,xDrive30d M 스포츠,경기
174,아우디,76648.0,S7,가솔린,3950.0,2014,4.0 TFSI 콰트로,경기
175,BMW,156554.0,6시리즈 (F12),디젤,2750.0,2015,640d xDrive 그란쿠페,경기
176,벤츠,70570.0,GLC-클래스 X253,가솔린+전기,4250.0,2019,GLC350e 4MATIC,서울
177,랜드로버,42345.0,레인지로버 벨라,디젤,5850.0,2018,2.0 D240 SE,부산
178,마세라티,60189.0,르반떼,가솔린,7350.0,2017,3.0 S AWD 스포츠,부산
179,BMW,101205.0,5시리즈 (F10),가솔린,2429.0,2015,528i,부산
180,포드,84499.0,익스플로러,가솔린,2690.0,2017,2.3 리미티드 4WD,대구
181,BMW,51115.0,3시리즈 (F30),디젤,2690.0,2016,320d M 스포츠,부산
182,폭스바겐,42666.0,티구안 2세대,디젤,3180.0,2018,2.0 TDI 4모션 프레스티지,전북
183,포르쉐,14913.0,카이엔 (PO536),가솔린+전기,13900.0,2019,3.0 E-하이브리드,경기
184,BMW,126882.0,X4 (F26),디젤,2990.0,2016,xDrive20d,인천
185,BMW,8140.0,X3 (G01),디젤,6199.0,2020,xDrive 20d M 스포츠,서울
