,brand,name,info,type,km,year,location,price
0,현대,그랜저 IG,2.4 프리미엄,가솔린,61361.0,2018,충남,2270.0
1,르노삼성,SM6,2.0 GDe RE,가솔린,38418.0,2019,경기,1730.0
2,기아,모하비,4WD KV300,디젤,181293.0,2009,전북,1100.0
3,르노삼성,QM6,디젤 2WD RE 플러스,디젤,58910.0,2017,대구,2140.0
4,기아,올 뉴 카니발,9인승 럭셔리,디젤,129887.0,2018,경기,1510.0
5,기아,올 뉴 K7,3.3 GDI 리미티드 플러스,가솔린,65985.0,2018,전북,2290.0
6,기아,스토닉,디젤 1.6,디젤,18218.0,2018,광주,1690.0
7,기아,스포티지 R,디젤 2WD TLX,디젤,149428.0,2012,광주,789.0
8,르노삼성,SM3 네오,PE,가솔린,79613.0,2015,대구,600.0
9,현대,싼타페 더 프라임,디젤 2.0 2WD,디젤,121917.0,2017,경기,1880.0
10,쌍용,렉스턴 스포츠 칸,디젤 2.2 4WD,디젤,14095.0,2019,경기,2990.0
11,현대,쏘나타 뉴 라이즈,LPI 스타일,LPG(일반인 구입),81702.0,2019,인천,1200.0
12,기아,K7,VG270 디럭스,가솔린,31010.0,2010,서울,899.0
13,기아,스포티지 4세대,디젤 2.0 2WD 프레스티지,디젤,34752.0,2018,서울,1799.0
14,기아,올 뉴 쏘렌토,디젤 2.2 4WD,디젤,74119.0,2016,대구,2390.0
15,현대,아반떼 AD,1.6 GDI 스마트,가솔린,49340.0,2016,경기,1400.0
16,르노삼성,QM6,가솔린 2WD RE 시그니처,가솔린,36839.0,2019,경기,2270.0
17,쉐보레(GM대우),올란도,LPG LTZ,LPG(일반인 구입),182695.0,2013,대구,720.0
18,현대,코나,디젤 1.6 2WD,디젤,17115.0,2018,대구,2020.0
19,기아,스포티지 R,디젤 2WD TLX,디젤,157992.0,2011,부산,770.0
20,기아,더 뉴 모닝,럭셔리,가솔린,67050.0,2016,부산,700.0
21,르노삼성,SM6,2.0 GDe SE,가솔린,43180.0,2016,경기,1550.0
22,현대,더 뉴 i40,1.7 VGT,디젤,121367.0,2016,서울,1380.0
23,제네시스,G80 (RG3),가솔린 2.5 터보 2WD,가솔린,16762.0,2021,경기,5700.0
24,현대,제네시스 DH,G330 모던,가솔린,73628.0,2015,서울,2130.0
25,제네시스,G80,3.3 GDI,가솔린,6590.0,2020,서울,3880.0
26,르노삼성,QM6,디젤 2WD LE,디젤,34831.0,2017,서울,1780.0
27,기아,더 뉴 모닝,럭셔리,가솔린,83099.0,2016,충북,720.0
28,현대,아반떼 (CN7),1.6,가솔린,2011.0,2021,서울,2450.0
29,제네시스,G80,3.3 GDI AWD,가솔린,65251.0,2018,경기,3260.0
30,현대,쏘나타 뉴 라이즈,2.0 스마트,가솔린,84162.0,2018,대전,1530.0
31,기아,더 K9,3.8 GDI AWD,가솔린,15285.0,2019,대구,4289.0
32,기아,올 뉴 K7,3.0 LPI 럭셔리 (렌터카),LPG(일반인 구입),137375.0,2016,충남,1459.0
33,기아,올 뉴 카니발,9인승 럭셔리,디젤,89780.0,2018,대전,1800.0
34,르노삼성,QM6,가솔린 2WD LE,가솔린,69670.0,2019,서울,1699.0
35,쉐보레(GM대우),라세티 프리미어,1.8 CDX ID,가솔린,133356.0,2010,충남,370.0
36,르노삼성,QM5 네오,디젤 2WD RE,디젤,86293.0,2015,전북,1150.0
37,르노삼성,뉴QM3,RE,디젤,29527.0,2019,경기,1599.0
38,현대,제네시스 DH,G380 프레스티지 AWD,가솔린,51912.0,2016,대구,2990.0
39,르노삼성,SM6,2.0 GDe LE,가솔린,12620.0,2019,경기,1799.0
40,현대,싼타페 TM,가솔린 2.0T 2WD,가솔린,24217.0,2020,경기,3290.0
41,기아,올 뉴 쏘렌토,디젤 2.0 2WD,디젤,157297.0,2016,전북,1590.0
42,기아,올 뉴 쏘렌토,디젤 2.0 4WD,디젤,115278.0,2015,경기,1670.0
43,기아,스팅어 마이스터,2.5 AWD 마스터즈,가솔린,3124.0,2021,경기,4310.0
44,현대,아반떼 (CN7),1.6,가솔린,27569.0,2021,광주,2350.0
45,제네시스,G70,3.3T 스포츠,가솔린,76873.0,2018,경기,3180.0
46,기아,올 뉴 K7,3.0 LPI 럭셔리 (렌터카),LPG(일반인 구입),61515.0,2017,광주,3000.0
47,기아,스팅어,2.2 디젤 2WD,디젤,112423.0,2018,경기,2290.0
48,현대,더 뉴 싼타페,디젤 2.2 4WD,디젤,17419.0,2021,대전,3990.0
