,brand,name,info,type,km,year,location,price
0,쉐보레(GM대우),더 넥스트 스파크,LTZ,가솔린,34256.0,2016,대구,820.0
1,쉐보레(GM대우),더 뉴 카마로,SS 6.2 V8,가솔린,67414.0,2019,대구,3830.0
2,기아,레이,프레스티지,가솔린,43368.0,2012,서울,880.0
3,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,가솔린,22002.0,2021,경기,6990.0
4,제네시스,GV80,3.0 디젤 AWD,디젤,21775.0,2020,경기,6750.0
5,기아,K8 하이브리드,시그니처,가솔린+전기,5589.0,2022,경기,5088.0
6,제네시스,GV80,3.0 디젤 AWD,디젤,8156.0,2020,서울,7350.0
7,기아,K8,3.5 가솔린 2WD,가솔린,3263.0,2022,경기,4690.0
8,기아,레이,럭셔리,가솔린,68242.0,2012,부산,780.0
9,기아,레이,프레스티지,가솔린,56278.0,2013,광주,899.0
10,기아,레이,프레스티지,가솔린,86236.0,2012,경기,749.0
11,현대,그랜저 IG,3.0 익스클루시브,가솔린,83657.0,2018,경기,1919.0
12,기아,레이,프레스티지,가솔린,96179.0,2014,서울,790.0
13,기아,레이,프레스티지,가솔린,66476.0,2013,부산,805.0
14,기아,더 뉴 레이,밴,가솔린,24220.0,2020,경기,1070.0
15,기아,레이,럭셔리,가솔린,152303.0,2012,경기,590.0
16,기아,레이,럭셔리,가솔린,40840.0,2016,대구,1020.0
17,기아,레이,프레스티지,가솔린,36353.0,2015,경기,1050.0
18,기아,레이,프레스티지,가솔린,96858.0,2013,부산,780.0
19,기아,레이,프레스티지,가솔린,111438.0,2013,부산,780.0
20,쌍용,티볼리 아머,기어 에디션 2WD,가솔린,30010.0,2018,경기,1490.0
