,brand,name,info,type,km,year,location,price
0,쉐보레(GM대우),스파크,LT,가솔린,140136.0,2012,대구,370.0
1,쉐보레(GM대우),마티즈 크리에이티브,그루브,가솔린,38386.0,2011,경기,490.0
2,쉐보레(GM대우),마티즈 크리에이티브,재즈,가솔린,58510.0,2011,광주,315.0
3,쉐보레(GM대우),마티즈 크리에이티브,재즈,가솔린,149598.0,2011,부산,280.0
4,쉐보레(GM대우),스파크,LT,가솔린,41960.0,2013,서울,530.0
5,쉐보레(GM대우),스파크,LS,가솔린,105238.0,2012,충남,377.0
6,쉐보레(GM대우),더 넥스트 스파크,LT,가솔린,37458.0,2018,광주,690.0
7,쉐보레(GM대우),스파크,LT,가솔린,84449.0,2012,경기,470.0
8,쉐보레(GM대우),스파크,LS,가솔린,78216.0,2012,경기,399.0
9,쉐보레(GM대우),스파크,LT,가솔린,45240.0,2013,대전,529.0
10,쉐보레(GM대우),더 넥스트 스파크,LT,가솔린,33165.0,2018,울산,860.0
11,쉐보레(GM대우),더 넥스트 스파크,LTZ,가솔린,23225.0,2018,경기,800.0
12,쉐보레(GM대우),스파크,LT,가솔린,50867.0,2012,광주,450.0
13,쉐보레(GM대우),마티즈 크리에이티브,그루브,가솔린,54691.0,2011,광주,360.0
14,쉐보레(GM대우),스파크,LT,가솔린,30739.0,2012,서울,430.0
15,쉐보레(GM대우),스파크,LPG LS,LPG(일반인 구입),88431.0,2012,경기,439.0
16,쉐보레(GM대우),스파크,LT,가솔린,86996.0,2013,경기,419.0
17,쉐보레(GM대우),마티즈 크리에이티브,그루브,가솔린,157237.0,2011,경기,250.0
18,쉐보레(GM대우),스파크,LS,가솔린,114456.0,2012,대구,390.0
19,쉐보레(GM대우),스파크,LS,가솔린,174815.0,2012,울산,250.0
20,쉐보레(GM대우),스파크,LS,가솔린,55151.0,2012,광주,440.0
21,쉐보레(GM대우),스파크,LS,가솔린,54507.0,2012,충남,400.0
22,쉐보레(GM대우),스파크,LS,가솔린,130161.0,2012,부산,290.0
23,쉐보레(GM대우),스파크,LT,가솔린,42593.0,2012,전북,470.0
24,쉐보레(GM대우),스파크,LS,가솔린,28254.0,2012,부산,450.0
25,쉐보레(GM대우),스파크,LT,가솔린,48819.0,2012,경기,430.0
26,쉐보레(GM대우),더 넥스트 스파크,LS,가솔린,24856.0,2018,경기,252.0
27,쉐보레(GM대우),스파크,LS,가솔린,93989.0,2012,경기,350.0
28,쉐보레(GM대우),더 넥스트 스파크,LTZ,가솔린,62495.0,2018,경기,750.0
29,쉐보레(GM대우),스파크,LT,가솔린,65124.0,2012,부산,499.0
30,쉐보레(GM대우),스파크,LT,가솔린,130105.0,2012,부산,310.0
31,쉐보레(GM대우),마티즈 크리에이티브,팝,가솔린,43426.0,2011,경기,300.0
32,쉐보레(GM대우),스파크,LT,가솔린,86249.0,2012,부산,390.0
33,쉐보레(GM대우),뉴 라보,롱카고 DLX,LPG(일반인 구입),65499.0,2010,경기,340.0
34,쉐보레(GM대우),스파크,LT,가솔린,63664.0,2012,경기,390.0
35,쉐보레(GM대우),스파크,타투 에디션,가솔린,90154.0,2012,경기,390.0
36,쉐보레(GM대우),더 넥스트 스파크,LT,가솔린,39158.0,2018,부산,790.0
37,쉐보레(GM대우),스파크,LT,가솔린,72192.0,2013,경기,400.0
38,쉐보레(GM대우),스파크,LS,가솔린,81225.0,2012,경기,299.0
39,쉐보레(GM대우),스파크,LS,가솔린,85497.0,2012,충북,450.0
40,쉐보레(GM대우),스파크,LS,가솔린,34977.0,2012,충북,450.0
41,쉐보레(GM대우),마티즈 크리에이티브,그루브,가솔린,30153.0,2011,서울,420.0
