,brand,name,info,type,km,year,location,price
0,기아,올 뉴 모닝,디럭스 트렌디,가솔린,33365.0,2015,경기,600.0
1,쉐보레(GM대우),올 뉴 말리부,1.5 터보 LS,가솔린,64580.0,2017,경기,1199.0
2,기아,올 뉴 모닝,디럭스,가솔린,98189.0,2014,경기,450.0
3,기아,올 뉴 모닝,럭셔리,가솔린,50483.0,2015,광주,700.0
4,쉐보레(GM대우),더 뉴 스파크,LT,가솔린,11075.0,2019,울산,990.0
5,현대,제네시스 DH,G380 파이니스트 에디션 AWD,가솔린,49753.0,2016,경기,2950.0
6,제네시스,GV80,3.0 디젤 AWD,디젤,22661.0,2020,광주,7250.0
7,쉐보레(GM대우),더 뉴 스파크,프리미어,가솔린,14865.0,2019,서울,1020.0
8,제네시스,G80 (RG3),디젤 2.2 AWD,디젤,5138.0,2021,광주,6880.0
9,기아,스팅어,3.3 터보 2WD,가솔린,63392.0,2018,경기,2849.0
10,기아,올 뉴 모닝,럭셔리,가솔린,82524.0,2013,충남,520.0
11,제네시스,GV80,3.0 디젤 AWD,디젤,23317.0,2020,광주,7250.0
12,쌍용,코란도 투리스모,4WD GT 11인승,디젤,127665.0,2014,경기,829.0
13,르노삼성,더 뉴 QM6,2.0 LPe 프리미에르 2WD,LPG(일반인 구입),4037.0,2021,전북,2950.0
14,현대,그랜저 HG,HG300 익스클루시브,가솔린,82526.0,2014,경기,1340.0
15,기아,레이,럭셔리,가솔린,110962.0,2015,경기,680.0
16,기아,레이,디럭스 스페셜,가솔린,195062.0,2013,경기,480.0
17,르노삼성,QM6,가솔린 2WD RE 시그니처,가솔린,25351.0,2019,인천,2190.0
18,쌍용,코란도 투리스모,4WD TX 9인승,디젤,189771.0,2016,경기,830.0
19,제네시스,GV80,3.0 디젤 AWD,디젤,25957.0,2020,광주,6990.0
20,르노삼성,SM6,2.0 GDe RE,가솔린,63552.0,2017,부산,1480.0
21,쉐보레(GM대우),더 뉴 스파크,프리미어,가솔린,11565.0,2020,광주,1120.0
22,쉐보레(GM대우),더 넥스트 스파크,LT,가솔린,43773.0,2017,경기,650.0
23,쉐보레(GM대우),더 뉴 스파크,프리미어,가솔린,17391.0,2019,경기,1020.0
24,쉐보레(GM대우),말리부,2.0 LT 디럭스팩,가솔린,94905.0,2013,부산,730.0
25,기아,레이,터보 프레스티지,가솔린,79867.0,2016,경기,1030.0
26,제네시스,G90,3.3 T AWD,가솔린,97911.0,2019,경기,6740.0
27,현대,제네시스 DH,G380 파이니스트 에디션 AWD,가솔린,126078.0,2016,부산,2550.0
28,기아,올 뉴 카니발,9인승 프레스티지,디젤,71958.0,2018,서울,2099.0
29,쉐보레(GM대우),더 뉴 스파크,프리미어,가솔린,29605.0,2019,부산,990.0
30,기아,더 K9,3.8 GDI AWD,가솔린,34796.0,2020,경기,4599.0
31,쉐보레(GM대우),올란도,2.0 디젤 LTZ,디젤,71688.0,2013,부산,1070.0
32,기아,올 뉴 모닝,디럭스,가솔린,47456.0,2014,부산,550.0
33,르노삼성,뉴QM3,RE,디젤,58414.0,2018,경기,1399.0
34,기아,더 뉴 카니발,가솔린 9인승 하이리무진(특장업체),가솔린,26939.0,2020,경기,5090.0
35,기아,스포티지 R,디젤 2WD 리미티드,디젤,114033.0,2011,부산,995.0
36,르노삼성,SM6,1.6 TCe RE,가솔린,29620.0,2017,대구,1680.0
37,쌍용,액티언,4WD CX5 클럽,디젤,77257.0,2009,충북,490.0
38,기아,레이,럭셔리,가솔린,109981.0,2014,경기,660.0
39,기아,레이,럭셔리,가솔린,58223.0,2014,울산,830.0
40,쉐보레(GM대우),더 뉴 스파크,프리미어,가솔린,44984.0,2020,부산,899.0
41,기아,레이,럭셔리,가솔린,20782.0,2016,경기,870.0
