,brand,name,info,type,km,year,location,price
0,제네시스,GV80,3.5T 가솔린 AWD,가솔린,7902.0,2020,서울,8050.0
1,제네시스,G70,2.0T,가솔린,53143.0,2018,충북,3090.0
2,쉐보레(GM대우),올란도,LPG LTZ,LPG(일반인 구입),75026.0,2018,경기,1520.0
3,쌍용,티볼리 아머,기어 에디션 2WD,가솔린,43065.0,2018,서울,1560.0
4,현대,그랜저 IG,2.4 프리미엄,가솔린,65174.0,2017,울산,2090.0
5,기아,K8,2.5 가솔린 2WD,가솔린,3474.0,2022,경기,4270.0
6,현대,팰리세이드,가솔린 3.8 4WD,가솔린,6929.0,2021,경기,4800.0
7,현대,그랜저 IG,2.4 프리미엄,가솔린,116041.0,2017,경기,1780.0
8,기아,K8,3.5 LPG 2WD,LPG(일반인 구입),2116.0,2022,경기,4350.0
9,쌍용,티볼리 아머,기어 에디션 2WD,가솔린,33319.0,2018,경기,1560.0
10,기아,뉴 쏘렌토 R,디젤 2.0 4WD,디젤,102963.0,2013,경기,1380.0
11,제네시스,G80,3.3 GDI AWD,가솔린,57201.0,2019,경기,1008.0
