,brand,name,info,type,km,year,location,price
0,쉐보레(GM대우),뉴 라보,이동판매차,LPG(일반인 구입),5897.0,2015,광주,570.0
1,르노삼성,SM7,LE,가솔린,142644.0,2005,충북,200.0
2,현대,제네시스 DH,G330 모던,가솔린,62665.0,2015,경기,1990.0
3,현대,그랜저 IG,2.4 프리미엄,가솔린,71260.0,2018,경기,2050.0
4,르노삼성,SM7,LE,가솔린,105965.0,2007,경기,390.0
5,르노삼성,뉴SM5,LE,가솔린,189623.0,2005,광주,159.0
6,현대,엑센트(신형),1.4 VVT 밸류 플러스,가솔린,29608.0,2018,광주,940.0
7,르노삼성,SM7,RE35,가솔린,99726.0,2006,경기,220.0
8,현대,그랜저 HG,HG300 익스클루시브,가솔린,158426.0,2014,대구,899.0
9,르노삼성,뉴SM5,LPLI 기본형,LPG(일반인 구입),214525.0,2005,대전,180.0
10,현대,NF 쏘나타,N20 엘레강스 스페셜,가솔린,117697.0,2005,대구,278.0
11,르노삼성,뉴SM5,SE,가솔린,190289.0,2007,경기,130.0
12,현대,코나,1.6 터보 4WD,가솔린,132275.0,2018,경기,1490.0
13,르노삼성,SM7,LE,가솔린,138590.0,2006,부산,199.0
