,brand,name,info,type,km,year,location,price
0,기아,모닝 어반,시그니처,가솔린,5464.0,2021,경기,1230.0
1,현대,그랜드 스타렉스,어린이보호차,디젤,112655.0,2015,서울,999.0
2,현대,벨로스터,익스트림,가솔린,125942.0,2012,전북,590.0
3,현대,그랜드 스타렉스,어린이보호차,디젤,93653.0,2012,대전,820.0
4,현대,그랜드 스타렉스,어린이보호차,디젤,64350.0,2016,대구,1450.0
5,기아,스토닉,디젤 1.6,디젤,55130.0,2018,경기,1400.0
6,쉐보레(GM대우),올 뉴 카마로,SS 6.2 V8,가솔린,22663.0,2017,대구,3290.0
7,기아,셀토스,가솔린 1.6 터보 4WD,가솔린,12626.0,2020,경기,2750.0
8,현대,그랜드 스타렉스,어린이보호차,디젤,34329.0,2018,경기,1900.0
9,현대,벨로스터 (JS),1.4 터보 모던,가솔린,33365.0,2018,충남,1629.0
10,현대,그랜드 스타렉스,어린이보호차,디젤,130752.0,2014,대구,890.0
11,기아,카니발 R,어린이 보호차,디젤,87524.0,2014,경기,800.0
12,기아,스팅어,2.0 터보 AWD,가솔린,31681.0,2020,부산,2999.0
13,현대,그랜드 스타렉스,어린이보호차,디젤,53485.0,2015,대구,1350.0
14,현대,그랜드 스타렉스,4WD 어린이보호차,디젤,89772.0,2016,대구,1350.0
15,쉐보레(GM대우),스파크,LT,가솔린,110974.0,2014,경기,530.0
16,현대,그랜드 스타렉스,어린이보호차,디젤,130115.0,2011,경기,890.0
17,현대,그랜드 스타렉스,어린이보호차,디젤,61699.0,2014,부산,1300.0
18,기아,스토닉,디젤 1.6,디젤,50995.0,2018,광주,1389.0
19,현대,더 뉴 그랜드 스타렉스,어린이보호차 LPi,LPG(일반인 구입),34951.0,2019,경기,2080.0
20,쉐보레(GM대우),더 넥스트 스파크,LTZ,가솔린,47026.0,2017,전북,770.0
21,현대,벨로스터,익스트림,가솔린,61549.0,2013,경기,850.0
22,현대,그랜드 스타렉스,어린이보호차,디젤,102042.0,2015,인천,1460.0
23,기아,스토닉,디젤 1.6,디젤,48480.0,2018,충남,1389.0
24,쉐보레(GM대우),스파크,스파크 S,가솔린,89642.0,2014,경기,470.0
25,현대,그랜드 스타렉스,4WD 어린이보호차,디젤,60594.0,2015,경기,2000.0
26,현대,그랜드 스타렉스,어린이보호차,디젤,120514.0,2014,경기,800.0
27,현대,그랜드 스타렉스,4WD 12인승 왜건,디젤,86816.0,2015,광주,950.0
28,현대,그랜드 스타렉스,어린이보호차,디젤,96273.0,2016,경기,1510.0
29,현대,그랜드 스타렉스,어린이보호차,디젤,27532.0,2016,부산,1690.0
30,현대,더 뉴 벨로스터,1.6 터보 디 스펙,가솔린,35150.0,2015,충남,1299.0
31,기아,그랜드 카니발,GX,디젤,131311.0,2009,전북,299.0
32,쉐보레(GM대우),카마로,3.6,가솔린,55019.0,2015,경기,2050.0
33,현대,그랜드 스타렉스,어린이보호차,디젤,90419.0,2015,경기,1250.0
34,현대,그랜드 스타렉스,어린이보호차,디젤,153331.0,2015,전북,950.0
35,현대,더 뉴 그랜드 스타렉스,어린이보호차 LPi,LPG(일반인 구입),7738.0,2020,대구,2450.0
36,현대,더 뉴 그랜드 스타렉스,어린이보호차 LPi,LPG(일반인 구입),61846.0,2019,대구,1890.0
37,현대,그랜드 스타렉스,어린이보호차,디젤,107939.0,2015,부산,1170.0
38,기아,카니발 R,어린이 보호차,디젤,128148.0,2013,충남,720.0
39,현대,그랜드 스타렉스,4WD 어린이보호차,디젤,42562.0,2017,광주,1730.0
40,현대,그랜드 스타렉스,어린이보호차,디젤,44301.0,2011,경기,890.0
41,현대,그랜드 스타렉스,어린이보호차,디젤,57099.0,2012,경기,810.0
42,현대,그랜드 스타렉스,어린이보호차,디젤,42901.0,2018,광주,1770.0
43,현대,그랜드 스타렉스,어린이보호차,디젤,16076.0,2015,부산,1190.0
44,쉐보레(GM대우),스파크,LS,가솔린,47288.0,2013,대전,450.0
45,현대,베뉴,1.6 모던,가솔린,27326.0,2020,서울,1840.0
46,현대,그랜드 스타렉스,어린이보호차,디젤,49136.0,2015,대구,1580.0
47,쉐보레(GM대우),올 뉴 카마로,SS 6.2 V8,가솔린,33158.0,2018,경기,3620.0
48,현대,그랜드 스타렉스,어린이보호차,디젤,73939.0,2016,경기,1299.0
49,기아,올 뉴 카니발,11인승 어린이 보호차,디젤,125130.0,2017,전북,1390.0
50,현대,벨로스터 (JS),1.4 터보 모던,가솔린,18508.0,2018,충남,1730.0
