,brand,name,info,type,km,year,color,location,accident,price
2100,BMW,5시리즈 GT (F07),GT ED Edition 럭셔리,디젤,117024,2017,흰색,서울,단순교환,3050
2101,미니,쿠퍼 컨트리맨(1세대),D ALL4,디젤,96602,2015,흰색,충남,단순교환,1510
2102,현대,그랜저 IG,3.0 LPi 장애인용익스클루시브 스페셜,LPG,46637,2017,쥐색,충북,무사고,2610
2103,폭스바겐,골프 7세대,2.0 GTI,가솔린,84844,2016,흰색,경기/인천,무사고,2480
2104,기아,스포티지 4세대,디젤 2.0 2WD 노블레스세부등급 없음,디젤,91791,2017,흰색,경기/인천,무사고,1770
2105,현대,제네시스 DH,G330 프리미엄 AWD,가솔린,54594,2016,쥐색,전남,단순사고(접촉),2320
2106,기아,더 뉴 모하비,디젤 3.0 4WD프레지던트,디젤,107035,2017,검정투톤,충남,무사고,2780
2107,기아,K5 2세대,LPI MX럭셔리,LPG,101078,2017,흰색,경기/인천,단순사고(접촉),1120
2108,기아,K3,프레스티지,가솔린,39418,2015,흰색,경기/인천,무사고,1170
2109,르노삼성,SM6,1.5 dCi PE,디젤,54747,2017,청색,충북,무사고,1260
2110,현대,LF 쏘나타,LPI 스마트,LPG,111490,2015,검정색,경기/인천,무사고,990
2111,기아,더 뉴 니로,노블레스,가솔린+전기,11049,2020,흰색,경기/인천,무사고,2590
2112,제네시스,G80,3.8 GDI AWD프레스티지,가솔린,103079,2017,쥐색,경남,단순교환,2790
2113,쌍용,티볼리,디젤 LX 2WD,디젤,58984,2017,빨간색,경남,무사고,1300
2114,기아,스포티지 4세대,디젤 1.7 2WD 노블레스세부등급 없음,디젤,104586,2016,흰색,경기/인천,무사고,1460
2115,BMW,3시리즈 (F30),320d M 스포츠,디젤,97281,2017,검정색,경북,단순교환,2590
2116,기아,K5 2세대,1.7 디젤 SX프레스티지,디젤,136968,2016,쥐색,경북,무사고,1060
2117,제네시스,G80,3.3 GDI AWD럭셔리,가솔린,42739,2017,검정색,경북,무사고,3100
2118,현대,아반떼 MD,M16 GDI 럭셔리,가솔린,75435,2011,검정색,경남,단순교환,760
2119,제네시스,G80,3.3 T-GDI스포츠,가솔린,72457,2017,쥐색,경기/인천,무사고,3780
2120,아우디,A7,50 TDI 콰트로 프리미엄4G,디젤,15759,2016,기타,경기/인천,무사고,4490
2121,현대,제네시스,BH330 그랜드프라임팩,가솔린,111149,2011,쥐색,전북,무사고,900
2122,기아,더 뉴 레이,밴고급형,가솔린,65622,2018,쥐색,경기/인천,무사고,870
2123,BMW,3시리즈 GT (F34),GT 320d xDrive M 스포츠 프리미엄,디젤,9513,2020,쥐색,경기/인천,무사고,4580
2124,제네시스,G80,3.3 GDI AWD프리미엄 럭셔리,가솔린,13398,2018,흰색,경기/인천,무사고,4090
2125,링컨,컨티넨탈 10세대,3.0 리저브 AWD,가솔린,61258,2017,검정색,충북,단순사고(접촉),3520
2126,현대,더 뉴 아반떼 AD,1.6 터보 스포츠프리미엄,가솔린,63338,2019,흰색,경남,무사고,1870
2127,현대,쏘나타 뉴 라이즈,2.0 스마트,가솔린,83907,2018,쥐색,경북,무사고,1560
2128,쉐보레(GM대우),더 뉴 스파크,프리미어,가솔린,8128,2020,갈색,전남,무사고,1080
2129,르노삼성,SM5 노바,클래식,가솔린,33866,2018,은색,충남,무사고,1350
2130,르노삼성,QM6,가솔린 2WD RE 시그니처,가솔린,27129,2019,진주색,경기/인천,무사고,2380
2131,BMW,3시리즈 (F30),320d,디젤,69688,2018,흰색,경기/인천,단순교환,2420
2132,르노삼성,QM6,가솔린 2WD RE 시그니처,가솔린,33511,2019,쥐색,경기/인천,단순교환,2280
2133,현대,아반떼 AD,1.6 GDI 스마트세부등급 없음,가솔린,19886,2018,은색,서울,무사고,1510
2134,기아,더 뉴 레이,프레스티지,가솔린,62997,2019,흰색,경기/인천,무사고,1190
2135,현대,싼타페 CM,2WD(2.2 e-VGT) MLX프리미어,디젤,90042,2010,은색,경기/인천,무사고,930
2136,기아,더 뉴 쏘렌토,가솔린 2.0 터보 2WD노블레스,가솔린,11410,2019,흰색,경기/인천,무사고,3000
2137,르노삼성,뉴SM3,SE,가솔린,115205,2012,진주색,경기/인천,단순사고(접촉),420
2138,기아,더 뉴 K3 2세대,시그니처,가솔린,1750,2022,쥐색,경북,무사고,2460
2139,쉐보레(GM대우),캡티바,2WD LT,디젤,87966,2014,흰색,경기/인천,단순사고(접촉),920
2140,현대,그랜저 IG,3.0 LPi 모던 (렌터카용),LPG,63734,2018,흰색,경북,사고,1910
2141,현대,팰리세이드,가솔린 3.8 4WD프레스티지 (7인승),가솔린,18286,2019,흰색,경북,무사고,3990
2142,쉐보레(GM대우),어메이징 뉴 크루즈,1.4 터보 LTZ,가솔린,42108,2016,검정색,서울,단순교환,1080
2143,기아,스포티지 4세대,디젤 2.0 4WD 트렌디,디젤,106160,2018,검정색,전북,단순교환,1350
2144,쌍용,렉스턴 스포츠,디젤 2.2 4WD노블레스,디젤,38816,2019,검정색,충북,무사고,2590
2145,기아,스포티지 더 볼드,디젤 2.0 2WD시그니쳐 그래비티,디젤,16948,2021,흰색,경기/인천,무사고,2850
2146,기아,K5 3세대,가솔린 터보 1.6시그니처,가솔린,25072,2020,검정색,경기/인천,무사고,3090
2147,현대,아반떼 AD,1.6 GDI 스마트세부등급 없음,가솔린,75942,2016,흰색,경기/인천,단순교환,1160
2148,쉐보레(GM대우),올 뉴 말리부,1.5 터보 LT디럭스,가솔린,43088,2018,흰색,경기/인천,무사고,1680
2149,현대,싼타페 DM,디젤(e-VGT) 2.2 4WD 익스클루시브세부등급 없음,디젤,122637,2015,진주색,경기/인천,단순사고(접촉),1680
2150,현대,아반떼 AD,1.6 GDI 스마트세부등급 없음,가솔린,64029,2016,은색,경기/인천,무사고,1280
2151,제네시스,G70,2.0T AWD엘리트,가솔린,9429,2020,쥐색,경기/인천,무사고,3830
2152,기아,더 K9,3.3 T-GDI AWD마스터즈 Ⅱ,가솔린,31682,2020,흰색,경기/인천,무사고,4780
2153,쌍용,베리 뉴 티볼리,1.5 가솔린 2WDV5,가솔린,19540,2020,흰색,경기/인천,단순교환,1830
2154,기아,올 뉴 모닝 (JA),럭셔리,가솔린,13066,2018,쥐색,서울,단순교환,960
2155,현대,LF 쏘나타,2.0 스마트세부등급 없음,가솔린,81889,2015,쥐색,경기/인천,단순교환,1220
2156,현대,아반떼 AD,1.6 GDI 모던세부등급 없음,가솔린,66644,2016,흰색,경북,단순교환,1380
2157,벤츠,C-클래스 W205,C220 d 4MATIC,디젤,48416,2016,쥐색,서울,무사고,3190
2158,현대,그랜저 HG,HG240 럭셔리,가솔린,136540,2012,검정색,경기/인천,무사고,940
2159,쉐보레(GM대우),마티즈 크리에이티브,재즈스타,가솔린,52158,2009,연두색,경남,단순사고(접촉),340
2160,현대,에쿠스(신형),VS380모던,가솔린,188686,2015,검정색,경기/인천,무사고,1770
2161,현대,더 뉴 아반떼 AD,1.6프리미엄,가솔린,48383,2019,쥐색,충남,단순교환,1770
2162,현대,코나,1.6 터보 2WD프리미엄,가솔린,84912,2018,하늘색,경기/인천,무사고,1830
2163,폭스바겐,더 파사트,2.0 TSI,가솔린,33190,2018,쥐색,서울,무사고,2050
2164,현대,쏘나타 뉴 라이즈,2.0 프리미엄 스페셜,가솔린,69997,2019,쥐색,충남,무사고,1840
2165,테슬라,모델 3,롱 레인지,전기,24148,2020,청색,서울,무사고,4980
2166,현대,싼타페 더 프라임,디젤 2.0 2WD프리미엄,디젤,31987,2018,검정색,전북,무사고,2230
2167,르노삼성,더 뉴 QM6,LPG 2WD(일반인판매용)2.0 LPe RE,LPG,16082,2020,진주색,경남,무사고,2430
2168,벤츠,C-클래스 W205,C220 d 아방가르드,디젤,13356,2019,청색,경기/인천,무사고,3970
2169,현대,에쿠스(신형),VS500프레스티지,가솔린,72602,2014,검정색,경북,단순교환,2950
2170,벤츠,CLA-클래스 C117,CLA250 4MATIC AMG Line,가솔린,17495,2018,쥐색,서울,무사고,3340
2171,쉐보레(GM대우),말리부,2.0 LT 디럭스팩,가솔린,91732,2014,쥐색,경남,단순교환,850
2172,기아,더 뉴 모하비,디젤 3.0 4WD프레지던트,디젤,78787,2017,청색,충남,무사고,2920
2173,현대,제네시스 DH,G330 프리미엄,가솔린,122206,2016,검정색,경남,단순사고(접촉),1850
2174,기아,포르테 쿱,1.6 GDI 럭셔리,가솔린,59606,2012,검정색,경남,단순교환,580
2175,현대,더 뉴 아반떼 AD,1.6스마트,가솔린,22234,2019,청색,경기/인천,무사고,1730
2176,기아,더 뉴 스포티지 R,디젤 2WD 프레스티지,디젤,131721,2014,흰색,경북,무사고,1100
2177,현대,LF 쏘나타,2.0 케어플러스,가솔린,68706,2017,쥐색,경북,무사고,1590
2178,현대,아반떼 AD,1.6 GDI 모던스페셜,가솔린,69703,2016,흰색,경남,단순교환,1360
2179,기아,올 뉴 프라이드,1.4 MPI 세단스마트,가솔린,124888,2014,쥐색,전남,무사고,560
2180,벤츠,GLE-클래스 W166,GLE350 d 4MATIC,디젤,56309,2018,검정색,서울,무사고,6220
2181,쉐보레(GM대우),트레일블레이저,1.3 가솔린 터보 2WDRS,가솔린,7950,2020,흰색,경기/인천,무사고,2490
2182,현대,아반떼 AD,1.6 GDI 모던세부등급 없음,가솔린,55809,2016,쥐색,경기/인천,단순교환,1310
2183,현대,제네시스 DH,G330 프리미엄 AWD,가솔린,85033,2016,검정색,충남,단순교환,2370
2184,폭스바겐,T-Roc,2.0 디젤프레스티지,디젤,9524,2021,흰색,경기/인천,무사고,3350
2185,현대,아슬란,G300 익스클루시브,가솔린,106903,2016,검정색,경기/인천,단순교환,1720
2186,제네시스,G80,3.3 GDI럭셔리,가솔린,101500,2018,검정색,경북,무사고,2670
2187,기아,더 뉴 쏘렌토,디젤 2.0 4WD노블레스,디젤,86884,2019,쥐색,경기/인천,무사고,2520
2188,현대,쏘나타 뉴 라이즈,2.0 모던,가솔린,95129,2019,검정색,경기/인천,무사고,1630
2189,르노삼성,SM6,2.0 LPe RE (장애인용),LPG,79388,2016,연금색,경기/인천,무사고,1410
2190,현대,쏘나타 뉴 라이즈,2.0 모던,가솔린,100325,2018,검정색,경기/인천,무사고,1460
2191,현대,그랜저 HG,HG300 프리미엄 컬렉션,가솔린,59585,2017,쥐색,전남,무사고,1670
2192,현대,그랜저 IG,2.4 프리미엄스페셜,가솔린,79114,2018,검정색,충남,단순교환,2040
2193,쉐보레(GM대우),더 뉴 트랙스,1.4 LTZ,가솔린,43136,2017,흰색,충남,무사고,1520
2194,현대,그랜저 IG,2.4 프리미엄스페셜,가솔린,47347,2017,쥐색,경남,무사고,2430
2195,미니,쿠퍼 클럽맨(2세대),High,가솔린,44960,2019,갈색,서울,무사고,2800
2196,푸조,508 2세대,2.0 BlueHDi 알뤼르,디젤,16304,2019,흰색,경기/인천,무사고,2950
2197,르노삼성,뉴SM5(신형),SE 플러스,가솔린,54423,2012,은색,경기/인천,무사고,650
2198,쉐보레(GM대우),임팔라,3.6 LTZ,가솔린,80699,2016,검정색,경기/인천,무사고,1530
2199,쌍용,티볼리,VX 2WD,가솔린,24337,2017,흰색,서울,단순교환,1390
2200,기아,모닝 어반,가솔린 1.0밴 스페셜,가솔린,1645,2022,은색,전남,무사고,1230
2201,BMW,5시리즈 (G30),520i 럭셔리,가솔린,24823,2020,은색,경기/인천,무사고,4760
2202,쌍용,티볼리 에어,디젤 IX 2WD,디젤,28432,2018,청색,경기/인천,단순교환,1450
2203,현대,그랜저 IG,3.0 LPi 익스클루시브 (렌터카용),LPG,94266,2018,검정색,서울,무사고,2330
2204,기아,더 뉴 K5 2세대,2.0프레스티지,가솔린,8032,2020,쥐색,경북,무사고,2140
2205,현대,베뉴,1.6 플럭스,가솔린,15898,2020,검정색,경기/인천,단순교환,1990
2206,르노삼성,더 뉴 QM6,가솔린 2WD2.0 GDe RE 시그니쳐,가솔린,38780,2020,검정색,경남,무사고,2520
2207,르노삼성,SM6,2.0 LPe PE (렌터카),LPG,129499,2017,흰색,경기/인천,무사고,970
2208,현대,그랜저 IG 하이브리드,익스클루시브세부등급 없음,가솔린+전기,26353,2019,진주색,경기/인천,단순사고(접촉),3090
2209,르노삼성,SM3 네오,RE,가솔린,26960,2015,은색,서울,무사고,950
2210,아우디,뉴 A6 (C7),40 TFSI 프리미엄C7,가솔린,47521,2018,흰색,서울,무사고,3650
2211,기아,K5 3세대,가솔린 2.0시그니처,가솔린,34011,2020,흰색,경기/인천,단순교환,2630
2212,BMW,5시리즈 (G30),520d xDrive 럭셔리 플러스,디젤,49952,2018,흰색,경기/인천,무사고,4540
2213,쌍용,티볼리,LX 2WD최고급형,가솔린,49854,2015,흰색,서울,단순교환,1390
2214,쌍용,티볼리 에어,디젤 IX 2WD,디젤,64578,2017,흰색,서울,무사고,1450
2215,기아,더 뉴 카니발,9인승 프레스티지,디젤,24446,2019,진주색,경기/인천,단순사고(접촉),2750
2216,르노삼성,QM6,디젤 4WD RE 시그니처,디젤,57368,2017,흰색,경남,단순교환,1960
2217,현대,싼타페 TM,디젤 2.2 2WD프레스티지,디젤,52859,2019,진주색,서울,무사고,2990
2218,쉐보레(GM대우),올란도,2.0 디젤 LS고급형,디젤,51365,2015,쥐색,경남,단순교환,900
2219,기아,모닝 어반,가솔린 1.0프레스티지,가솔린,7238,2021,진주색,경남,무사고,1260
2220,현대,쏘나타 뉴 라이즈,2.0 프리미엄 스페셜,가솔린,82298,2018,청색,경북,무사고,1830
2221,쌍용,티볼리,LX 2WD세부등급 없음,가솔린,73365,2016,흰색,경기/인천,단순교환,1310
2222,현대,제네시스,BH330 모던기본형,가솔린,104028,2013,흰색,경남,단순교환,1170
2223,현대,그랜저 IG,2.4 프리미엄세부등급 없음,가솔린,16518,2018,검정색,경기/인천,무사고,2590
2224,쌍용,티볼리,LX 2WD고급형,가솔린,112056,2015,흰색,경북,단순교환,1130
2225,기아,K8,가솔린 2.5노블레스,가솔린,3627,2022,쥐색,경기/인천,무사고,3790
2226,기아,더 뉴 K5,럭셔리트랜디,가솔린,75992,2015,진주색,경기/인천,단순사고(접촉),1050
2227,기아,K5 2세대,LPI SX프레스티지,LPG,127421,2018,검정색,서울,무사고,1160
2228,기아,더 뉴 카니발,9인승 럭셔리,디젤,55084,2019,진주색,경기/인천,무사고,2180
2229,현대,아슬란,G330 프리미엄,가솔린,100013,2016,검정색,경북,무사고,1720
2230,르노삼성,XM3,가솔린 터보 1.3RE 시그니쳐,가솔린,9236,2020,흰색,충남,무사고,2430
2231,현대,아반떼 (CN7),가솔린 1.6모던,가솔린,20280,2021,흰색,충남,무사고,2130
2232,쉐보레(GM대우),트랙스,1.4 LTZ,가솔린,76638,2015,갈색,경남,단순교환,920
2233,르노삼성,SM3 네오,SE,가솔린,72246,2015,진주색,경남,무사고,680
2234,기아,K7 프리미어 하이브리드,시그니쳐,가솔린+전기,30103,2020,검정색,경기/인천,무사고,3660
2235,쌍용,베리 뉴 티볼리,1.5 가솔린 2WDV3,가솔린,3922,2021,흰색,충북,무사고,1870
2236,BMW,5시리즈 (G30),520i 럭셔리,가솔린,26688,2018,쥐색,서울,단순사고(접촉),4100
2237,현대,싼타페 더 프라임,디젤 2.0 2WD익스클루시브,디젤,59095,2016,청색,경기/인천,무사고,2170
2238,벤츠,S-클래스 W222,마이바흐 S500 4MATIC,가솔린,101342,2017,검정색,경기/인천,무사고,10230
2239,기아,스토닉,1.4 가솔린프레스티지,가솔린,19833,2019,쥐색,경남,단순교환,1800
2240,기아,셀토스,가솔린 터보 1.6 2WD노블레스,가솔린,27409,2020,청색,경북,무사고,2550
2241,벤츠,E-클래스 W213,E220d 4MATIC 익스클루시브,디젤,73567,2018,쥐색,경기/인천,무사고,4460
2242,폭스바겐,뉴 CC,2.0 TDI 블루모션,디젤,109843,2015,흰색,경기/인천,무사고,1460
2243,기아,더 뉴 K3 GT 2세대,1.6 터보 5도어시그니처,가솔린,3564,2022,빨간색,경북,무사고,2650
2244,현대,쏘나타 더 브릴리언트,LPI 프리미엄,LPG,64619,2013,흰색,경남,단순사고(접촉),920
2245,쉐보레(GM대우),더 넥스트 스파크,LT플러스,가솔린,10830,2018,쥐색,경기/인천,단순교환,880
2246,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,디젤,100571,2014,흰색,경북,무사고,1550
2247,쉐보레(GM대우),올란도,1.6 디젤 LTZ세이프티,디젤,53328,2016,갈색,경기/인천,무사고,1350
2248,르노삼성,더 뉴 QM6,LPG 2WD(일반인판매용)2.0 LPe RE 시그니쳐,LPG,57226,2020,검정색,경기/인천,무사고,2420
2249,현대,그랜저 IG,2.4 프리미엄세부등급 없음,가솔린,64170,2017,쥐색,경기/인천,단순사고(접촉),1990
2250,르노삼성,뉴QM3,RE세부등급 없음,디젤,67243,2018,흰색,경기/인천,단순교환,1290
2251,쌍용,티볼리 에어,가솔린 1.6 RX 4WD,가솔린,15747,2019,흰색,경기/인천,무사고,1950
2252,볼보,S90,D5 AWD 모멘텀,디젤,20433,2019,흰색,경북,무사고,4150
2253,기아,올 뉴 K3,럭셔리,가솔린,65875,2019,청색,경기/인천,무사고,1460
2254,르노삼성,SM6,2.0 LPe RE (장애인용),LPG,91085,2016,흰색,전남,단순사고(접촉),1420
2255,현대,그랜저 IG,2.4 프리미엄스페셜,가솔린,32180,2019,검정색,서울,무사고,2500
2256,기아,스포티지 더 볼드,가솔린 2.0 2WD시그니쳐,가솔린,22070,2020,흰색,경기/인천,무사고,2660
2257,현대,올 뉴 투싼,디젤 2.0 2WD스타일,디젤,46666,2016,흰색,경기/인천,무사고,1600
2258,제네시스,EQ900,3.3 T-GDI AWD프레스티지,가솔린,61540,2016,쥐색,경북,단순교환,4340
2259,기아,더 뉴 K5 2세대,2.0노블레스,가솔린,76240,2019,검정색,서울,무사고,1810
2260,르노삼성,SM7 노바,2.5 V6,가솔린,76997,2017,흰색,전북,무사고,1440
2261,제네시스,G80,3.3 GDI프레스티지,가솔린,68544,2018,쥐색,경기/인천,무사고,3190
2262,현대,포터2 CRDi 카고,초장축 더블캡스마트,디젤,56087,2019,흰색,경기/인천,단순교환,1680
2263,쉐보레(GM대우),어메이징 뉴 크루즈,1.4 터보 LTZ,가솔린,35729,2015,흰색,경기/인천,무사고,970
2264,르노삼성,QM3,RE,디젤,44640,2016,기타,경기/인천,무사고,1200
2265,기아,레이,프레스티지,가솔린,42766,2016,쥐색,경기/인천,단순사고(접촉),970
2266,기아,올 뉴 모닝,바이퓨얼 디럭스 스페셜,가솔린+LPG,72625,2013,은색,경북,무사고,590
2267,렉서스,LS500h 5세대,3.5 플래티넘 AWD,가솔린+전기,49209,2018,쥐색,경기/인천,무사고,8790
2268,벤츠,CLS-클래스 W218,CLS350 d 4MATIC,디젤,78638,2016,검정색,경남,무사고,3990
2269,기아,스토닉,1.6 디젤프레스티지,디젤,73985,2018,쥐색,경기/인천,무사고,1460
2270,기아,쏘렌토 4세대 하이브리드,가솔린 터보 1.6 2WD시그니처,가솔린+전기,22745,2021,흰색,경기/인천,무사고,4400
2271,쉐보레(GM대우),더 넥스트 스파크,LT플러스,가솔린,42628,2017,진주색,전남,단순교환,750
2272,폭스바겐,티구안 2세대,2.0 TDI 4모션 프레스티지,디젤,34039,2018,쥐색,전남,무사고,3200
2273,기아,더 뉴 니로,노블레스 스폐셜,가솔린+전기,23829,2020,진주색,경기/인천,무사고,2750
2274,기아,K5 2세대,1.6 터보 SX프레스티지,가솔린,107326,2016,청색,전남,무사고,1360
2275,현대,제네시스 쿠페,200 터보 P,가솔린,103261,2010,하늘색,서울,무사고,680
2276,르노삼성,SM6,1.6 TCe 프리미에르,가솔린,19745,2020,흰색,경기/인천,무사고,2290
2277,BMW,3시리즈 (F30),320d ED에디션,디젤,110303,2015,흰색,경북,무사고,1730
2278,르노삼성,SM6,2.0 프라임 SE,가솔린,43081,2019,진주색,서울,무사고,1560
2279,혼다,올뉴어코드,2.49세대,가솔린,98890,2014,흰색,경기/인천,단순사고(접촉),1050
2280,BMW,M5 (F10),M5 세단,가솔린,117042,2014,청색,서울,단순교환,3930
2281,현대,뉴 투싼 ix,디젤(e-VGT) 2WD스마트 스페셜,디젤,89841,2015,쥐색,경기/인천,단순교환,1150
2282,르노삼성,SM6,2.0 LPe LE (장애인용),LPG,101282,2017,쥐색,경기/인천,무사고,1320
2283,기아,K7 프리미어 하이브리드,시그니쳐,가솔린+전기,62390,2020,흰색,서울,무사고,3330
2284,르노삼성,QM6,가솔린 2WD RE 시그니처,가솔린,30129,2019,청색,경기/인천,단순교환,2290
2285,현대,LF 쏘나타,2.0 스마트세부등급 없음,가솔린,81515,2015,흰색,경남,무사고,1270
2286,기아,더 K9,3.8 GDI AWD플래티넘Ⅲ,가솔린,63326,2019,검정색,경북,무사고,4280
2287,현대,올 뉴 투싼,디젤 1.7 2WD모던,디젤,84685,2017,쥐색,경북,단순교환,1500
2288,미니,쿠퍼 클럽맨(2세대),S 젠틀맨 에디션,가솔린,65457,2016,담녹색,경기/인천,단순교환,2320
2289,기아,더 뉴 K5,LPI 디럭스,LPG,78308,2015,흰색,서울,무사고,880
2290,기아,더 뉴 니로,노블레스 스폐셜,가솔린+전기,28112,2020,흰색,경기/인천,무사고,2700
2291,제네시스,G80,3.3 GDI AWD럭셔리,가솔린,104760,2018,검정색,경북,무사고,2740
2292,랜드로버,레인지로버 4세대,4.4 SDV8 AB 디젤,디젤,107767,2015,검정색,경기/인천,무사고,6790
2293,르노삼성,뉴QM3,RE세부등급 없음,디젤,44081,2018,빨간색,서울,무사고,1390
2294,쉐보레(GM대우),말리부,2.0 LT 디럭스팩,가솔린,76830,2013,흰색,경기/인천,무사고,860
2295,르노삼성,XM3,가솔린 터보 1.3RE 시그니쳐,가솔린,13656,2020,흰색,경기/인천,무사고,2270
2296,기아,모하비,4WD KV300세부등급 없음,디젤,111220,2013,검정색,충남,무사고,1910
2297,현대,팰리세이드,가솔린 3.8 2WD프레스티지 (7인승),가솔린,24624,2019,쥐색,경남,무사고,3890
2298,BMW,3시리즈 GT (F34),GT 320d xDrive,디젤,103584,2015,청색,경기/인천,무사고,2130
2299,현대,LF 쏘나타 하이브리드,2.0 HEV모던,가솔린+전기,83150,2016,흰색,경기/인천,사고,1410
2300,기아,올 뉴 K3,럭셔리,가솔린,18689,2019,흰색,서울,무사고,1680
2301,제네시스,G70,2.0T슈프림,가솔린,34043,2018,검정색,경기/인천,무사고,3290
2302,쉐보레(GM대우),올 뉴 크루즈,1.4 터보 LT디럭스,가솔린,37419,2017,검정색,경기/인천,무사고,1320
2303,혼다,올뉴어코드,3.59세대,가솔린,108381,2013,은색,경기/인천,무사고,990
2304,기아,더 뉴 K5 2세대,2.0인텔리전트,가솔린,22661,2020,검정색,전남,단순교환,2220
2305,랜드로버,레인지로버 4세대,4.4 SDV8 Vogue SE 디젤,디젤,54048,2018,쥐색,경기/인천,무사고,11120
2306,기아,올 뉴 K7,2.4 GDI  노블레스,가솔린,48749,2019,검정색,경기/인천,무사고,2430
2307,현대,아반떼 MD,M16 GDI 스마트,가솔린,103366,2013,은색,경북,단순사고(접촉),720
2308,현대,쏘나타 뉴 라이즈,2.0 스마트,가솔린,45525,2018,흰색,전북,사고,1320
2309,제네시스,EQ900,3.8 GDI럭셔리,가솔린,63697,2018,검정색,경북,무사고,3750
2310,현대,그랜저 IG,2.4 프리미엄스페셜,가솔린,39741,2018,검정색,경남,단순교환,2490
2311,현대,싼타페 TM,가솔린 2.0T 2WD인스퍼레이션,가솔린,17333,2020,흰색,경기/인천,무사고,3490
2312,현대,코나,1.6 터보 2WD모던 초이스,가솔린,13659,2020,쥐색,서울,무사고,2070
2313,기아,올 뉴 모닝 (JA),프레스티지,가솔린,17509,2019,쥐색,경기/인천,무사고,1160
2314,현대,코나 하이브리드,가솔린 1.6 하이브리드프리미엄 스폐셜,가솔린+전기,19147,2020,흰색,경북,무사고,2770
2315,기아,카니발 R,그랜드 카니발 GLX최고급형,디젤,123542,2013,은색,경남,단순교환,990
2316,현대,싼타페 더 프라임,디젤 2.0 2WD밸류 플러스,디젤,26268,2018,검정색,충남,무사고,2350
2317,기아,올 뉴 프라이드,1.6 GDI 해치백프레스티지 에코플러스,가솔린,143937,2013,빨간색,경남,무사고,660
2318,현대,그랜저 HG,HG240 럭셔리,가솔린,78770,2012,은색,경기/인천,무사고,970
2319,현대,더 뉴 그랜저 하이브리드,가솔린 2.4 하이브리드익스클루시브,가솔린+전기,36169,2020,검정색,경기/인천,무사고,3890
2320,BMW,4시리즈 (F32),420d xDrive 스포츠 그란쿠페,디젤,113702,2016,흰색,서울,무사고,2350
2321,현대,제네시스,BH330 프리미엄기본형,가솔린,103499,2013,검정색,경기/인천,무사고,1420
2322,현대,i30 cw,1.6 VVT 럭셔리,가솔린,101888,2010,흰색,경기/인천,단순교환,620
2323,쉐보레(GM대우),트랙스,1.4 LTZ,가솔린,74576,2015,흰색,경남,무사고,1100
2324,기아,올 뉴 모닝 (JA),럭셔리,가솔린,28946,2017,흰색,충남,무사고,880
2325,현대,그랜저 IG,2.4 익스클루시브 스페셜,가솔린,9787,2019,흰색,경기/인천,무사고,2890
2326,기아,K5 2세대,2.0 MX노블레스 스페셜,가솔린,49524,2016,검정색,경기/인천,단순사고(접촉),1550
2327,르노삼성,SM6,2.0 GDe LE,가솔린,74846,2019,흰색,경기/인천,무사고,1860
2328,현대,더 뉴 그랜저,가솔린 2.5캘리그래피,가솔린,7030,2020,쥐색,경북,무사고,3890
2329,현대,아반떼 (CN7),가솔린 1.6인스퍼레이션,가솔린,18906,2021,은회색,경북,단순사고(접촉),2170
2330,쉐보레(GM대우),말리부,2.0 LT 디럭스팩,가솔린,90647,2016,은색,충남,무사고,900
2331,현대,아반떼 MD,M16 GDI 프리미어,가솔린,60790,2010,흰색,경기/인천,무사고,810
2332,렉서스,뉴 ES300h,이그제큐티브XV60,가솔린+전기,102507,2017,쥐색,경기/인천,무사고,3100
2333,쌍용,렉스턴 스포츠 칸,디젤 2.2 4WD (다이내믹 5링크)프레스티지 스페셜,디젤,9245,2021,쥐색,충북,무사고,3120
2334,현대,그랜저 HG,HG240 모던,가솔린,123537,2016,흰색,경남,무사고,1310
2335,르노삼성,SM6,2.0 GDe RE,가솔린,76983,2016,검정색,경남,단순교환,1380
2336,쉐보레(GM대우),더 뉴 아베오 세단,1.4 터보 LT,가솔린,71166,2018,빨간색,서울,무사고,810
2337,BMW,5시리즈 (G30),530i xDrive M 스포츠 플러스,가솔린,34009,2017,흰색,서울,무사고,4840
2338,현대,그랜저 HG,HG240 모던,가솔린,106906,2014,검정색,경기/인천,단순교환,940
2339,미니,쿠퍼 클럽맨(2세대),기본형,가솔린,40434,2018,검정색,경기/인천,무사고,2540
2340,쉐보레(GM대우),더 넥스트 스파크,LT플러스,가솔린,38862,2017,진주색,경북,무사고,750
2341,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,가솔린,109263,2013,쥐색,경기/인천,단순사고(접촉),1110
2342,인피니티,Q70,3.7 스타일,가솔린,35051,2017,검정색,경기/인천,무사고,2250
2343,쉐보레(GM대우),어메이징 뉴 크루즈,2.0 디젤 LT 디럭스팩,디젤,102759,2015,쥐색,경기/인천,단순교환,680
2344,현대,더 뉴 아반떼 AD,1.6 LPi스타일(렌터카용),LPG,13507,2019,흰색,경남,무사고,1500
2345,기아,포르테,1.6 GDI 럭셔리기본형,가솔린,39384,2013,은색,경북,단순교환,630
2346,현대,그랜저 HG,HG240 모던,가솔린,122689,2016,은회색,경남,무사고,1190
2347,현대,그랜저 IG,3.0 익스클루시브세부등급 없음,가솔린,67242,2018,검정색,서울,무사고,2270
