,brand,name,info,type,km,year,color,location,accident,price
56,현대,코나 하이브리드,가솔린 1.6 하이브리드프리미엄 스폐셜,가솔린+전기,19488,2020,쥐색,서울,무사고,2560
57,벤츠,GLE-클래스 W166,GLE350 d 4MATIC 쿠페,디젤,114997,2017,흰색,서울,무사고,5390
58,기아,K8,가솔린 2.5시그니처,가솔린,3883,2022,쥐색,경기/인천,무사고,4370
59,르노삼성,SM6,2.0 LPe LE (장애인용),LPG,91657,2017,흰색,경기/인천,무사고,1430
60,기아,더 뉴 니로,노블레스 스폐셜,가솔린+전기,13548,2021,쥐색,경기/인천,무사고,2860
61,쉐보레(GM대우),더 넥스트 스파크,LT플러스,가솔린,9626,2018,진주색,경기/인천,단순교환,860
62,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,가솔린,97878,2013,흰색,경기/인천,단순사고(접촉),1120
63,르노삼성,QM6,디젤 2WD RE 시그니처,디젤,88478,2017,쥐색,경기/인천,무사고,1860
64,현대,더 뉴 아반떼 AD,1.6스마트,가솔린,40723,2019,쥐색,경남,단순교환,1670
65,BMW,5시리즈 (G30),520d xDrive 럭셔리 플러스,디젤,78547,2018,쥐색,경기/인천,무사고,4050
66,쉐보레(GM대우),더 뉴 스파크,LS세부등급 없음,가솔린,15673,2019,쥐색,경기/인천,무사고,780
67,쉐보레(GM대우),올 뉴 말리부,2.0 터보 퍼펙트 블랙,가솔린,58223,2018,검정색,경기/인천,무사고,1920
68,BMW,5시리즈 GT (F07),GT ED Edition 럭셔리,디젤,102751,2014,은색,경북,무사고,2580
69,포드,익스플로러,2.3 리미티드 4WD5세대,가솔린,67563,2016,쥐색,경기/인천,무사고,2840
70,기아,셀토스,가솔린 터보 1.6 4WD노블레스,가솔린,47363,2020,쥐색,경북,무사고,2700
71,기아,올 뉴 카니발,가솔린 9인승 노블레스,가솔린,49855,2016,흰색,경기/인천,무사고,2540
72,포르쉐,718 박스터,2.0,가솔린,30481,2018,빨간색,경기/인천,무사고,8400
73,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,가솔린,117016,2014,은색,경기/인천,무사고,1160
74,쉐보레(GM대우),더 뉴 트랙스,1.4 LT디럭스,가솔린,61245,2018,검정색,서울,무사고,1390
75,현대,아반떼 AD,1.6 터보 스포츠7DCT,가솔린,103418,2017,쥐색,경기/인천,단순교환,1290
76,피아트,500X,2.0 디젤 크로스 AWD,디젤,96485,2016,흰색,경기/인천,단순교환,1300
77,쉐보레(GM대우),올 뉴 말리부,1.5 터보 LTZ세부등급 없음,가솔린,129389,2017,흰색,경기/인천,무사고,1470
78,현대,LF 쏘나타,2.0 스타일스페셜,가솔린,79060,2016,흰색,경기/인천,단순교환,1320
79,BMW,X5 (F15),xDrive 40e i퍼포먼스,가솔린+전기,43545,2018,흰색,경남,무사고,6750
80,기아,올 뉴 K3,프레스티지,가솔린,33838,2019,진주색,경기/인천,무사고,1830
81,현대,포터2 CRDi 카고,초장축 더블캡모던,디젤,39544,2019,흰색,경기/인천,무사고,1810
82,미니,쿠퍼 클럽맨(2세대),기본형,가솔린,7156,2020,쥐색,전남,무사고,3050
83,현대,LF 쏘나타,2.0 스마트세부등급 없음,가솔린,47367,2016,흰색,충북,사고,1330
84,쉐보레(GM대우),캡티바,2WD LT 디럭스팩,디젤,40562,2018,쥐색,경기/인천,무사고,1820
85,혼다,어코드 10세대,2.0 하이브리드 투어링,가솔린+전기,41656,2018,흰색,서울,무사고,3100
86,도요타,RAV4,2.5 2WD5세대,가솔린,28143,2019,흰색,경기/인천,무사고,2870
87,현대,그랜저 IG,2.4 스페셜,가솔린,74311,2018,검정색,서울,단순교환,2490
88,현대,아반떼 AD,1.6 GDI 스마트세부등급 없음,가솔린,38690,2016,은색,경기/인천,단순사고(접촉),1150
89,현대,아반떼 AD,1.6 GDI 스타일,가솔린,68895,2018,은색,경남,무사고,1150
90,벤츠,CLS-클래스 W218,CLS250 d 4MATIC AMG Line,디젤,90958,2017,흰색,서울,무사고,4240
91,현대,벨로스터-N,T-Gdi 2.0N 퍼포먼스패키지,가솔린,34366,2019,흰색,경남,무사고,2590
92,기아,올 뉴 카니발,7인승 리무진프레지던트,디젤,59384,2016,검정색,전남,단순교환,2490
93,제네시스,G80,3.3 GDI AWD럭셔리,가솔린,60086,2017,쥐색,서울,무사고,2870
94,현대,쏘나타 뉴 라이즈,LPI 스타일,LPG,103277,2018,검정색,경남,무사고,1270
95,현대,그랜저 IG,2.4 프리미엄스페셜,가솔린,64904,2018,검정색,경기/인천,무사고,2380
96,기아,모닝 어반,가솔린 1.0밴,가솔린,3830,2021,쥐색,경기/인천,무사고,900
97,르노삼성,All New SM7,LE기본형,가솔린,132394,2014,진주색,충남,무사고,850
98,BMW,5시리즈 (G30),520d M 스포츠,디젤,29696,2017,쥐색,서울,무사고,4200
99,쉐보레(GM대우),더 뉴 스파크,밴세부등급 없음,가솔린,80,2021,흰색,경기/인천,무사고,940
100,기아,올 뉴 카니발,가솔린 7인승 리무진프레지던트,가솔린,77033,2017,흰색,경기/인천,무사고,2690
101,현대,벨로스터 (JS),1.4 터보 모던코어,가솔린,58604,2019,청색,경북,무사고,1540
102,쉐보레(GM대우),스파크,LS스타,가솔린,42483,2012,하늘색,경기/인천,단순교환,440
103,현대,LF 쏘나타,2.0 프리미엄세부등급 없음,가솔린,69065,2015,은색,경기/인천,무사고,1590
104,현대,더 뉴 맥스크루즈,가솔린 3.3 4WD프레스티지,가솔린,92751,2016,흰색,경기/인천,무사고,2340
105,현대,LF 쏘나타,2.0 스타일스페셜,가솔린,104941,2017,흰색,경기/인천,무사고,1250
106,현대,YF 쏘나타,Y20 탑고급형,가솔린,107564,2010,은색,경남,무사고,760
107,르노삼성,더 뉴 QM6,LPG 2WD(일반인판매용)2.0 LPe RE 시그니쳐,LPG,7397,2020,흰색,경남,무사고,2490
108,기아,K7 프리미어 하이브리드,노블레스,가솔린+전기,12550,2020,진주색,경기/인천,무사고,3640
