,name,brand,color,fuel,accident,price,mile,model
6999,더 뉴 스파크,쉐보레(GM대우),흰색,가솔린,무사고,940,80,밴세부등급 없음
7000,뉴SM3,르노삼성,은색,가솔린,단순교환,540,35071,RE
7001,K7 프리미어 하이브리드,기아,검정색,가솔린+전기,무사고,3590,32948,시그니쳐
7002,올 뉴 K7,기아,검정색,가솔린,단순교환,2310,70445,3.0 GDI 노블레스
7003,더 뉴 쏘렌토,기아,검정색,디젤,무사고,2720,70421,디젤 2.0 2WD노블레스
7004,쏘나타 DN8,현대,검정색,가솔린,무사고,2770,20161,2.0 가솔린인스퍼레이션
7005,K7 프리미어,기아,검정색,가솔린,무사고,3120,14742,가솔린 2.5X 에디션
7006,CLS-클래스 W218,벤츠,검정색,가솔린,무사고,4050,93562,CLS400
7007,더 뉴 아반떼,현대,쥐색,가솔린,단순교환,1060,73734,1.6 GDi 텐밀리언 리미티드기본형
7008,K5 2세대,기아,흰색,가솔린,단순교환,1480,53779,2.0 MX프레스티지
7009,스토닉,기아,쥐색,가솔린,사고,1630,20691,1.4 가솔린프레스티지
7010,올란도,쉐보레(GM대우),은색,LPG,단순사고(접촉),1370,53463,LPG LT세이프티팩
7011,제네시스 DH,현대,검정색,가솔린,단순교환,2270,59963,G330 모던 AWD
7012,뉴 캠리,도요타,쥐색,가솔린,무사고,990,98125,2.5 XLE
7013,그랜저 HG,현대,은색,LPG,무사고,1220,112260,LPG HG300 모던
7014,스파크,쉐보레(GM대우),흰색,가솔린,단순교환,520,54291,스파크 SLS+
7015,쏘나타 뉴 라이즈,현대,검정색,LPG,무사고,1230,110023,LPI 스타일
7016,아반떼 AD,현대,흰색,가솔린,단순사고(접촉),1170,105712,1.6 GDI 모던스페셜
7017,쏘나타 DN8,현대,흰색,가솔린,무사고,2660,25420,2.0 가솔린인스퍼레이션
7018,올 뉴 카니발,기아,흰색,디젤,단순교환,1990,104805,9인승 노블레스
7019,YF 쏘나타,현대,은회색,가솔린,단순교환,870,58648,CVVL 탑
7020,RAV4,도요타,흰색,가솔린,무사고,1340,63832,2.5 4WD3세대
7021,올 뉴 K7 하이브리드,기아,흰색,가솔린+전기,무사고,2740,33354,노블레스
7022,렉스턴 W,쌍용,쥐색,디젤,무사고,1740,48206,2.2 4WD RX7럭셔리
7023,EQ900,제네시스,검정색,가솔린,단순교환,4190,109720,3.8 GDI AWD프레스티지
7024,CLS-클래스 W218,벤츠,검정색,디젤,무사고,3990,78638,CLS350 d 4MATIC
7025,NF 쏘나타 트랜스폼,현대,흰색,가솔린,무사고,450,114904,N20 엘레강스 스페셜고급형
7026,맥시마 (A36),닛산,쥐색,가솔린,무사고,1600,107038,3.5 플래티넘
7027,올 뉴 말리부,쉐보레(GM대우),흰색,가솔린,무사고,1700,30752,2.0 터보 LT프리미엄
