,brand,name,year,info,km,location,price,type,color,websites
0,기아,더 뉴 레이,18/10식,트렌디,"18,445km",경기,"1,180",가솔린,흰색,Ncar
1,현대,아반떼 AD,17/03식,1.6 GDI 스마트,"73,904km",경기,"1,230",가솔린,흰색,Ncar
2,쉐보레(GM대우),올 뉴 말리부,16/08식(17년형),2.0 터보 LTZ,"40,563km",경기,"1,750",가솔린,흰색,Ncar
3,쉐보레(GM대우),더 뉴 스파크,20/03식,밴,"27,033km",경기,770,가솔린,흰색,Ncar
4,기아,K5 2세대,15/09식(16년형),2.0 MX,"31,974km",부산,"1,710",가솔린,흰색,Ncar
5,기아,스포티지 4세대,16/11식(17년형),디젤 1.7 2WD 트렌디,"25,208km",대구,"1,670",디젤,흰색,Ncar
6,기아,더 뉴 K3,17/07식(18년형),트렌디,"33,600km",대구,"1,350",가솔린,흰색,Ncar
7,현대,아반떼 AD,18/08식,1.6 e-VGT 스마트,"15,144km",대구,"1,520",디젤,흰색,Ncar
8,기아,올 뉴 프라이드,13/01식,1.6 GDI 해치백,"14,515km",경기,860,가솔린,흰색,Ncar
9,르노삼성,SM6,16/05식,1.6 TCe RE,"130,353km",경기,"1,150",가솔린,흰색,Ncar
10,기아,레이,15/12식(16년형),프레스티지,"42,114km",경기,630,가솔린,흰색,Ncar
11,쉐보레(GM대우),스파크,11/10식(12년형),LT,"70,665km",경기,210,가솔린,흰색,Ncar
12,,,,,,,,,흰색,Ncar
13,기아,올 뉴 모닝,13/09식(14년형),스마트,"75,710km",경기,270,가솔린,흰색,Ncar
14,기아,K5,11/01식,2.4 GDI 노블레스,"155,170km",경기,620,가솔린,흰색,Ncar
15,쉐보레(GM대우),스파크,12/11식,LS,"126,033km",경기,250,가솔린,흰색,Ncar
16,쉐보레(GM대우),더 넥스트 스파크,16/02식,에코 LTZ,"47,900km",경기,800,가솔린,흰색,Ncar
17,기아,올 뉴 모닝 (JA),18/08식,럭셔리,"28,083km",경기,830,가솔린,흰색,Ncar
18,쉐보레(GM대우),라세티 프리미어,10/08식,1.8 CDX ID,"191,302km",경기,229,가솔린,흰색,Ncar
19,르노삼성,뉴SM5(신형),10/10식,LPLI LE,"92,423km",경기,509,LPG(일반인 구입),흰색,Ncar
20,쉐보레(GM대우),더 넥스트 스파크,16/07식(17년형),LT,"39,436km",경기,800,가솔린,흰색,Ncar
21,기아,올 뉴 모닝 (JA),17/06식,밴,"93,248km",광주,520,가솔린,흰색,Ncar
22,기아,뉴 쏘렌토 R,13/09식(14년형),디젤 2.0 2WD,"138,858km",대전,"9,999",디젤,흰색,Ncar
23,쉐보레(GM대우),마티즈 크리에이티브,10/10식(11년형),재즈,"61,662km",서울,290,가솔린,흰색,Ncar
24,현대,그랜저 HG,15/04식,HG220 디젤 모던,"142,977km",경기,"1,199",디젤,흰색,Ncar
25,기아,K5 2세대,15/09식(16년형),2.0 터보 SX,"152,000km",인천,"1,299",가솔린,흰색,Ncar
26,기아,더 뉴 쏘렌토,18/05식(19년형),디젤 2.0 2WD,"139,000km",인천,"2,499",디젤,흰색,Ncar
27,기아,K5 2세대,15/12식(16년형),1.7 디젤 MX,"115,000km",인천,"1,399",디젤,흰색,Ncar
28,현대,아반떼 AD,17/06식(18년형),1.6 GDI 밸류 플러스,"8,325km",서울,"1,490",가솔린,흰색,Ncar
29,현대,YF 쏘나타,09/11식(10년형),LPI 프리미어(장애인용),"293,344km",경기,299,LPG(일반인 구입),흰색,Ncar
30,현대,베라크루즈,08/07식,디젤 2WD 300VX,"220,263km",경기,599,디젤,흰색,Ncar
31,기아,더 프레스티지 K7,11/09식(12년형),2.4 GDI 디럭스,"224,054km",경기,349,가솔린,흰색,Ncar
32,제네시스,G80,17/09식(18년형),3.3 GDI AWD,"78,694km",인천,"2,899",가솔린,흰색,Ncar
33,현대,제네시스 쿠페,11/03식,200 터보 P,"131,000km",인천,399,가솔린,흰색,Ncar
34,르노삼성,XM3,20/07식,1.6 GTe LE,"10,009km",경기,"1,720",가솔린,흰색,Ncar
35,쉐보레(GM대우),더 넥스트 스파크,16/04식,패션,"40,246km",경기,749,가솔린,흰색,Ncar
36,기아,올 뉴 모닝 (JA),17/09식,밴,"48,889km",경기,580,가솔린,흰색,Ncar
37,르노삼성,SM3 네오,17/07식,SE,"57,983km",경기,920,가솔린,흰색,Ncar
38,현대,쏘나타 (DN8),19/04식(20년형),2.0 LPG(렌터카용),"53,096km",경기,"1,990",LPG(일반인 구입),흰색,Ncar
39,현대,엑센트(신형),13/10식(14년형),1.4 VVT 모던,"98,295km",광주,690,가솔린,흰색,Ncar
40,르노삼성,SM5 노바,16/04식,LE,"52,244km",대전,"1,230",가솔린,흰색,Ncar
41,기아,올 뉴 모닝,13/12식(14년형),밴,"111,318km",인천,"9,999",가솔린,흰색,Ncar
42,기아,더 뉴 레이,19/04식,밴,"21,275km",경기,"1,020",가솔린,흰색,Ncar
43,기아,뉴 쏘렌토 R,14/03식,디젤 2.0 2WD,"115,525km",대전,"1,350",디젤,흰색,Ncar
44,기아,더 뉴 니로,19/05식(20년형),1.6 HEV,"5,502km",경기,"2,950",가솔린+전기,흰색,Ncar
45,르노삼성,SM5 노바,18/10식,LPLi 택시렌터카 고급형,"77,455km",경기,970,LPG(일반인 구입),흰색,Ncar
46,쉐보레(GM대우),더 넥스트 스파크,17/09식(18년형),LTZ,"25,986km",서울,820,가솔린,흰색,Ncar
47,기아,스포티지 4세대,16/05식,디젤 2.0 2WD 프레스티지,"83,131km",광주,"1,620",디젤,흰색,Ncar
48,쌍용,코란도 스포츠,14/03식,CX7 4WD,"66,181km",경기,"1,470",디젤,흰색,Ncar
49,기아,더 뉴 K5,14/11식(15년형),럭셔리,"96,899km",경기,"1,230",가솔린,흰색,Ncar
50,쉐보레(GM대우),알페온,13/04식,EL300,"72,054km",경기,"1,150",가솔린,흰색,Ncar
51,기아,올 뉴 K7 하이브리드,18/04식,노블레스,"58,829km",서울,"2,730",가솔린+전기,흰색,Ncar
52,쌍용,베리 뉴 티볼리,21/05식(22년형),가솔린 1.5 2WD,"3,376km",경기,"2,310",가솔린,흰색,Ncar
53,현대,팰리세이드,19/10식,디젤 2.2 2WD,"24,545km",경기,"3,890",디젤,흰색,Ncar
54,현대,더 뉴 아반떼,15/01식,1.6 LPi 스마트,"108,080km",경기,900,LPG(일반인 구입),흰색,Ncar
55,쉐보레(GM대우),뉴 다마스,18/07식,2인승 판넬밴,"28,795km",경기,700,LPG(일반인 구입),흰색,Ncar
56,쌍용,코란도 스포츠,16/05식,CX7 4WD,"84,942km",경기,"1,580",디젤,흰색,Ncar
57,현대,더 뉴 아반떼 AD,19/02식,1.6,"41,022km",경기,"1,660",가솔린,흰색,Ncar
58,르노삼성,XM3,21/03식,1.6 GTe LE Plus,"8,022km",광주,"2,090",가솔린,흰색,Ncar
59,르노삼성,SM6,19/02식,2.0 GDe LE,"28,152km",경기,"1,970",가솔린,흰색,Ncar
60,현대,더 뉴 그랜저 IG,20/09식,3.0 LPi,"8,915km",서울,"3,849",LPG(일반인 구입),흰색,Ncar
61,기아,스팅어,17/06식(18년형),2.0 터보 2WD,"99,066km",경기,"2,300",가솔린,흰색,Ncar
62,쉐보레(GM대우),더 뉴 스파크,21/03식,프리미어,"2,710km",경기,"1,200",가솔린,흰색,Ncar
63,기아,더 뉴 레이,18/10식,트렌디,"18,445km",경기,"1,180",가솔린,흰색,Ncar
64,현대,아반떼 AD,17/03식,1.6 GDI 스마트,"73,904km",경기,"1,230",가솔린,흰색,Ncar
65,,,,,,,,,흰색,Ncar
66,쉐보레(GM대우),올 뉴 말리부,16/08식(17년형),2.0 터보 LTZ,"40,563km",경기,"1,750",가솔린,흰색,Ncar
67,현대,그랜저 HG,15/05식,HG220 디젤 프리미엄,"122,222km",대구,"1,490",디젤,흰색,Ncar
68,현대,그랜저 IG,17/09식(18년형),2.4 프리미엄,"51,670km",전북,"2,290",가솔린,흰색,Ncar
69,현대,그랜저 HG 하이브리드,14/01식,프리미엄,"140,975km",전북,"1,250",가솔린+전기,흰색,Ncar
70,쉐보레(GM대우),더 뉴 스파크,20/03식,밴,"27,033km",경기,770,가솔린,흰색,Ncar
71,기아,K5 2세대,15/09식(16년형),2.0 MX,"31,974km",부산,"1,710",가솔린,흰색,Ncar
72,기아,스포티지 4세대,16/11식(17년형),디젤 1.7 2WD 트렌디,"25,208km",대구,"1,670",디젤,흰색,Ncar
73,기아,더 뉴 K3,17/07식(18년형),트렌디,"33,600km",대구,"1,350",가솔린,흰색,Ncar
74,현대,아반떼 AD,18/08식,1.6 e-VGT 스마트,"15,144km",대구,"1,520",디젤,흰색,Ncar
75,쌍용,베리 뉴 티볼리,20/01식,가솔린 1.5 2WD,"26,790km",대구,"1,880",가솔린,흰색,Ncar
76,기아,올 뉴 프라이드,13/01식,1.6 GDI 해치백,"14,515km",경기,860,가솔린,흰색,Ncar
77,르노삼성,SM6,16/05식,1.6 TCe RE,"130,353km",경기,"1,150",가솔린,흰색,Ncar
78,기아,레이,15/12식(16년형),프레스티지,"42,114km",경기,630,가솔린,흰색,Ncar
79,쉐보레(GM대우),스파크,11/10식(12년형),LT,"70,665km",경기,210,가솔린,흰색,Ncar
80,기아,올 뉴 모닝,13/09식(14년형),스마트,"75,710km",경기,270,가솔린,흰색,Ncar
81,기아,K5,11/01식,2.4 GDI 노블레스,"155,170km",경기,620,가솔린,흰색,Ncar
82,쉐보레(GM대우),스파크,12/11식,LS,"126,033km",경기,250,가솔린,흰색,Ncar
83,쉐보레(GM대우),더 넥스트 스파크,16/02식,에코 LTZ,"47,900km",경기,800,가솔린,흰색,Ncar
84,기아,올 뉴 모닝 (JA),18/08식,럭셔리,"28,083km",경기,830,가솔린,흰색,Ncar
85,쉐보레(GM대우),라세티 프리미어,10/08식,1.8 CDX ID,"191,302km",경기,229,가솔린,흰색,Ncar
86,르노삼성,뉴SM5(신형),10/10식,LPLI LE,"92,423km",경기,509,LPG(일반인 구입),흰색,Ncar
87,쉐보레(GM대우),더 넥스트 스파크,16/07식(17년형),LT,"39,436km",경기,800,가솔린,흰색,Ncar
88,기아,올 뉴 모닝 (JA),17/06식,밴,"93,248km",광주,520,가솔린,흰색,Ncar
89,기아,뉴 쏘렌토 R,13/09식(14년형),디젤 2.0 2WD,"138,858km",대전,"9,999",디젤,흰색,Ncar
90,쉐보레(GM대우),마티즈 크리에이티브,10/10식(11년형),재즈,"61,662km",서울,290,가솔린,흰색,Ncar
91,현대,그랜저 HG,15/04식,HG220 디젤 모던,"142,977km",경기,"1,199",디젤,흰색,Ncar
92,기아,K5 2세대,15/09식(16년형),2.0 터보 SX,"152,000km",인천,"1,299",가솔린,흰색,Ncar
93,기아,더 뉴 쏘렌토,18/05식(19년형),디젤 2.0 2WD,"139,000km",인천,"2,499",디젤,흰색,Ncar
94,기아,K5 2세대,15/12식(16년형),1.7 디젤 MX,"115,000km",인천,"1,399",디젤,흰색,Ncar
95,현대,아반떼 AD,17/06식(18년형),1.6 GDI 밸류 플러스,"8,325km",서울,"1,490",가솔린,흰색,Ncar
96,현대,YF 쏘나타,09/11식(10년형),LPI 프리미어(장애인용),"293,344km",경기,299,LPG(일반인 구입),흰색,Ncar
97,현대,베라크루즈,08/07식,디젤 2WD 300VX,"220,263km",경기,599,디젤,흰색,Ncar
98,기아,더 프레스티지 K7,11/09식(12년형),2.4 GDI 디럭스,"224,054km",경기,349,가솔린,흰색,Ncar
99,제네시스,G80,17/09식(18년형),3.3 GDI AWD,"78,694km",인천,"2,899",가솔린,흰색,Ncar
100,현대,제네시스 쿠페,11/03식,200 터보 P,"131,000km",인천,399,가솔린,흰색,Ncar
101,기아,더 뉴 레이,19/04식,밴,"21,275km",경기,"1,020",가솔린,흰색,Ncar
102,기아,올 뉴 카니발,16/09식(17년형),9인승 하이리무진,"52,569km",경기,"2,740",디젤,흰색,Ncar
103,현대,올 뉴 투싼,16/07식(17년형),디젤 2.0 2WD,"115,016km",경기,"1,490",디젤,흰색,Ncar
104,현대,LF 쏘나타,17/06식,2.0 케어플러스,"24,757km",경기,"1,730",가솔린,흰색,Ncar
105,기아,더 뉴 쏘렌토,20/03식,디젤 2.2 2WD,"13,549km",경기,"3,210",디젤,흰색,Ncar
106,기아,레이,15/07식(16년형),럭셔리,"88,217km",경기,850,가솔린,흰색,Ncar
107,기아,레이,15/09식(16년형),터보 프레스티지,"25,120km",경기,"1,150",가솔린,흰색,Ncar
108,현대,그랜드 스타렉스,11/11식(12년형),12인승 왜건,"159,399km",충남,670,디젤,흰색,Ncar
109,쉐보레(GM대우),더 뉴 스파크,18/12식(19년형),프리미어,"40,000km",인천,790,가솔린,흰색,Ncar
110,현대,LF 쏘나타,16/08식(17년형),1.6 터보 스타일,"32,116km",경기,"1,710",가솔린,흰색,Ncar
111,기아,더 뉴 K7,14/09식(15년형),2.4 GDI 프레스티지,"78,539km",경기,"1,390",가솔린,흰색,Ncar
112,쉐보레(GM대우),더 넥스트 스파크,16/06식(17년형),LT,"27,460km",경북,720,가솔린,흰색,Ncar
113,쉐보레(GM대우),뉴 다마스,18/07식,2인승 판넬밴,"28,795km",경기,700,LPG(일반인 구입),흰색,Ncar
114,현대,그랜드 스타렉스,13/02식,12인승 왜건,"192,041km",광주,699,디젤,흰색,Ncar
115,쉐보레(GM대우),뉴 라보,11/04식(12년형),롱카고 SUPER,"160,605km",전북,389,LPG(일반인 구입),흰색,Ncar
116,현대,싼타페 CM,08/12식(09년형),2WD(2.0VGT) 스타일팩,"168,549km",광주,490,디젤,흰색,Ncar
117,현대,그랜드 스타렉스,15/08식(16년형),5인승 밴,"93,124km",광주,"1,430",디젤,흰색,Ncar
118,현대,투싼,09/02식,디젤(VGT) 2WD JX,"184,669km",부산,290,디젤,흰색,Ncar
119,쉐보레(GM대우),뉴 라보,16/02식,롱카고 DLX,"72,750km",광주,570,LPG(일반인 구입),흰색,Ncar
120,르노삼성,SM7 노바,17/08식,LPLI 2.0 LPe 장애인용,"59,283km",광주,"1,490",LPG(일반인 구입),흰색,Ncar
121,르노삼성,SM6,16/04식,2.0 GDe LE,"61,403km",대구,"1,379",가솔린,흰색,Ncar
122,기아,스포티지 4세대,17/03식,디젤 1.7 2WD 노블레스,"46,556km",광주,"1,750",디젤,흰색,Ncar
123,르노삼성,SM5 뉴 임프레션,07/07식(08년형),LE,"151,034km",경기,149,가솔린,흰색,Ncar
124,현대,쏘나타 하이브리드,12/01식,2.0,"190,153km",전북,570,가솔린+전기,흰색,Ncar
125,기아,K5,10/09식(11년형),2.0 디럭스,"180,908km",부산,520,가솔린,흰색,Ncar
126,기아,K3,12/09식(13년형),프레스티지,"42,755km",경기,"1,020",가솔린,흰색,Ncar
127,현대,그랜저 IG,18/02식,2.4 프리미엄,"33,383km",서울,"2,420",가솔린,흰색,Ncar
128,현대,더 뉴 아반떼 AD,18/11식(19년형),1.6,"54,607km",대전,"1,580",가솔린,흰색,Ncar
129,기아,모하비,14/01식,4WD KV300,"103,841km",서울,"2,080",디젤,흰색,Ncar
130,현대,그랜드 스타렉스,16/03식(17년형),3인승 밴,"94,817km",대구,"1,599",디젤,흰색,Ncar
131,쉐보레(GM대우),더 뉴 스파크,20/03식,프리미어,"10,282km",울산,"1,220",가솔린,흰색,Ncar
132,기아,셀토스,19/08식(20년형),가솔린 1.6 터보 2WD,"59,960km",광주,"2,250",가솔린,흰색,Ncar
133,쉐보레(GM대우),뉴 다마스,20/06식,5인승 코치,"20,233km",인천,740,LPG(일반인 구입),흰색,Ncar
134,,,,,,,,,흰색,Ncar
135,기아,더 뉴 K5,15/04식,프레스티지,"79,000km",전북,"1,430",가솔린,흰색,Ncar
136,기아,쏘울 EV,18/05식,EV,"35,457km",경기,"1,230",전기,흰색,Ncar
137,기아,셀토스,19/11식(20년형),가솔린 1.6 터보 2WD,"9,200km",서울,"2,550",가솔린,흰색,Ncar
138,현대,싼타페 TM,18/02식(19년형),디젤 2.0 2WD,"43,328km",부산,"2,850",디젤,흰색,Ncar
139,현대,그랜드 스타렉스,15/05식(16년형),4WD 11인승 왜건 HVX,"111,833km",경기,"1,650",디젤,흰색,Ncar
140,현대,아반떼 MD,13/02식,M16 GDI 에비뉴,"69,931km",경기,830,가솔린,흰색,Ncar
141,르노삼성,뉴SM5(신형),10/04식,LE,"62,780km",경기,430,가솔린,흰색,Ncar
142,기아,올 뉴 K3,18/06식(19년형),럭셔리,"118,930km",충남,"1,355",가솔린,흰색,Ncar
143,쌍용,코란도 스포츠,16/05식,CX7 4WD,"84,942km",경기,"1,580",디젤,흰색,Ncar
144,기아,K5 하이브리드,14/05식,500h 프레스티지,"151,340km",대전,930,가솔린+전기,흰색,Ncar
145,현대,아반떼 AD,16/12식(17년형),1.6 GDI 밸류 플러스,"125,674km",경기,"1,050",가솔린,흰색,Ncar
146,현대,LF 쏘나타,14/05식(15년형),LPI 프리미엄 스페셜,"77,297km",서울,"1,380",LPG(일반인 구입),흰색,Ncar
147,기아,스토닉,17/11식(18년형),디젤 1.6,"29,764km",서울,"1,657",디젤,흰색,Ncar
148,르노삼성,SM6,18/09식(19년형),2.0 GDe RE,"24,292km",경기,"1,920",가솔린,흰색,Ncar
149,현대,그랜저 HG,12/08식,HG240 럭셔리,"162,069km",충남,699,가솔린,흰색,Ncar
150,쌍용,티볼리 아머,19/02식,VX 2WD,"23,237km",광주,"1,580",가솔린,흰색,Ncar
151,기아,올 뉴 K3,18/07식(19년형),럭셔리,"61,050km",대전,"1,560",가솔린,흰색,Ncar
152,기아,쏘울,09/06식(10년형),1.6 2U,"34,953km",경기,699,가솔린,흰색,Ncar
153,현대,올 뉴 투싼,17/07식,디젤 2.0 2WD,"139,526km",경기,"1,400",디젤,흰색,Ncar
154,현대,더 뉴 아반떼 AD,20/02식,1.6,"80,241km",경기,"1,610",가솔린,흰색,Ncar
155,기아,올 뉴 K3,18/06식(19년형),럭셔리,"7,327km",대구,"1,599",가솔린,흰색,Ncar
156,쉐보레(GM대우),더 넥스트 스파크,17/08식,LTZ,"47,260km",부산,820,가솔린,흰색,Ncar
157,르노삼성,SM6,18/09식(19년형),2.0 GDe RE,"24,292km",경기,"1,920",가솔린,흰색,Ncar
158,쉐보레(GM대우),올 뉴 크루즈,17/12식,1.4 터보 LTZ,"60,286km",경기,"1,330",가솔린,흰색,Ncar
159,쉐보레(GM대우),말리부,15/11식,LPGi 2.0 LS,"59,765km",서울,"1,050",LPG(일반인 구입),흰색,Ncar
160,현대,아반떼 AD,16/06식(17년형),1.6 터보 스포츠,"70,177km",인천,"1,250",가솔린,흰색,Ncar
161,현대,YF 쏘나타,11/07식,Y20 프리미어,"174,323km",광주,550,가솔린,흰색,Ncar
162,기아,더 뉴 K5 2세대,18/03식(19년형),2.0 LPI 렌터카용,"57,698km",광주,"1,550",LPG(일반인 구입),흰색,Ncar
163,기아,올 뉴 K7,18/08식,2.4 월드컵 에디션,"100,519km",광주,"2,290",가솔린,흰색,Ncar
164,기아,K5 2세대,16/10식(17년형),1.7 디젤 MX,"101,696km",경기,"1,099",디젤,흰색,Ncar
165,현대,쏘나타 뉴 라이즈,19/01식,LPI 스타일,"60,453km",충북,"1,630",LPG(일반인 구입),흰색,Ncar
166,기아,쏘렌토 4세대,20/06식(21년형),디젤 2.2 2WD,"21,179km",인천,"2,480",디젤,흰색,Ncar
167,현대,그랜저 IG,18/08식(19년형),2.4 프리미엄,"8,781km",경기,"2,750",가솔린,흰색,Ncar
168,현대,제네시스 쿠페,09/07식(10년형),200 터보 P,"163,316km",충남,550,가솔린,흰색,Ncar
169,현대,아반떼 하이브리드,09/10식(10년형),HDeIII,"167,025km",경기,390,LPG+전기,흰색,Ncar
170,현대,그랜드 스타렉스,11/03식,12인승 왜건,"122,146km",경기,750,디젤,흰색,Ncar
171,쉐보레(GM대우),더 뉴 트랙스,17/08식(18년형),1.4 프리미어,"21,090km",서울,"1,720",가솔린,흰색,Ncar
172,기아,셀토스,19/10식(20년형),디젤 1.6 2WD,"16,483km",울산,"2,689",디젤,흰색,Ncar
173,기아,K3,12/09식(13년형),프레스티지,"42,755km",경기,"1,020",가솔린,흰색,Ncar
174,쉐보레(GM대우),올 뉴 말리부,17/06식,2.0 터보 LTZ,"38,144km",충남,"1,830",가솔린,흰색,Ncar
175,르노삼성,SM5 노바,18/10식,클래식,"73,802km",경기,"1,190",가솔린,흰색,Ncar
176,기아,뉴카니발,09/06식,9인승 디젤(VGT) GLX,"175,360km",경기,650,디젤,흰색,Ncar
177,기아,모하비,14/01식,4WD KV300,"103,841km",서울,"2,080",디젤,흰색,Ncar
178,르노삼성,SM6,16/10식,2.0 LPe LE (장애인용),"103,505km",부산,990,LPG(일반인 구입),흰색,Ncar
179,제네시스,G80,16/09식(17년형),3.3 GDI AWD,"81,586km",광주,"2,700",가솔린,흰색,Ncar
180,기아,K5 2세대,17/02식,2.0 SX,"116,682km",서울,"1,530",가솔린,흰색,Ncar
181,현대,싼타페 CM,09/05식,2WD(2.0VGT) CLX,"191,449km",전북,499,디젤,흰색,Ncar
182,쌍용,더 뉴 코란도 스포츠,16/10식(17년형),2.2 익스트림 4WD,"47,014km",대구,"2,190",디젤,흰색,Ncar
183,기아,올 뉴 카니발,17/04식(18년형),7인승 리무진,"65,482km",대구,"2,990",디젤,흰색,Ncar
184,제네시스,GV80,20/06식,3.5T 가솔린 AWD,"19,304km",경기,"7,120",가솔린,흰색,Ncar
185,현대,더 뉴 그랜드 스타렉스,18/10식(19년형),웨건 12인승,"40,352km",경기,"1,960",디젤,흰색,Ncar
186,기아,K3 쿱,14/02식,1.6 터보 프레스티지,"96,002km",서울,850,가솔린,흰색,Ncar
187,기아,셀토스,19/09식(20년형),가솔린 1.6 터보 2WD,"1,882km",서울,"2,680",가솔린,흰색,Ncar
188,르노삼성,QM6,17/10식(18년형),가솔린 2WD LE,"51,824km",경기,"1,770",가솔린,흰색,Ncar
189,쌍용,티볼리 에어,18/06식,가솔린 1.6 IX 2WD,"78,586km",광주,"1,470",가솔린,흰색,Ncar
190,기아,더 뉴 카니발,18/07식(19년형),9인승 하이리무진,"93,511km",경기,"3,599",디젤,흰색,Ncar
191,현대,싼타페 DM,13/07식(14년형),디젤(e-VGT) 2.0 2WD 프리미엄,"131,362km",대구,"1,340",디젤,흰색,Ncar
192,기아,K7,10/05식(11년형),LPI VG270 럭셔리,"183,868km",충남,680,LPG(일반인 구입),흰색,Ncar
193,현대,아반떼 MD,11/03식,M16 GDI 프리미어,"125,000km",경기,330,가솔린,흰색,Ncar
194,기아,K7 프리미어,19/09식(20년형),2.5 GDI 노블레스,"16,618km",경기,"3,080",가솔린,흰색,Ncar
195,르노삼성,뉴SM5(신형),11/05식,RE,"78,654km",부산,480,가솔린,흰색,Ncar
196,현대,아반떼 AD,16/12식(17년형),1.6 GDI 밸류 플러스,"125,674km",경기,"1,050",가솔린,흰색,Ncar
197,기아,더 뉴 K7,13/05식,LPI 3.0 럭셔리,"161,927km",대구,"1,050",LPG(일반인 구입),흰색,Ncar
198,기아,스포티지 4세대,17/01식,디젤 1.7 2WD 노블레스,"122,841km",대전,"1,430",디젤,흰색,Ncar
199,쌍용,G4 렉스턴,17/09식(18년형),디젤 2.2 4WD,"70,848km",대구,"2,530",디젤,흰색,Ncar
200,현대,올 뉴 투싼,17/07식(18년형),디젤 2.0 2WD,"93,000km",대구,"1,880",디젤,흰색,Ncar
201,,,,,,,,,흰색,Ncar
202,현대,아이오닉 일렉트릭,17/08식(18년형),I,"52,848km",경기,"1,839",전기,흰색,Ncar
203,르노삼성,뉴SM5(신형),11/01식,LPLI 택시렌터카 최고급형,"146,217km",광주,390,LPG(일반인 구입),흰색,Ncar
204,쉐보레(GM대우),볼트 EV,19/12식,EV LT 디럭스,"45,623km",충남,"2,420",전기,흰색,Ncar
205,기아,더 프레스티지 K7,11/08식(12년형),2.4 GDI 럭셔리,"185,663km",부산,580,가솔린,흰색,Ncar
206,르노삼성,QM5,10/06식,가솔린 2WD 씨티 LE25,"223,398km",경기,380,가솔린,흰색,Ncar
207,르노삼성,뉴SM3,11/09식,RE,"172,707km",충남,290,가솔린,흰색,Ncar
208,쉐보레(GM대우),올란도,14/09식(15년형),2.0 디젤 플래티넘 패키지,"101,950km",경기,930,디젤,흰색,Ncar
209,기아,더 뉴 쏘렌토,17/09식(18년형),디젤 2.2 4WD,"94,987km",경기,"2,290",디젤,흰색,Ncar
210,기아,더 뉴 레이,18/04식,럭셔리,"106,680km",경기,"1,020",가솔린,흰색,Ncar
211,기아,K5 3세대,20/01식,1.6 터보,"30,688km",경기,"2,590",가솔린,흰색,Ncar
212,기아,K3,15/03식,노블레스,"37,701km",경기,"1,320",가솔린,흰색,Ncar
213,현대,그랜저 HG,13/03식,HG240 모던,"145,629km",충남,"1,050",가솔린,흰색,Ncar
214,기아,더 뉴 K5,14/03식,럭셔리,"80,133km",서울,"1,199",가솔린,흰색,Ncar
215,현대,그랜드 스타렉스,17/05식,11인승 왜건,"92,330km",전북,"1,750",디젤,흰색,Ncar
216,기아,K5 하이브리드,13/10식(14년형),럭셔리,"95,082km",서울,930,가솔린+전기,흰색,Ncar
217,기아,카니발 4세대,20/10식(21년형),9인승 프레스티지,"31,266km",광주,"3,400",디젤,흰색,Ncar
218,현대,그랜저 HG,12/01식,LPG HG300 이그제큐티브,"185,824km",충남,970,LPG(일반인 구입),흰색,Ncar
219,제네시스,G80 (RG3),20/06식(21년형),가솔린 3.5 터보 AWD,"24,000km",경기,"6,200",가솔린,흰색,Ncar
220,르노삼성,QM6,17/10식(18년형),가솔린 2WD LE,"51,824km",경기,"1,770",가솔린,흰색,Ncar
221,쉐보레(GM대우),더 넥스트 스파크,17/06식,LTZ,"9,447km",경기,940,가솔린,흰색,Ncar
222,현대,더 뉴 맥스크루즈,15/10식(16년형),디젤 2.2 2WD,"79,321km",서울,"2,200",디젤,흰색,Ncar
223,현대,코나,18/02식,디젤 1.6 2WD,"52,625km",대구,"1,890",디젤,흰색,Ncar
224,기아,더 뉴 스포티지 R,14/10식(15년형),디젤 2WD 프레스티지,"74,844km",대구,"1,380",디젤,흰색,Ncar
225,현대,싼타페 TM,19/07식(20년형),가솔린 2.0T 2WD,"19,893km",경기,"3,390",가솔린,흰색,Ncar
226,쉐보레(GM대우),스파크,13/11식(14년형),LT,"86,522km",전북,480,가솔린,흰색,Ncar
227,쉐보레(GM대우),더 뉴 스파크,18/11식(19년형),프리미어,"11,239km",대구,"1,030",가솔린,흰색,Ncar
228,쉐보레(GM대우),스파크,13/01식,LT,"109,909km",대구,399,가솔린,흰색,Ncar
229,쌍용,코란도 스포츠,13/11식(14년형),CX7 4WD,"123,199km",경기,"1,120",디젤,흰색,Ncar
230,기아,셀토스,19/08식(20년형),가솔린 1.6 터보 2WD,"11,945km",경기,"2,750",가솔린,흰색,Ncar
231,현대,올 뉴 투싼,17/07식,디젤 2.0 2WD,"139,526km",경기,"1,400",디젤,흰색,Ncar
232,기아,올 뉴 모닝 (JA),18/05식,프레스티지,"15,500km",서울,"1,120",가솔린,흰색,Ncar
233,기아,K5 3세대,19/12식(20년형),2.0,"3,779km",서울,"3,350",가솔린,흰색,Ncar
234,현대,그랜저 HG,15/07식(16년형),HG220 디젤 프리미엄,"106,897km",경기,"1,700",디젤,흰색,Ncar
235,기아,올 뉴 K7,18/10식,3.3 GDI 리미티드 플러스,"40,300km",인천,"2,430",가솔린,흰색,Ncar
236,기아,K5 2세대,16/02식,2.0 MX,"51,996km",대전,"1,480",가솔린,흰색,Ncar
237,현대,싼타페 TM,19/10식(20년형),디젤 2.0 4WD,"66,145km",대전,"2,990",디젤,흰색,Ncar
238,기아,뉴카렌스,11/08식,LPI 2.0 GLX,"220,668km",경기,300,LPG(일반인 구입),흰색,Ncar
