,brand,name,year,info,km,location,price,type,color,websites
4718,현대,아반떼 MD,10/10식(11년형),M16 GDI 프리미어,"136,687km",경기,330,가솔린,흰색,Ncar
4719,기아,올 뉴 카니발,15/02식,9인승 노블레스,"127,010km",대구,"1,980",디젤,흰색,Ncar
4720,르노삼성,QM6,19/06식,가솔린 2WD RE 시그니처,"17,383km",충남,"2,239",가솔린,흰색,Ncar
4721,현대,아반떼 (CN7),20/09식(21년형),1.6,"25,990km",광주,"2,350",가솔린,흰색,Ncar
4722,현대,싼타페 TM,19/01식,디젤 2.0 2WD,"23,333km",경남,"2,950",디젤,흰색,Ncar
4723,현대,제네시스 쿠페,09/12식(10년형),200 터보 D,"79,440km",경남,650,가솔린,흰색,Ncar
4724,현대,그랜드 스타렉스,16/12식(17년형),5인승 밴,"100,197km",경기,"1,460",디젤,흰색,Ncar
4725,쌍용,슈퍼 렉스턴,10/01식,AWD 노블레스,"208,385km",대전,549,디젤,흰색,Ncar
4726,기아,더 뉴 쏘렌토,17/09식(18년형),디젤 2.0 4WD,"159,602km",대전,"2,090",디젤,흰색,Ncar
4727,기아,카니발 R,11/06식,그랜드 카니발 GLX,"118,705km",대구,780,디젤,흰색,Ncar
4728,기아,모하비 더 마스터,21/03식,디젤 3.0 4WD 6인승,"25,000km",충북,"5,150",디젤,흰색,Ncar
4729,,,,,,,,,흰색,Ncar
4730,현대,아이오닉 하이브리드,17/01식,Q,"40,000km",대구,"2,099",가솔린+전기,흰색,Ncar
4731,기아,포르테 쿱,12/05식(13년형),1.6 GDI 프레스티지,"144,000km",대구,460,가솔린,흰색,Ncar
4732,기아,더 뉴 쏘렌토,18/01식,디젤 2.2 2WD,"42,000km",대구,"2,579",디젤,흰색,Ncar
4733,르노삼성,XM3,20/06식,1.3 TCe RE 시그니처,"11,629km",서울,"2,159",가솔린,흰색,Ncar
4734,기아,올 뉴 카니발,17/09식(18년형),9인승 프레스티지,"62,000km",대구,"2,499",디젤,흰색,Ncar
4735,쉐보레(GM대우),올란도,16/09식,1.6 디젤 LTZ,"90,000km",대구,"1,285",디젤,흰색,Ncar
4736,기아,올 뉴 카니발,15/03식,9인승 노블레스,"131,496km",대전,"1,880",디젤,흰색,Ncar
4737,기아,올 뉴 카니발,15/05식(16년형),11인승 럭셔리,"141,957km",대전,"1,390",디젤,흰색,Ncar
4738,현대,그랜저 뉴 럭셔리,08/08식(09년형),LPI Q270 팩2,"175,702km",대전,420,LPG(일반인 구입),흰색,Ncar
4739,기아,올 뉴 카니발,16/04식,9인승 럭셔리,"142,741km",대전,"1,540",디젤,흰색,Ncar
4740,현대,올 뉴 투싼,17/04식,디젤 2.0 2WD,"119,428km",대전,"1,450",디젤,흰색,Ncar
4741,현대,에쿠스(신형),10/04식,VS380,"138,310km",경기,"1,090",가솔린,흰색,Ncar
4742,현대,올 뉴 투싼,20/07식,가솔린 1.6 터보 2WD,"10,204km",경기,"2,730",가솔린,흰색,Ncar
4743,현대,아반떼 HD,06/12식(07년형),디젤 1.6 VGT S16,"209,990km",경북,270,디젤,흰색,Ncar
4744,현대,아반떼 AD,17/06식(18년형),1.6 GDI 밸류 플러스,"54,400km",대전,"1,350",가솔린,흰색,Ncar
4745,르노삼성,SM5 뉴 임프레션,09/01식,LE 익스클루시브,"168,000km",대전,250,가솔린,흰색,Ncar
4746,쉐보레(GM대우),트래버스,20/11식,3.6 AWD 레드라인,"5,000km",충북,"4,890",가솔린,흰색,Ncar
4747,현대,올 뉴 투싼,18/08식(19년형),디젤 1.6 2WD,"82,000km",경기,"1,830",디젤,흰색,Ncar
4748,기아,올 뉴 K7,16/02식,3.0 LPI 프레스티지,"95,000km",경기,"1,750",LPG(일반인 구입),흰색,Ncar
4749,현대,올 뉴 투싼,16/04식(17년형),디젤 2.0 2WD,"90,000km",경기,"1,830",디젤,흰색,Ncar
4750,르노삼성,뉴SM3,13/12식(14년형),SE 플러스,"139,000km",경기,450,가솔린,흰색,Ncar
4751,현대,아반떼 (CN7),21/01식,1.6,"10,600km",경기,"2,199",가솔린,흰색,Ncar
4752,현대,NF 쏘나타,05/10식(06년형),N20 엘레강스 스페셜,"91,328km",경기,300,가솔린,흰색,Ncar
4753,르노삼성,SM7,05/06식,SE,"91,483km",경기,290,가솔린,흰색,Ncar
4754,르노삼성,SM5 뉴 임프레션,08/05식,LE,"109,672km",경기,280,가솔린,흰색,Ncar
4755,기아,카니발 R,12/01식,그랜드 카니발 GLX,"67,422km",경기,970,디젤,흰색,Ncar
4756,현대,NF 쏘나타 트랜스폼,10/04식,LPG N20 일반형,"98,226km",경기,450,LPG(일반인 구입),흰색,Ncar
4757,쉐보레(GM대우),크루즈5,11/10식(12년형),1.8 LTZ+,"116,417km",경기,520,가솔린,흰색,Ncar
4758,기아,K5 2세대,17/02식,LPI MX,"81,442km",경기,949,LPG(일반인 구입),흰색,Ncar
4759,제네시스,G70,19/01식,2.0T AWD,"26,659km",부산,"4,180",가솔린,흰색,Ncar
4760,기아,올 뉴 K3,18/06식(19년형),트렌디,"56,039km",부산,"1,490",가솔린,흰색,Ncar
4761,르노삼성,XM3,20/06식,1.3 TCe RE 시그니처,"10,218km",부산,"2,350",가솔린,흰색,Ncar
4762,현대,더 뉴 아반떼 AD,19/04식,1.6,"31,424km",부산,"1,690",가솔린,흰색,Ncar
4763,르노삼성,QM6,19/06식,가솔린 2WD RE,"26,530km",충남,"2,190",가솔린,흰색,Ncar
4764,쉐보레(GM대우),트레일블레이저,20/03식(21년형),1.3 터보 4WD,"20,329km",서울,"2,750",가솔린,흰색,Ncar
4765,현대,아반떼 AD,15/12식(16년형),1.6 GDI 모던,"61,578km",충남,"1,269",가솔린,흰색,Ncar
4766,기아,올 뉴 모닝 (JA),18/06식,밴,"85,051km",경기,550,가솔린,흰색,Ncar
4767,쉐보레(GM대우),마티즈 크리에이티브,09/12식(10년형),재즈,"69,686km",경기,330,가솔린,흰색,Ncar
4768,기아,New 스포티지,08/02식,디젤(VGT) 2WD TLX,"162,364km",대구,430,디젤,흰색,Ncar
4769,기아,올 뉴 모닝 (JA),17/07식,디럭스,"60,246km",경기,680,가솔린,흰색,Ncar
4770,기아,그랜드 카니발,08/12식(09년형),GX,"86,010km",경기,390,디젤,흰색,Ncar
4771,쉐보레(GM대우),뉴 라보,19/02식,DLX,"74,511km",경기,580,LPG(일반인 구입),흰색,Ncar
4772,현대,그랜드 스타렉스,15/05식(16년형),5인승 밴,"178,572km",경기,"1,220",디젤,흰색,Ncar
4773,쉐보레(GM대우),뉴 라보,16/03식,롱카고 SUPER,"79,170km",서울,600,LPG(일반인 구입),흰색,Ncar
4774,현대,그랜드 스타렉스,12/02식,캠핑카,"12,000km",경기,"2,500",디젤,흰색,Ncar
4775,기아,더 뉴 모하비,17/05식(18년형),디젤 3.0 4WD,"55,630km",경기,"3,100",디젤,흰색,Ncar
4776,기아,더 뉴 모하비,17/01식,디젤 3.0 4WD,"66,755km",충북,"2,950",디젤,흰색,Ncar
4777,기아,K5 2세대,15/08식(16년형),2.0 SX,"63,061km",인천,"1,430",가솔린,흰색,Ncar
4778,현대,아반떼 AD,17/08식(18년형),1.6 GDI 밸류 플러스,"80,575km",광주,"1,330",가솔린,흰색,Ncar
4779,기아,더 뉴 쏘렌토,19/04식(20년형),디젤 2.2 4WD,"54,555km",경기,"3,380",디젤,흰색,Ncar
4780,제네시스,G70,19/03식,2.0T,"47,498km",대구,"3,790",가솔린,흰색,Ncar
4781,기아,올 뉴 모닝 (JA),17/07식,밴,"59,178km",경기,500,가솔린,흰색,Ncar
4782,쌍용,코란도 투리스모,14/03식,2WD LT 9인승,"188,370km",서울,590,디젤,흰색,Ncar
4783,르노삼성,SM6,18/08식(19년형),2.0 GDe SE,"90,878km",충남,"1,225",가솔린,흰색,Ncar
4784,현대,싼타페 TM,19/09식(20년형),가솔린 2.0T 2WD,"22,763km",대구,"3,190",가솔린,흰색,Ncar
4785,르노삼성,SM6,17/08식,2.0 GDe LE,"58,537km",경기,"1,450",가솔린,흰색,Ncar
4786,르노삼성,QM6,17/09식,디젤 4WD RE 시그니처,"42,169km",충남,"2,190",디젤,흰색,Ncar
4787,,,,,,,,,흰색,Ncar
4788,쉐보레(GM대우),트레일블레이저,21/09식(22년형),1.3 터보 2WD,"13,654km",대전,"2,500",가솔린,흰색,Ncar
4789,현대,올 뉴 투싼,16/01식,디젤 1.7 2WD,"95,313km",대전,"1,550",디젤,흰색,Ncar
4790,쉐보레(GM대우),어메이징 뉴 크루즈,15/12식(16년형),1.8 LTZ,"80,144km",인천,홈서비스 계약중,가솔린,흰색,Ncar
4791,현대,그랜드 스타렉스,14/03식,5인승 밴,"229,543km",전북,950,디젤,흰색,Ncar
4792,현대,더 뉴 그랜드 스타렉스,18/04식,밴 3인승,"146,377km",인천,"1,470",디젤,흰색,Ncar
4793,쉐보레(GM대우),더 넥스트 스파크,16/07식(17년형),LT,"26,353km",경기,760,가솔린,흰색,Ncar
