,brand,name,year,info,km,location,price,type,color
64,기아,셀토스,20/06식,가솔린 1.6 터보 4WD,"21,756km",서울,"2,620",가솔린,주황색
65,르노삼성,QM3,16/07식,RE,"93,010km",충남,990,디젤,주황색
66,르노삼성,SM6,19/08식,2.0 GDe LE,"16,244km",서울,"1,830",가솔린,주황색
67,현대,싼타페 TM,18/03식(19년형),디젤 2.2 4WD,"52,947km",경기,"2,990",디젤,주황색
68,현대,싼타페 TM,18/03식(19년형),디젤 2.2 4WD,"52,947km",경기,"2,990",디젤,주황색
69,르노삼성,SM6,19/08식,2.0 GDe LE,"16,244km",서울,"1,830",가솔린,주황색
70,쌍용,뷰티풀 코란도,19/07식,디젤 1.6 2WD 딜라이트 플러스,"3,445km",경기,"1,970",디젤,주황색
71,현대,뉴 투싼 ix,14/06식,디젤(e-VGT) 2WD,"135,213km",경기,"1,050",디젤,주황색
72,기아,모닝 어반,21/03식,시그니처,"1,900km",대구,"1,450",가솔린,주황색
73,기아,올 뉴 모닝 (JA),17/09식,터보 프레스티지,"54,472km",부산,"1,050",가솔린,주황색
74,현대,코나,17/07식(18년형),디젤 1.6 2WD,"42,127km",대구,"1,549",디젤,주황색
75,기아,올 뉴 K3,19/08식(20년형),5도어 GT 플러스,"42,061km",서울,"2,000",가솔린,주황색
76,르노삼성,QM3,15/05식,RE,"89,901km",전북,960,디젤,주황색
77,현대,코나,17/10식(18년형),디젤 1.6 2WD,"48,669km",부산,"1,650",디젤,주황색
78,현대,코나,17/10식(18년형),디젤 1.6 2WD,"48,669km",부산,"1,650",디젤,주황색
79,기아,올 뉴 K3,19/08식(20년형),5도어 GT 플러스,"42,056km",서울,"2,000",가솔린,주황색
80,르노삼성,QM3,15/05식,RE,"115,659km",경기,790,디젤,주황색
81,르노삼성,QM3,15/05식,RE,"115,659km",경기,790,디젤,주황색
82,기아,올 뉴 모닝 (JA),17/07식,터보 프레스티지,"49,671km",부산,"1,020",가솔린,주황색
83,기아,올 뉴 모닝 (JA),17/07식,터보 프레스티지,"49,671km",부산,"1,020",가솔린,주황색
84,현대,뉴 투싼 ix,13/07식(14년형),디젤(e-VGT) 2WD,"107,000km",대구,"1,060",디젤,주황색
85,현대,아반떼 AD,17/09식(18년형),1.6 터보 스포츠,"70,847km",경기,"1,385",가솔린,주황색
86,현대,코나,17/09식(18년형),1.6 터보 4WD,"31,287km",대전,"1,890",가솔린,주황색
87,현대,벨로스터,11/06식(12년형),익스트림,"63,357km",대구,690,가솔린,주황색
88,쉐보레(GM대우),더 뉴 스파크,19/01식,프리미어,"40,215km",경기,849,가솔린,주황색
89,쉐보레(GM대우),더 뉴 스파크,19/01식,프리미어,"40,215km",경기,849,가솔린,주황색
90,현대,코나,19/05식,1.6 터보 2WD,"32,251km",대구,"2,170",가솔린,주황색
91,현대,더 뉴 벨로스터,15/09식(16년형),1.6 유니크,"83,384km",인천,780,가솔린,주황색
92,기아,쏘울,09/06식(10년형),1.6 2U,"70,300km",전북,633,가솔린,주황색
93,르노삼성,SM3 네오,14/10식(15년형),SE 플러스,"32,548km",부산,770,가솔린,주황색
94,르노삼성,SM3 네오,14/10식(15년형),SE 플러스,"32,548km",부산,770,가솔린,주황색
95,현대,코나,17/08식(18년형),1.6 터보 2WD,"74,667km",경기,"1,630",가솔린,주황색
96,,,,,,,,,주황색
97,현대,올 뉴 투싼,17/02식,디젤 1.7 2WD,"87,000km",부산,"1,950",디젤,주황색
98,쌍용,티볼리 아머,18/10식(19년형),디젤 기어 플러스 2WD,"38,493km",대전,"1,650",디젤,주황색
99,쌍용,티볼리 아머,18/10식(19년형),디젤 기어 플러스 2WD,"38,493km",대전,"1,650",디젤,주황색
100,쌍용,베리 뉴 티볼리,19/11식(20년형),가솔린 1.5 2WD,"9,950km",경기,"1,660",가솔린,주황색
101,기아,스팅어,17/09식(18년형),2.0 터보 2WD,"47,384km",경기,"2,650",가솔린,주황색
102,현대,벨로스터,12/01식,익스트림,"58,800km",전북,830,가솔린,주황색
103,르노삼성,QM3,15/08식,RE,"190,000km",대구,659,디젤,주황색
104,기아,올 뉴 모닝,12/10식(13년형),디럭스 스페셜,"77,627km",대전,490,가솔린,주황색
105,기아,스포티지 R,10/05식(11년형),디젤 2WD 리미티드,"108,067km",경북,880,디젤,주황색
106,현대,벨로스터,12/07식(13년형),익스트림,"100,960km",강원,760,가솔린,주황색
107,현대,갤로퍼,94/02식,지프 터보엑시드,"214,000km",부산,750,디젤,주황색
108,기아,뉴모닝,08/05식,SLX,"70,988km",경기,250,가솔린,주황색
109,쌍용,코란도 C,12/01식,클러비 2WD,"214,443km",대전,450,디젤,주황색
110,쌍용,티볼리 에어,19/03식,가솔린 1.6 RX 2WD,"16,260km",경기,"1,650",가솔린,주황색
111,쌍용,티볼리 에어,19/03식,가솔린 1.6 RX 2WD,"16,260km",경기,"1,650",가솔린,주황색
112,르노삼성,뉴QM5,12/03식,가솔린 2WD 씨티 SE25,"148,882km",경기,670,가솔린,주황색
113,,,,,,,,,주황색
114,현대,올 뉴 투싼,15/04식(16년형),디젤 1.7 2WD,"108,428km",인천,"1,280",디젤,주황색
115,기아,모닝,07/05식,LX,"98,709km",경남,190,가솔린,주황색
116,르노삼성,QM3,15/07식,RE,"194,120km",대구,660,디젤,주황색
117,르노삼성,QM3,15/09식,RE,"49,134km",대구,"1,090",디젤,주황색
118,쌍용,티볼리 아머,19/01식,디젤 VX 2WD,"47,165km",대전,"1,580",디젤,주황색
119,기아,쏘울,10/12식(11년형),1.6 2U,"127,642km",울산,540,가솔린,주황색
120,쌍용,티볼리 아머,19/03식,디젤 기어 에디션 2WD,"34,448km",대전,"1,630",디젤,주황색
121,쌍용,베리 뉴 티볼리,19/06식(20년형),가솔린 1.5 2WD,"30,417km",충남,"2,070",가솔린,주황색
122,현대,LF 쏘나타,16/01식,2.0 터보 익스클루시브,"131,762km",울산,"1,450",가솔린,주황색
123,현대,벨로스터,11/05식(12년형),익스트림,"85,794km",울산,650,가솔린,주황색
124,르노삼성,QM3,15/11식,RE,"112,147km",부산,890,디젤,주황색
125,현대,벨로스터,11/08식(12년형),익스트림,"154,525km",부산,490,가솔린,주황색
126,르노삼성,QM3,14/07식,RE,"90,000km",부산,920,디젤,주황색
127,르노삼성,QM3,14/06식,RE,"135,300km",경기,740,디젤,주황색
128,쉐보레(GM대우),더 뉴 스파크,20/05식,프리미어,"4,359km",광주,"1,100",가솔린,주황색
129,기아,그랜드 카니발,09/05식,어린이 보호차,"244,524km",대구,270,디젤,주황색
130,쉐보레(GM대우),더 뉴 스파크,18/06식,LT,"53,276km",울산,830,가솔린,주황색
131,현대,LF 쏘나타,15/07식,2.0 터보 익스클루시브,"112,399km",부산,"1,450",가솔린,주황색
132,기아,올 뉴 K3,18/12식(19년형),5도어 GT 플러스,"15,000km",경기,"2,130",가솔린,주황색
133,현대,벨로스터,11/09식(12년형),익스트림,"83,562km",울산,720,가솔린,주황색
134,쌍용,베리 뉴 티볼리,19/07식(20년형),가솔린 1.5 2WD,"80,912km",인천,"1,680",가솔린,주황색
135,쉐보레(GM대우),마티즈 크리에이티브,09/10식(10년형),재즈,"111,027km",부산,259,가솔린,주황색
136,현대,싼타페,03/12식(04년형),2.0 디젤 2WD GOLD,"300,000km",울산,190,디젤,주황색
137,현대,올 뉴 투싼,16/10식(17년형),디젤 1.7 2WD,"35,631km",부산,"1,880",디젤,주황색
138,르노삼성,QM3,14/07식,RE,"89,000km",경기,850,디젤,주황색
139,현대,갤로퍼 2,00/06식,7인승 LPG V6 엑시드,"205,886km",경기,529,LPG(일반인 구입),주황색
140,르노삼성,QM3,13/12식(14년형),RE,"95,285km",경기,850,디젤,주황색
141,쉐보레(GM대우),트랙스,14/01식,1.4 LT 디럭스,"95,000km",세종,800,가솔린,주황색
