,brand,name,year,info,km,location,price,type,color
61,현대,쏘나타 하이브리드 (DN8),19/09식(20년형),인스퍼레이션,"17,308km",대구,"2,699",가솔린+전기,빨강색
62,기아,올 뉴 프라이드,14/05식,1.4 MPI 해치백,"35,533km",경기,680,가솔린,빨강색
63,쌍용,더 뉴 코란도 스포츠,17/06식(18년형),2.2 CX7 4WD,"65,314km",광주,"1,690",디젤,빨강색
64,현대,벨로스터 (JS),20/06식,1.6 터보 스포츠,"33,210km",경기,"2,250",가솔린,빨강색
65,기아,스토닉,17/10식(18년형),디젤 1.6,"32,325km",울산,"1,450",디젤,빨강색
66,쉐보레(GM대우),리얼 뉴 콜로라도,20/11식(21년형),3.6 익스트림 2WD,"17,397km",서울,"3,450",가솔린,빨강색
67,기아,모닝,08/02식,LX,"67,473km",울산,290,가솔린,빨강색
68,현대,i30 (PD),18/08식,디젤 1.6,"42,410km",인천,"1,550",디젤,빨강색
69,쌍용,티볼리,15/07식(16년형),디젤 LX 2WD,"126,275km",전북,990,디젤,빨강색
70,기아,스팅어,17/07식(18년형),2.2 디젤 AWD,"106,573km",경기,"2,299",디젤,빨강색
71,기아,스팅어 마이스터,20/10식(21년형),3.3 GT AWD 마스터즈 터보 패키지,"7,188km",서울,"3,990",가솔린,빨강색
72,현대,아반떼 AD,18/01식,1.6 GDI 프리미엄,"32,906km",경기,"1,560",가솔린,빨강색
73,현대,제네시스,11/06식(12년형),BH330 럭셔리,"263,541km",대구,590,가솔린,빨강색
74,현대,i30(신형),13/05식(14년형),디젤 1.6 VGT PYL,"133,725km",경기,710,디젤,빨강색
75,쌍용,베리 뉴 티볼리,20/01식,디젤 1.6 2WD,"19,906km",울산,"1,649",디젤,빨강색
76,기아,스토닉,17/10식(18년형),디젤 1.6,"32,325km",울산,"1,450",디젤,빨강색
77,현대,더 뉴 벨로스터,17/12식,1.6 PYL DCT,"105,009km",서울,990,가솔린,빨강색
78,기아,올 뉴 모닝,17/09식,럭셔리,"45,000km",부산,900,가솔린,빨강색
79,현대,i30 (PD),18/08식,디젤 1.6,"42,410km",인천,"1,550",디젤,빨강색
80,현대,제네시스 쿠페,09/06식(10년형),380 GT-R,"174,400km",대구,895,가솔린,빨강색
81,기아,더 뉴 모닝,15/10식(16년형),스포츠 RUN HIGH,"116,555km",경기,570,가솔린,빨강색
82,쉐보레(GM대우),뉴 라보,17/03식,접이식탑차 롱카고,"3,721km",경기,510,LPG(일반인 구입),빨강색
83,현대,코나,18/04식,디젤 1.6 2WD,"29,000km",대구,"1,850",디젤,빨강색
84,현대,i30 (PD),17/03식,1.6 터보,"25,300km",인천,"1,699",가솔린,빨강색
85,현대,쏘나타 (DN8),19/06식(20년형),2.0,"37,000km",인천,"2,499",가솔린,빨강색
86,현대,더 뉴 제네시스 쿠페,12/07식,200 터보 S,"116,540km",경기,"1,180",가솔린,빨강색
87,현대,올 뉴 투싼,16/01식,디젤 1.7 2WD,"61,992km",광주,"1,695",디젤,빨강색
88,쌍용,코란도 스포츠,14/10식(15년형),CX7 4WD,"184,435km",충북,"1,130",디젤,빨강색
89,,,,,,,,,빨강색
90,쉐보레(GM대우),트레일블레이저,20/07식(21년형),1.3 터보 4WD,"9,722km",광주,"2,730",가솔린,빨강색
91,현대,더 뉴 아반떼 AD,18/11식(19년형),1.6 디젤,"41,953km",대구,"1,530",디젤,빨강색
