,brand,fuel,location,mile,model,name,price,year
16792,쉐보레(GM대우),디젤,대구,157191.0,7인승 2WD LT,윈스톰,338.0,2007
16793,현대,가솔린,대구,250851.0,VS380,에쿠스(신형),868.0,2012
16794,기아,가솔린,대구,165516.0,2.0 프레스티지,K5,568.0,2012
16795,기아,가솔린,부산,7678.0,프레스티지,모닝 어반,1270.0,2021
16796,현대,LPG(일반인 구입),부산,149924.0,12인승 LPi,더 뉴 그랜드 스타렉스,1690.0,2019
16797,쌍용,디젤,충북,72463.0,CX7 4WD,코란도 스포츠,1150.0,2012
16798,현대,가솔린,경기,44500.0,2.4 프리미엄,그랜저 IG,2680.0,2019
16799,현대,가솔린,대구,66206.0,2.4 프리미엄,그랜저 IG,2190.0,2018
16800,현대,디젤,대구,44913.0,디젤 2.0 2WD,싼타페 TM,2790.0,2019
16801,기아,디젤,경기,63912.0,디젤 2WD 노블레스,더 뉴 스포티지 R,1390.0,2014
16802,르노삼성,가솔린,경기,2408.0,1.3 TCe RE,더 뉴 SM6,2650.0,2021
16803,기아,디젤,대전,83396.0,그랜드 카니발 GLX,카니발 R,1050.0,2013
16804,기아,디젤,대전,124370.0,디젤 2.2 2WD,올 뉴 쏘렌토,1520.0,2015
16805,현대,디젤,대전,40000.0,15인승,쏠라티,5100.0,2020
16806,현대,가솔린,대구,249933.0,BH380 로얄,제네시스,550.0,2008
16807,제네시스,가솔린,경기,33329.0,3.8 GDI AWD,EQ900,4590.0,2018
16808,제네시스,가솔린,경기,28750.0,5.0 AWD,G90,10590.0,2019
16809,제네시스,가솔린,경기,33321.0,3.8 GDI AWD,EQ900,4590.0,2018
16810,제네시스,가솔린,경기,66414.0,3.8 GDI AWD,EQ900,4250.0,2016
16811,기아,가솔린,경기,58607.0,3.0 GDI 프레스티지,더 뉴 K7,1540.0,2016
16812,현대,디젤,경기,78381.0,디젤(e-VGT) 2.0 4WD 익스클루시브,싼타페 DM,1670.0,2013
16813,기아,디젤,부산,30267.0,9인승 럭셔리,더 뉴 카니발,2430.0,2019
16814,기아,디젤,부산,125453.0,디젤 2.0 4WD,뉴 쏘렌토 R,1190.0,2013
16815,현대,가솔린,부산,73000.0,1.6 터보 스포츠,아반떼 AD,1650.0,2018
16816,제네시스,가솔린,부산,267000.0,3.8 GDI,EQ900,2350.0,2016
16817,현대,가솔린,경기,194800.0,VS380,에쿠스(신형),1200.0,2012
16818,르노삼성,가솔린,대전,207787.0,프레스티지,SM7 New Art,299.0,2010
16819,기아,가솔린,대전,100575.0,2.4 GDI 프레스티지,올 뉴 K7,1600.0,2016
16820,현대,디젤,경기,78381.0,디젤(e-VGT) 2.0 4WD 익스클루시브,싼타페 DM,1670.0,2013
16821,기아,가솔린,경기,58607.0,3.0 GDI 프레스티지,더 뉴 K7,1540.0,2016
16822,현대,가솔린,경기,56543.0,HG240 모던,그랜저 HG,1390.0,2014
16823,현대,가솔린,부산,285000.0,BH380 로얄,제네시스,499.0,2009
16824,르노삼성,LPG(일반인 구입),부산,37420.0,LPLi LE,뉴SM5 플래티넘,880.0,2013
16825,제네시스,가솔린,경기,39901.0,3.8 GDI,EQ900,4090.0,2018
16826,현대,가솔린,부산,147993.0,CVVL 스마트,쏘나타 더 브릴리언트,620.0,2013
16827,제네시스,가솔린,전북,58413.0,3.3 GDI AWD,G80,3380.0,2017
16828,현대,LPG(일반인 구입),부산,147623.0,LPI Q270 장애인용,더 럭셔리 그랜저,590.0,2010
16829,현대,디젤,대구,163003.0,디젤 2WD 익스클루시브,베라크루즈,1690.0,2015
16830,기아,가솔린,대구,151175.0,3.3 GDI 이그제큐티브,더 뉴 K9,1990.0,2016
16831,기아,가솔린,대구,130131.0,3.3 GDI 프레스티지,더 뉴 K9,1890.0,2015
16832,현대,가솔린,경기,93011.0,VS380,에쿠스(신형),1490.0,2012
16833,현대,가솔린,경기,60841.0,2.0 스마트,LF 쏘나타,1490.0,2016
16834,쌍용,디젤,경기,63823.0,4WD TX 9인승,코란도 투리스모,1770.0,2018
16835,쌍용,디젤,서울,40739.0,디젤 2.2 4WD,G4 렉스턴,3290.0,2020
16836,제네시스,가솔린,경기,39901.0,3.8 GDI,EQ900,4090.0,2018
16837,현대,디젤,경기,71255.0,1.7 디젤 스마트,LF 쏘나타,1490.0,2017
16838,현대,LPG(일반인 구입),대구,220000.0,LPG N20 프리미어,NF 쏘나타 트랜스폼,330.0,2008
16839,기아,가솔린,대구,65000.0,9인승 하이리무진,더 뉴 카니발,3590.0,2019
16840,현대,가솔린,대구,126000.0,HG240 모던,그랜저 HG,1160.0,2015
16841,제네시스,가솔린,대구,42000.0,3.8 GDI AWD,G80,4460.0,2018
16842,현대,가솔린,대구,140000.0,G330 모던,제네시스 DH,1660.0,2014
16843,기아,가솔린,전북,72848.0,2.4 GDI 프레스티지,올 뉴 K7,1799.0,2016
16844,르노삼성,가솔린,경기,204389.0,2.0 GDe RE,SM6,890.0,2016
16845,기아,LPG(일반인 구입),서울,317325.0,LPI GX,그랜드 카니발,300.0,2008
16846,르노삼성,가솔린,부산,126023.0,LE,SM5 뉴 임프레션,250.0,2008
16847,쌍용,디젤,경기,170309.0,2.0 CVT 2WD,뉴코란도 C,590.0,2015
16848,현대,가솔린,경기,195914.0,Q270 디럭스,그랜저 뉴 럭셔리,170.0,2009
16849,쌍용,가솔린,경기,194731.0,CW600,뉴체어맨 W,790.0,2014
16850,쌍용,가솔린,경기,152434.0,CW700 4TRONIC,뉴체어맨 W,990.0,2015
16851,쌍용,디젤,경기,163764.0,2.0 CVX 2WD,뉴코란도 C,490.0,2014
16852,쌍용,디젤,경기,170643.0,2.0 어드벤처 60th 에디션 4WD,뉴코란도 C,680.0,2015
16853,기아,디젤,경기,182717.0,그랜드 카니발 GLX,카니발 R,730.0,2014
16854,쌍용,디젤,경기,139630.0,2.0 CVS 2WD,뉴코란도 C,490.0,2014
16855,기아,디젤,경기,127100.0,그랜드 카니발 GLX,카니발 R,630.0,2014
16856,쌍용,가솔린,경기,194731.0,CW600,뉴체어맨 W,790.0,2014
16857,기아,디젤,경기,182717.0,그랜드 카니발 GLX,카니발 R,730.0,2014
16858,기아,디젤,인천,75333.0,9인승 프레스티지,더 뉴 카니발,2880.0,2019
16859,기아,디젤,경기,45560.0,9인승 노블레스,올 뉴 카니발,2560.0,2018
16860,현대,LPG(일반인 구입),서울,65470.0,3.0 LPi 모던 (렌터카),그랜저 IG,1850.0,2018
16861,현대,LPG(일반인 구입),경기,162637.0,LPG HG300 모던,그랜저 HG,990.0,2015
16862,기아,가솔린,경기,78932.0,디럭스 트렌디,올 뉴 모닝,470.0,2013
16863,현대,가솔린,서울,121524.0,VS380,에쿠스(신형),2330.0,2015
16864,르노삼성,가솔린,경북,179807.0,LE,뉴SM5,199.0,2007
16865,현대,LPG(일반인 구입),경기,115124.0,3.0 LPi 모던 (렌터카),그랜저 IG,1720.0,2019
16866,기아,가솔린,경기,63057.0,디럭스,더 뉴 K5,1070.0,2015
16867,기아,가솔린+전기,경기,114575.0,500h 럭셔리,K5 하이브리드,1020.0,2014
16868,기아,LPG(일반인 구입),인천,155475.0,LPI 3.0 럭셔리,더 프레스티지 K7,810.0,2013
16869,제네시스,가솔린,경남,157369.0,3.3 T-GDI,EQ900,2990.0,2016
16870,현대,가솔린,경남,80900.0,2.4 프리미엄,그랜저 IG,1890.0,2017
16871,현대,가솔린,경남,176691.0,G330 모던,제네시스 DH,1680.0,2016
16872,현대,가솔린,경남,91223.0,2.0 모던,쏘나타 뉴 라이즈,1580.0,2018
16873,기아,디젤,대전,31409.0,디젤 2.2 2WD,더 뉴 쏘렌토,3230.0,2018
16874,기아,가솔린,대전,20142.0,3.8 GDI,더 K9,4550.0,2021
16875,쉐보레(GM대우),가솔린,대전,73375.0,1.5 터보 퍼펙트 블랙,올 뉴 말리부,1690.0,2017
16876,현대,디젤,대전,104617.0,HG220 디젤 프리미엄,그랜저 HG,1590.0,2016
16877,현대,가솔린,대구,150904.0,Q240 디럭스,그랜저 뉴 럭셔리,450.0,2010
16878,기아,가솔린,경기,88962.0,럭셔리,더 뉴 K5,1050.0,2014
16879,현대,디젤,경기,204734.0,디젤 2WD 300X,베라크루즈,575.0,2008
16880,기아,가솔린+전기,경기,108923.0,노블레스,올 뉴 K7 하이브리드,1999.0,2017
16881,기아,디젤,경기,46122.0,9인승 럭셔리,더 뉴 카니발,2349.0,2019
16882,현대,가솔린,대전,69912.0,2.0 VL,마르샤,350.0,1997
16883,기아,디젤,대전,88000.0,디젤 2.0 2WD TLX,쏘렌토 R,1150.0,2012
16884,쌍용,가솔린,대전,197000.0,CW700,뉴체어맨 W,760.0,2014
16885,현대,가솔린,대전,85000.0,VS380,에쿠스(신형),1550.0,2012
16886,쉐보레(GM대우),디젤,경기,91929.0,1.6 디젤 LTZ,더 뉴 트랙스,1230.0,2017
16887,기아,가솔린,경기,56947.0,2.4 GDI 프레스티지,올 뉴 K7,1680.0,2016
16888,기아,가솔린,경기,103633.0,2.4 GDI 프레스티지,올 뉴 K7,1490.0,2016
16889,현대,가솔린,경기,152259.0,Q240 디럭스,더 럭셔리 그랜저,380.0,2011
16890,기아,가솔린,경기,61869.0,3.3 GDI 이그제큐티브,더 뉴 K9,2570.0,2016
16891,기아,가솔린,대전,20142.0,3.8 GDI,더 K9,4550.0,2021
16892,쉐보레(GM대우),디젤,대전,116917.0,2.0 LTZ+ 더 퍼펙트 블랙,크루즈,590.0,2012
16893,기아,디젤,대전,31409.0,디젤 2.2 2WD,더 뉴 쏘렌토,3230.0,2018
16894,현대,디젤,대전,104617.0,HG220 디젤 프리미엄,그랜저 HG,1590.0,2016
16895,쉐보레(GM대우),가솔린,대전,73375.0,1.5 터보 퍼펙트 블랙,올 뉴 말리부,1690.0,2017
16896,기아,가솔린,경기,79463.0,2.4 GDI 리미티드,올 뉴 K7,2049.0,2017
16897,쉐보레(GM대우),LPG(일반인 구입),경기,144763.0,LPG LT,올란도,659.0,2013
16898,기아,디젤,전북,159413.0,11인승 럭셔리,올 뉴 카니발,1280.0,2016
16899,기아,가솔린,전북,86994.0,2.4 GDI 프레스티지,올 뉴 K7,1780.0,2017
16900,기아,디젤,전북,124541.0,2.2 디젤 프레스티지,올 뉴 K7,1540.0,2016
16901,기아,가솔린,대전,77319.0,3.8 GDI,더 K9,3370.0,2019
16902,현대,가솔린,경북,265236.0,BH330 그랜드,제네시스,490.0,2010
16903,기아,가솔린,경북,148000.0,3.3 GDI 노블레스,K9,1390.0,2013
16904,쌍용,디젤,서울,187892.0,2.0 4WD RX7,렉스턴 W,950.0,2014
16905,쌍용,디젤,대구,90674.0,디젤 LX 2WD,티볼리,1220.0,2016
16906,쌍용,가솔린+LPG,경북,277243.0,CM500S,뉴체어맨,370.0,2006
16907,르노삼성,가솔린,경북,307100.0,LE,All New SM7,375.0,2012
16908,기아,LPG(일반인 구입),경북,163170.0,3.0 LPI 프레스티지,올 뉴 K7,1710.0,2016
16909,쉐보레(GM대우),가솔린,경북,115000.0,L6 2.0 SX,토스카,195.0,2006
16910,르노삼성,가솔린,경북,270000.0,SM520V,SM5,195.0,2003
16911,현대,LPG(일반인 구입),경북,233700.0,LPI Q270 장애인용,더 럭셔리 그랜저,650.0,2011
16912,제네시스,가솔린,경북,80610.0,3.3 GDI AWD,G80,3310.0,2018
16913,현대,가솔린,경북,279270.0,Q270 디럭스,그랜저 TG,290.0,2008
16914,기아,LPG(일반인 구입),경북,356000.0,LPI GH270 최고급형,뉴오피러스,295.0,2007
16915,기아,디젤,경북,115834.0,디젤 3.0 4WD,더 뉴 모하비,3100.0,2018
16916,기아,가솔린,경북,45100.0,3.8 GDI VIP,더 뉴 K9,3590.0,2015
16917,기아,디젤,경북,143109.0,2.2 디젤 프레스티지,올 뉴 K7,1890.0,2017
16918,현대,가솔린,경북,155261.0,G330 프리미엄 AWD,제네시스 DH,2270.0,2016
16919,기아,가솔린,경북,299202.0,3.3 GDI 노블레스,K9,1000.0,2013
16920,기아,가솔린,경북,6370.0,3.0 GDI 시그니처,K7 프리미어,3750.0,2021
16921,기아,가솔린,대전,7338.0,2.5 가솔린 2WD,K8,4299.0,2022
16922,현대,가솔린,대전,112073.0,2.0 스타일,LF 쏘나타,880.0,2015
16923,기아,가솔린,대구,24636.0,3.0 GDI 시그니처,K7 프리미어,3290.0,2020
16924,쌍용,가솔린,대구,165445.0,CW700 4TRONIC,뉴체어맨 W,830.0,2011
16925,기아,가솔린,충북,82806.0,2.4 GDI 프레스티지,올 뉴 K7,1610.0,2016
16926,기아,디젤,서울,141616.0,9인승 디젤 랜드,카니발 II,170.0,2002
16927,기아,가솔린,경기,63778.0,프레스티지,레이,1050.0,2016
16928,쉐보레(GM대우),가솔린,충북,119269.0,LTZ,더 넥스트 스파크,670.0,2017
16929,기아,가솔린+전기,서울,40132.0,노블레스 스페셜,올 뉴 K7 하이브리드,2829.0,2018
16930,기아,디젤,광주,103618.0,4WD KV300,모하비,1810.0,2013
16931,기아,가솔린,광주,48662.0,2.0,더 뉴 K5 2세대,2050.0,2019
16932,르노삼성,LPG(일반인 구입),광주,128224.0,2.0 LPe SE (렌터카),SM6,1090.0,2017
16933,기아,LPG(일반인 구입),광주,34377.0,2.0 LPI 렌터카용,더 뉴 K5 2세대,1890.0,2020
16934,기아,가솔린,부산,102775.0,2.0 터보 GDI 노블레스,K5,880.0,2012
16935,기아,가솔린,대구,89000.0,2.4 GDI 프레스티지,올 뉴 K7,1799.0,2018
16936,르노삼성,LPG(일반인 구입),대구,225000.0,LPLI LE,뉴SM5,230.0,2007
16937,현대,가솔린,대구,188000.0,2.0 스마트,LF 쏘나타,870.0,2015
16938,현대,LPG(일반인 구입),대구,86000.0,3.0 LPi 모던 베이직 (렌터카),그랜저 IG,1799.0,2017
16939,현대,LPG(일반인 구입),서울,161384.0,LPG HG300 프라임,그랜저 HG,850.0,2012
16940,현대,가솔린,전북,110000.0,HG240 럭셔리,그랜저 HG,799.0,2011
16941,기아,디젤,경기,32280.0,디젤 1.6 2WD,스포티지 더 볼드,2600.0,2021
16942,기아,디젤,경기,100729.0,디젤 3.0 4WD,더 뉴 모하비,2580.0,2017
16943,기아,디젤,경기,239098.0,9인승 하이리무진,올 뉴 카니발,1700.0,2015
16944,쉐보레(GM대우),가솔린,경기,18465.0,LT,더 뉴 스파크,950.0,2020
16945,현대,가솔린,부산,23026.0,3.0 익스클루시브,그랜저 IG,2650.0,2018
16946,기아,디젤,경기,39959.0,디젤 3.0 4WD 7인승,모하비 더 마스터,4580.0,2020
16947,기아,디젤,경기,207229.0,9인승 럭셔리,올 뉴 카니발,1150.0,2015
16948,현대,가솔린,경기,141376.0,CVVL 스마트,쏘나타 더 브릴리언트,630.0,2014
16949,기아,가솔린,경기,162232.0,VG270 디럭스,K7,480.0,2010
16950,현대,디젤,경기,130431.0,디젤 2.2 4WD,싼타페 더 프라임,1700.0,2016
16951,르노삼성,가솔린,경기,103798.0,PE,뉴SM3,430.0,2013
16952,기아,가솔린,경남,23621.0,2.5 GDI 노블레스,K7 프리미어,2899.0,2020
16953,기아,가솔린,충남,55544.0,3.8 GDI AWD,더 K9,3850.0,2019
16954,기아,디젤,충남,53115.0,9인승 노블레스 스페셜,올 뉴 카니발,2650.0,2018
16955,제네시스,가솔린,경기,78952.0,3.8 GDI AWD,EQ900,3699.0,2018
16956,현대,가솔린,경기,50477.0,3.0 익스클루시브,그랜저 IG,2150.0,2019
16957,기아,가솔린,경기,29382.0,3.3 T-GDI AWD,더 K9,4899.0,2019
16958,현대,가솔린+전기,부산,182701.0,프리미엄,그랜저 HG 하이브리드,1250.0,2015
16959,현대,가솔린,부산,23026.0,3.0 익스클루시브,그랜저 IG,2650.0,2018
16960,제네시스,가솔린,경북,80221.0,3.3 T-GDI AWD,EQ900,3690.0,2016
16961,제네시스,가솔린,부산,44483.0,3.3 GDI,G80,3230.0,2017
16962,현대,디젤,경기,38000.0,4WD 리무진,더 뉴 그랜드 스타렉스,3990.0,2019
16963,기아,가솔린,광주,83000.0,2.4 GDI 프레스티지,더 프레스티지 K7,770.0,2012
16964,현대,LPG(일반인 구입),경남,65789.0,3.0 LPi 익스클루시브 (렌터카),그랜저 IG,2430.0,2018
16965,기아,가솔린,경남,66823.0,2.4 GDI 리미티드,올 뉴 K7,2230.0,2017
16966,제네시스,가솔린,부산,62690.0,3.8 GDI AWD,EQ900,3790.0,2016
16967,기아,디젤,부산,150517.0,뉴카니발 리무진 President,카니발 R,990.0,2010
16968,제네시스,가솔린,부산,10200.0,가솔린 3.5 터보 AWD,G80 (RG3),6590.0,2021
16969,기아,가솔린+전기,대전,7384.0,프레스티지,K5 하이브리드 3세대,2990.0,2021
16970,기아,가솔린,대전,119427.0,2.4 GDI 럭셔리,더 프레스티지 K7,790.0,2012
16971,기아,가솔린,대전,79812.0,2.4 GDI 프레스티지 스페셜,더 뉴 K7,1490.0,2013
16972,현대,가솔린,대전,30344.0,VL500,에쿠스(신형),2670.0,2012
16973,기아,LPG(일반인 구입),경북,96730.0,3.0 LPI 택시형,올 뉴 K7,1550.0,2018
16974,현대,가솔린,경북,87349.0,N20 프리미어,NF 쏘나타,220.0,2005
16975,현대,디젤,대구,186454.0,5인승 밴,그랜드 스타렉스,559.0,2009
16976,쌍용,디젤,서울,119421.0,4WD RX4,슈퍼 렉스턴,670.0,2011
16977,르노삼성,가솔린,서울,54018.0,2.0 GDe SE,SM6,1280.0,2017
16978,제네시스,가솔린,서울,53222.0,3.3 GDI AWD,G80,3750.0,2019
16979,현대,디젤,서울,61234.0,리무진,그랜드 스타렉스,1399.0,2008
16980,기아,가솔린,서울,144600.0,2.4 GDI 프레스티지 스페셜,더 뉴 K7,1090.0,2013
16981,제네시스,가솔린,부산,19658.0,3.3T 스포츠 AWD,G70,3880.0,2020
16982,쉐보레(GM대우),가솔린,경기,56181.0,밴,더 뉴 스파크,690.0,2019
16983,기아,디젤,대전,34026.0,11인승 프레스티지,올 뉴 카니발,2220.0,2018
16984,쌍용,가솔린,전남,190000.0,CW600,뉴체어맨 W,850.0,2013
16985,기아,가솔린,전남,170000.0,GH330 프레스티지,오피러스 프리미엄,550.0,2011
16986,현대,디젤,전남,340000.0,9인승 디젤 골드,트라제 XG,230.0,2007
16987,기아,LPG(일반인 구입),전남,260000.0,LPI 3.0 럭셔리,더 프레스티지 K7,590.0,2012
16988,기아,LPG(일반인 구입),전남,160000.0,LPI GH270 디럭스,오피러스 프리미엄,770.0,2011
16989,기아,LPG(일반인 구입),전남,230000.0,LPI 프레스티지,K5,550.0,2011
16990,현대,가솔린+전기,전남,140000.0,2.0,쏘나타 하이브리드,850.0,2012
16991,현대,가솔린,전남,140000.0,S25,뉴 그랜저 XG,180.0,2005
16992,현대,LPG(일반인 구입),전남,320000.0,LPI Q270 개인형,그랜저 뉴 럭셔리,265.0,2009
16993,현대,가솔린,전남,180000.0,VS380,에쿠스(신형),1170.0,2012
16994,기아,디젤,경기,38080.0,디젤 2.2 2WD,더 뉴 쏘렌토,3100.0,2020
16995,기아,가솔린,대전,88137.0,3.3 GDI 이그제큐티브,K9,1790.0,2014
16996,기아,가솔린,대전,158149.0,VG270 럭셔리,K7,630.0,2010
16997,현대,가솔린,대전,96471.0,1.6 GDi 스마트,더 뉴 아반떼,820.0,2015
16998,현대,가솔린,대전,226266.0,VS380,에쿠스(신형),750.0,2010
16999,현대,가솔린,대전,206462.0,VS380,에쿠스(신형),650.0,2010
17000,르노삼성,가솔린,경기,175000.0,RE35,SM7,140.0,2005
17001,기아,LPG(일반인 구입),경기,99300.0,LPI 프레스티지,더 뉴 레이,1280.0,2018
