,brand,name,year,info,km,location,price,type,color
280,쉐보레(GM대우),더 뉴 스파크,20/04식,LT,"18,069km",경기,950,가솔린,파란색
281,쉐보레(GM대우),스파크,14/12식,LT,"92,002km",광주,500,가솔린,파란색
282,기아,스포티지 4세대,16/04식,디젤 2.0 4WD 노블레스,"69,286km",경기,"1,690",디젤,파란색
283,기아,더 뉴 레이,18/03식,밴,"74,610km",광주,790,가솔린,파란색
284,현대,더 뉴 맥스크루즈,17/05식,디젤 2.2 4WD,"110,782km",인천,"2,030",디젤,파란색
285,현대,팰리세이드,20/02식,가솔린 3.8 4WD,"38,845km",경기,"3,940",가솔린,파란색
286,현대,싼타페 DM,13/06식(14년형),디젤(e-VGT) 2.0 2WD 프리미엄,"61,167km",전북,"1,530",디젤,파란색
287,기아,셀토스,19/09식(20년형),가솔린 1.6 터보 4WD,"32,625km",서울,"2,630",가솔린,파란색
288,제네시스,더 뉴 G70,21/05식,가솔린 2.0T 2WD,"4,679km",경기,"4,555",가솔린,파란색
289,기아,뉴모닝,09/04식,LPI LX,"189,569km",광주,249,LPG(일반인 구입),파란색
290,현대,그랜드 스타렉스,17/08식(18년형),5인승 밴,"65,323km",경기,"1,750",디젤,파란색
291,기아,셀토스,19/09식(20년형),가솔린 1.6 터보 2WD,"28,291km",경기,"2,290",가솔린,파란색
292,기아,스토닉,17/07식(18년형),디젤 1.6,"127,114km",광주,"1,230",디젤,파란색
293,현대,맥스크루즈,14/06식(15년형),디젤(e-VGT) 2.2 4WD 익스클루시브,"67,119km",경기,"1,980",디젤,파란색
294,기아,더 뉴 쏘렌토,19/04식(20년형),디젤 2.2 2WD,"32,912km",대구,"2,980",디젤,파란색
295,기아,더 뉴 K5 2세대,18/06식(19년형),2.0,"85,200km",대구,"1,720",가솔린,파란색
296,쌍용,뷰티풀 코란도,20/11식(21년형),디젤 1.6 4WD C5,"9,253km",광주,"2,590",디젤,파란색
297,현대,아반떼 AD,16/12식(17년형),1.6 GDI 밸류 플러스,"64,911km",경기,"1,320",가솔린,파란색
298,쉐보레(GM대우),볼트 EV,17/06식,EV,"41,148km",경기,"1,899",전기,파란색
299,기아,K5 3세대,20/06식,1.6 터보,"16,900km",경기,"3,099",가솔린,파란색
300,쌍용,티볼리 아머,18/08식,VX 2WD,"28,499km",광주,"1,580",가솔린,파란색
301,쉐보레(GM대우),스파크,11/08식(12년형),LT,"16,812km",경기,409,가솔린,파란색
302,쌍용,티볼리,16/01식,디젤 VX 2WD,"58,556km",경기,"1,270",디젤,파란색
303,기아,레이,16/09식,프레스티지,"42,438km",경기,"1,070",가솔린,파란색
304,쌍용,티볼리,16/03식,디젤 LX 2WD,"41,923km",경기,"1,260",디젤,파란색
305,쌍용,티볼리,16/02식,디젤 VX 2WD,"38,670km",경기,920,디젤,파란색
